unit,slot,player,position,class,origin,source_1,source_2,confidence_HML,notes
QB,1,Trey Hedden,QB,JR,arrival(Furman-FCS),Athlon,web,L,the Athlon QB1 (Furman FCS transfer; feed-gap) but per the beat an OPEN competition. FCS transfer leading a rebuilt room. LOST '25 starter Logan Fife (58.1/447, yr4)
QB,2,Adam Damante,QB,JR,returning,Athlon,feed,L,58.9/125 (CUSA -5.61; the returning arm in the competition). OFF was p7 (a very poor offense)
RB,1,James Jones,RB,SR,arrival(Delaware State-FCS),Athlon,feed,L,FCS transfer (no cell) - the Athlon RB1 + Iowa transfer TJ Washington Jr. (67.2/27 tiny). The WORST run game in FBS ('25 - 2.6 ypc, RUN p1)
RB,2,Dijon Stanley,RB,SR,returning,Athlon,feed,L,60.9/76 (CUSA -7.50; the returning starter). Also a KR. LOST Kadarius Calloway (67.7, yr4)
WRTE,1,TK King,WR,SR,returning,Athlon,feed,M,73.0/250 (CUSA -4.19; the top returning WR - 588 yds/3 TD, missed early time injured). Also PR. A vertical threat
WRTE,2,AJ Williams III,WR,JR,returning,Athlon,web,L,returns from a 2025 injury (D3 Mary Hardin-Baylor transfer; feed-gap) + Myles Libman (Stanford) + Brodie Malone-Bradford (63.7) + TE Carson Su'esu'e (Okla St) + Rayfield Lotten (Sam Houston). LOST All-CUSA Faupel (71.6->Ark) + Gavin Harris (TE->GT). RECV p33
OL,1,Mateo Rodriguez,RG,SO,returning,Athlon,feed,L,55.0/673 (CUSA -6.36; a returning starter) + LT Ma'Kyi Lee (62.3, ret). A near-total rebuild off the worst run game in FBS (RUN p1; PBLK p10; ~3 sacks/game)
OL,2,James Williams,LG,JR,arrival(UTEP-CUSA),Athlon,feed,L,60.3/807 at UTEP (already contributing) + transfers C Mark Chapman (Columbia) + RT Tyler Keinath (Boise) + Luke Moise (Wofford) + Armond Owens (Grambling). "Multiple experienced transfers to reinforce." LOST BJ Tolo (854) + Nieves (613->S Car) + yr4 (Malik Williams 874, Valdez 411)
DL,1,Gabe Peterson,EDGE,SR,returning,Athlon,feed,M,66.4/464 (CUSA -7.88; a returning starting DE) + Enzo-Pierre Tayou (71.5/88, ret) + Henry Davis III (58.9, ret) + Brad Vislisel (66.1, ret) + Obinna Okeke (59.3, ret)
DL,2,Kaian Roberts-Day,DT,SR,arrival(UTSA-AAC),Athlon,feed,M,transfers Roberts-Day (UTSA) + Vic Shaw (UTSA) + Zhakius Thomas (feed-gap) + Jeremiah Sandiford (Tenn Tech). LOST the TOP grade Ezra Christensen (88.6, All-CUSA, yr4->Colorado) + Jamall Thompson (69.2/572, yr4) + Tuitama (61.1). PRSH p68
LB,1,Sone Aupiu,LB,SR,returning,Athlon,feed,M,69.0/483 (CUSA -12.31; 68 tackles - the CONFIRMED LB anchor). If Gethers does not return, the only proven returning LB
LB,2,Zaiden Davis,LB,SO,returning,Athlon,feed,L,56.9/132 (thin, unproven depth). NO LB transfer additions. Tory Gethers (65.3/687, 88 tkl) is UNCOMMITTED-in-portal (Athlon assumed return; NOT counted - upside). LOST Quincy Davis (73.0->Kansas) + Martinez (66.2->Colorado)
DB,1,Bernock Iya,S,SR,returning,Athlon,feed,M,74.2/581 (CUSA -6.16; the top returning DB) + Nick Session (64.6/630, yr4-return) - anchors a ball-hawking secondary (24 TOs forced/15 INT)
DB,2,Tayden Barnes,NB,JR,arrival(Cincinnati-B12),Athlon,feed,M,a RETURNING NMSU starter (started all 12 in '24) back from Cincinnati; versatile (NB/S) + CBs Lorenzo Smith (70.1, ret) + De'Marcus Peters (TAMU-K) + Josiah Charles (49.8, ret). LOST All-CUSA Mitchell (64.8/845->Colorado) + McKelvey (65.8->Baylor) + Hale (67.9->BGSU). COV p56
ST,1,Brody Richter,P,SR,arrival(Minnesota-B10),Athlon,feed,M,the incoming punter (Minnesota; P4 pedigree). SPEC was p84 (a strength). LOST P Max Dean (->Wash St)
ST,2,Ilya Uvaydov,K,SR,arrival(Utah Tech-FCS),Athlon,feed,L,new PK (competition; Utah Tech transfer, no cell) + a strong return game (KR Stanley + PR King - "could be a strength"). New specialists off a good p84 base
