player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Mason White,43872,S,OREGON ST,11,0,8.2,80.0,95.4,19.0,15.2,0,0,2,40.0,265,81.1,69.2,81.8,68.1,43.3,73.7,0,18,0.0,0,2,0,92.5,4,83,87,2,10,5,0,31,18,0.4,7.8
James Camden,53418,LB,W MICHIGAN,14,3,3.9,76.2,80.4,15.7,12.0,0,0,0,0.0,347,78.3,80.5,54.6,77.0,74.9,66.9,0,24,10.5,2,0,1,111.0,16,274,341,12,14,21,1,149,96,0.6,9.3
Iesa Jarmon,53981,CB,AKRON,1,0,17.0,100.0,100.0,4.0,4.0,0,0,0,0.0,102,43.4,43.4,71.0,,60.0,,0,37,,0,0,0,158.3,2,8,8,0,0,2,2,49,21,6.1,24.5
Shaun Myers,62235,LB,COLORADO,10,3,5.0,72.7,74.2,11.3,8.2,0,0,1,9.1,143,74.1,70.1,29.0,52.4,69.1,54.8,0,33,12.5,1,1,1,125.0,8,95,128,2,4,11,2,60,45,0.7,7.5
Mister Williams,70521,LB,S DIEGO ST,13,0,3.1,65.4,88.8,14.9,9.8,0,0,2,7.7,284,54.2,69.8,83.9,72.1,80.1,76.5,0,35,18.2,2,1,0,99.5,17,270,304,5,9,26,1,188,150,0.7,11.1
Ben Florentine,70644,DI,WYOMING,12,0,,,1.1,,,0,0,0,,351,57.0,74.8,86.1,69.3,74.5,67.5,0,,33.3,1,0,0,0.0,0,3,269,4,2,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,13,0,11.7,66.7,8.6,9.0,6.0,1,2,2,66.7,169,46.4,66.6,36.4,69.4,70.5,58.7,0,17,100.0,4,2,2,103.5,2,18,209,4,0,3,0,33,10,1.8,16.5
Calvin Pitcher,70877,LB,UAB,12,2,6.4,77.8,82.2,11.9,9.2,0,0,1,11.1,321,45.6,60.1,84.7,52.3,70.4,66.1,0,65,50.0,5,1,0,155.8,7,88,107,1,3,9,1,126,104,1.5,18.0
Tate Romney,70946,LB,ARIZONA ST,10,1,7.8,66.7,86.8,11.0,7.3,0,0,1,16.7,110,52.1,49.6,0.0,53.4,56.5,50.2,0,30,33.3,1,1,1,138.9,4,46,53,0,1,6,1,60,31,1.4,15.0
Domani Jackson,71370,CB,ALABAMA,15,2,5.9,76.2,99.0,17.9,13.6,0,0,1,4.8,103,74.3,73.3,37.8,67.2,66.4,83.6,0,38,3.8,1,1,4,108.2,16,300,303,9,23,21,1,135,42,0.5,8.4
