player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Cannon Johnson,207329,S,CUMBERLAND,1,0,371,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,3.4,1,29,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Larry Preston,156538,CB,JVILLE ST,2,0,196,0,0,0,0,0,0,100.0,1,1,100.0,1,0,0,0,5.9,1,17,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Jalen McClendon,155787,CB,BOWL GREEN,12,0,122,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,348,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Elisee Kanda,208824,S,SVSU,1,0,1082,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,50.0,1,2,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jordan Allen,146181,LB,PORTLAND,2,0,269,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Quintin Talley,132454,S,GRAMBLING,11,0,177,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.6,1,164,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Richard Sweeney III,167421,CB,MOREHEAD,8,0,234,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,211,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ryan Turner,156485,CB,PURDUE,7,0,273,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,51,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Trent Carter,183314,LB,LOUISVILLE,1,0,210,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,20.0,1,5,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Mark Iheanachor,199166,LB,SMU,3,0,287,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,9.1,1,11,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Isaiah Coleman,205404,DI,TEXAS,1,0,311,0,0,0,0,0,0,100.0,1,1,100.0,1,0,0,0,100.0,1,1,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Chase Couch,191892,DI,HOLY CROSS,1,0,181,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Duncan Moreland,142330,S,NEW HAMP,13,0,240,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,334,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tae Martin,209844,CB,N ALABAMA,5,0,389,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.6,1,64,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Derrick Thompson,178590,CB,BETH COOK,3,0,119,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,9.1,1,11,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Rance Conner,144149,CB,GAVA,1,0,1159,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,7.1,1,14,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Noah Mangham,159039,CB,ABILENE CH,12,0,100,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,359,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Caleb Holmes,212062,CB,LAMAR,6,0,204,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,88,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jamari Somerville,172263,S,AKRON,5,0,102,0,0,0,0,0,0,,0,0,,0,0,0,0,1.3,1,76,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Jeremiah Keppard,178021,S,NWSTATE,6,0,257,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.6,1,158,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Myles Slusher,123962,S,PURDUE,10,0,273,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,231,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Ayden Davis,189260,S,NC CENT,4,0,247,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,51,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jordan Perry,157785,S,TROY,7,0,318,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,5.9,1,17,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Brandon Greil,172190,S,ARK STATE,11,0,113,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,249,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Deuce Cooper,178527,CB,LIUSHAR,11,0,1298,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,237,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Charles McCartherens,171206,CB,BUFFALO,4,0,126,0,0,0,0,0,0,,0,0,,0,0,0,0,1.7,1,60,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Cyler Christmas,200359,S,SE MO ST,10,0,293,0,0,0,0,0,0,,0,0,,0,0,0,0,0.8,1,126,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Deshaun Harper,202684,LB,DUQUESNE,2,0,155,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,18.2,2,11,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Kani Walker,144177,CB,ARKANSAS,11,0,111,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,2,310,2,75.0,0,1,0,0,100.0,2,2,75.0,1,1,0,1,1,0
Therrian Alexander III,183757,CB,BYU,14,0,128,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0.6,2,309,2,75.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Garrison Solliday,145181,LB,WISCONSIN,1,0,349,0,1,0,0,1,0,100.0,2,2,75.0,1,1,0,0,66.7,2,3,2,75.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Darius Bean,174507,S,HOUCHR,7,0,183,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,1,3.2,2,63,2,75.0,0,0,1,1,50.0,1,1,50.0,0,0,0,1,1,0
Bryson Ross,185058,CB,PORTLAND,11,0,269,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.4,1,252,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
William DePaepe,188664,ED,INDIANA,1,0,190,0,1,0,0,1,0,66.7,2,2,75.0,1,1,0,0,100.0,3,3,2,50.0,0,0,0,0,33.3,1,0,0.0,0,0,0,1,1,0
Trey Cotton,203336,S,TENN MARTN,4,0,310,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.8,1,36,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Kyle Reviello,159238,LB,WM & MARY,3,0,348,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,9.1,1,11,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Karson Kindred,206001,CB,DRAKE,4,0,153,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Brandon Jones,201334,S,MCNEESE,11,0,217,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.3,1,79,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Michael Boganowski,184588,S,OKLAHOMA,13,0,261,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.5,2,130,1,50.0,0,0,0,0,100.0,2,1,50.0,1,0,0,1,0,0
Hershey McLaurin,157356,S,PURDUE,5,0,273,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.2,2,91,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Eric Zachery,192382,CB,PRVIEW A&M,13,0,270,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,3,331,2,50.0,0,0,1,0,100.0,3,2,50.0,1,1,0,1,1,0
Mark Coaxum II,200380,S,ALABAMA ST,7,0,105,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.1,1,32,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Brody Barnhardt,183351,S,NC STATE,5,0,248,0,1,0,0,1,0,100.0,1,1,50.0,0,1,1,0,0.8,1,126,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,1,1
David Fisher,150294,CB,N TEXAS,13,0,251,1,1,0,1,1,0,100.0,2,2,50.0,0,0,0,0,0.7,2,307,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaylen Bell,198543,CB,INDIANA,7,0,190,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jadais Richard,163724,CB,MIAMI FL,3,0,220,0,1,0,0,1,1,100.0,3,2,50.0,1,0,0,1,30.0,3,10,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Emiril Gant,188580,CB,TOWSON,12,0,317,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.4,1,270,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Joshua Banks,189299,S,STETSON,6,0,302,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.2,1,24,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Kentrelle Omar,74001,LB,STF AUSTIN,2,0,301,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,12.5,1,8,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Darnell Williams,205465,S,UTEP,1,0,330,1,0,0,0,0,0,,0,0,,0,0,0,0,7.1,1,14,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
James Schlendorf,202192,CB,BUCKNELL,3,0,125,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,5.3,2,38,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Micah Monds,196729,LB,SVANNAH ST,1,0,286,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Caleb Bell,200088,DI,ARKANSAS,1,0,111,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Yessman Green,125356,S,UTEP,6,0,330,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.2,1,84,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyler Bailey,160286,S,SM HOUSTON,12,0,281,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.7,2,286,1,50.0,0,0,0,0,50.0,1,1,100.0,1,0,0,1,0,0
Kellen Wiley Jr.,200164,LB,MIAMI FL,3,0,220,0,3,0,0,1,0,33.3,1,1,50.0,0,0,0,1,30.0,3,10,3,50.0,0,0,2,1,66.7,2,2,50.0,0,0,0,0,0,0
Doreon Dubose,185456,CB,ILL STATE,16,0,188,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,379,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Victor Vazquez,145656,CB,BOWL GREEN,3,0,122,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Darius Moore,165695,LB,ABILENE CH,2,0,100,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,40.0,2,5,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Jaden DaCosta,170741,S,WYOMING,4,0,351,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.3,1,16,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jamison Curtis,188512,LB,VANDERBILT,3,0,333,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.3,1,16,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jalen Burton,145640,CB,W GEORGIA,11,0,1177,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,0.7,2,286,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Mac Resetich,175962,S,ILLINOIS,12,0,187,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.8,1,120,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
David Godsey Jr.,133044,CB,LA MONROE,12,0,209,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,369,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Caleb Walker,165560,CB,UTEP,1,0,330,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Carl Fauntroy,163014,S,LA MONROE,9,0,209,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.5,1,200,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Donovan Stanley,142466,CB,DUQUESNE,9,0,155,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,80,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Will Johnson,144083,LB,VA TECH,1,0,337,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jalon Jones,163087,CB,BALL ST,4,0,117,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,4.0,1,25,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Micaiah Bivines,127852,CB,LA LAFAYET,1,0,207,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,5.6,1,18,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Masiah Thorne,196385,S,HOWARD,12,0,184,0,1,0,0,0,0,,0,0,,0,0,0,0,0.8,1,123,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Takhari Carr,164386,CB,MONTANA ST,14,0,233,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.8,2,242,1,50.0,0,0,0,0,50.0,1,1,100.0,1,0,0,1,0,0
Myti Johnson,188068,CB,W GEORGIA,7,0,1177,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.3,1,44,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Xavier Williams,145579,S,CINCINNATI,12,0,138,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,105,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Kamron Forest,128177,CB,W OREGON,1,0,411,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.9,1,34,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyler Martinovich,191634,S,MERRIMACK,3,0,385,1,0,0,0,0,0,33.3,1,1,100.0,1,0,0,0,15.8,3,19,2,50.0,0,1,0,0,66.7,2,1,25.0,0,0,0,1,0,0
Unknown Lincoln (CA) 49,212521,LB,LINCOK,1,0,1452,0,1,0,0,0,0,,0,0,,0,0,0,0,5.9,1,17,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Marques Garrett,200416,ED,ALBANY,1,0,106,0,2,0,0,0,0,0.0,0,0,,0,0,0,1,100.0,2,2,2,50.0,0,0,2,1,100.0,2,2,50.0,0,0,0,0,0,0
Reese Jacobs,207221,LB,CHADST,1,0,809,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,22.2,2,9,2,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Liam Blaser,207194,LB,CHADST,1,0,809,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Collin Jacob,156744,S,LA LAFAYET,4,0,207,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,5.9,3,51,2,50.0,0,0,1,0,66.7,2,2,75.0,1,1,0,1,1,0
Jaxon Hammond,170978,CB,ARMY,10,0,114,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,1.1,1,94,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jack Everix,207029,LB,BLUEFIELD,1,0,364,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Ryan Largin,193410,S,PRESBYTERN,10,0,271,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.1,1,92,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kristian Bratten,207006,LB,BLUEFIELD,1,0,364,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Michael Pangaro,191118,S,UMASS,4,0,216,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Makel McConico,212468,LB,GC,1,0,1533,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Daniel Dlugos,186612,LB,MERCYHURST,1,0,977,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Trevor Thompson,194493,LB,UPIOWA,1,0,1156,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.5,2,19,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Jeremiah Cooper,157608,CB,IOWA STATE,4,0,193,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,98,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Austin Alexander,191161,CB,KANSAS,12,0,198,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.4,1,274,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Brycen Scott,185245,CB,ELON,10,0,162,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.7,2,296,1,50.0,0,0,0,0,50.0,1,1,100.0,1,0,0,1,0,0
Caulen Dunn,160247,LB,SAMFORD,3,0,282,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,12.5,1,8,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ousmane Doumbia,131851,S,NORTHEA ST,1,0,1030,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,3.7,1,27,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jake Ibieta,172481,LB,LSU,1,0,211,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Dylan Gill,206271,LB,W GEORGIA,1,0,1177,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,11.1,1,9,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Ruben Lopez,165277,S,SAN DIEGO,12,0,283,1,1,0,1,1,0,75.0,3,3,66.7,1,1,0,0,1.0,4,392,3,50.0,0,0,0,0,25.0,1,0,0.0,0,0,0,1,1,0
Antonio Kite,163598,CB,OLE MISS,12,0,226,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,375,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaydan Hardy,184594,S,OKLAHOMA,12,0,261,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.0,1,105,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Connor Adams,200930,CB,FURMAN,4,0,170,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,1,13,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
