player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,11,83,0,265,0,14.0,66.7,88.0,10.0,6.7,0,1,33.3,81.8,0,18,0.0,0,1,91.0,2,22,26.5,25,1,3,3,0,24,10,1.2,12.0,0,0,-5.0,100.0,98.1,48.0,48.0,0,1,100.0,75.9,0,1,0.0,0,1,79.2,1,53,63.9,54,0,5,1,0,1,6,0.0,1.0
James Camden,53418,LB,W MICHIGAN,14,274,0,347,0,6.0,100.0,81.8,27.5,27.5,0,0,0.0,79.4,0,18,0.0,0,0,150.0,2,63,23.0,77,3,3,2,1,21,9,0.4,10.5,0,2,2.5,76.9,77.7,14.4,11.1,0,0,0.0,65.8,0,23,16.7,2,0,93.4,10,153,55.8,197,8,8,13,0,85,62,0.6,8.5
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,10,95,0,143,1,3.8,100.0,60.3,10.5,10.5,0,0,0.0,51.4,0,33,0.0,0,0,158.3,4,44,46.3,73,0,1,4,2,57,42,1.4,14.3,0,2,5.7,57.1,97.9,11.3,6.4,0,1,14.3,85.4,0,8,16.7,1,1,62.2,4,47,49.5,48,2,3,7,0,3,3,0.1,0.8
Mister Williams,70521,LB,S DIEGO ST,13,270,0,284,0,5.0,25.0,67.2,39.0,9.8,0,1,25.0,56.7,0,0,0.0,0,1,39.6,1,43,15.9,64,0,1,4,0,0,7,0.0,0.0,0,0,3.1,71.4,94.1,13.0,9.3,0,1,4.8,53.2,0,35,25.0,2,0,112.8,15,206,76.3,219,4,6,21,1,178,128,0.9,11.9
Ben Florentine,70644,DI,WYOMING,12,3,0,351,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,115,0,1,0,0,0,0,,,0,0,,,1.1,,,0,0,,56.5,0,,50.0,1,0,0.0,0,1,33.3,95,3,1,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,13,18,0,169,0,,,15.1,,,2,2,,75.4,0,,100.0,2,2,0.0,0,13,72.2,86,1,0,0,0,0,0,0.0,,0,0,11.7,66.7,4.3,2.5,1.7,0,0,0.0,46.6,0,17,100.0,2,0,103.5,2,5,27.8,115,3,0,3,0,33,10,6.6,16.5
Calvin Pitcher,70877,LB,UAB,12,88,0,321,1,9.3,66.7,65.5,9.5,6.3,0,1,33.3,59.7,0,14,0.0,0,1,125.0,2,19,21.6,29,1,0,3,1,20,8,1.1,10.0,0,1,4.2,80.0,86.6,14.0,11.2,0,0,0.0,43.2,0,65,62.5,5,0,118.8,4,58,65.9,67,0,2,5,0,95,94,1.7,23.8
Tate Romney,70946,LB,ARIZONA ST,10,46,0,110,0,9.0,0.0,63.6,,6.0,0,0,0.0,63.3,0,,,0,0,39.6,0,7,15.2,11,0,0,1,0,0,0,0.0,,0,1,7.6,80.0,92.1,8.8,7.0,0,1,20.0,48.5,0,30,33.3,1,1,156.3,4,35,76.1,38,0,1,5,1,60,31,1.7,15.0
Domani Jackson,71370,CB,ALABAMA,15,300,0,103,0,4.8,87.5,100.0,8.0,7.0,0,0,0.0,61.9,0,38,0.0,0,0,135.9,7,62,20.7,62,4,8,8,1,57,21,1.0,8.1,0,1,6.5,69.2,99.5,22.9,15.8,0,1,7.7,74.0,0,25,6.3,1,1,84.8,9,212,70.7,213,4,14,13,0,78,21,0.4,8.7
Aaron Smith,71596,CB,NEW MEXICO,1,13,0,241,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,7.0,100.0,100.0,2.0,2.0,0,0,0.0,46.7,0,17,0.0,0,0,105.6,3,6,46.2,6,0,1,3,0,28,7,4.7,9.3
DJ Harvey,72089,CB,USC,8,93,0,326,1,12.0,62.5,100.0,6.4,4.0,0,1,12.5,49.2,0,75,33.3,2,1,145.8,5,34,36.6,34,0,3,8,1,129,57,4.0,25.8,0,1,5.9,42.9,100.0,16.3,7.0,0,1,14.3,69.0,0,20,0.0,0,1,53.9,3,52,55.9,52,1,2,7,0,27,10,0.6,9.0
Solomone Langi,72318,DI,S JOSE ST,11,1,0,285,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,1.9,,,0,0,,60.7,0,,0.0,0,0,0.0,0,1,100.0,52,1,1,0,0,0,0,0.0,
Raider Damuni,72338,S,BYU,12,230,0,128,1,15.5,33.3,100.0,38.0,12.7,0,0,0.0,74.0,0,33,0.0,0,0,54.2,2,81,35.2,81,1,1,6,0,35,40,0.5,17.5,0,2,8.9,70.0,94.0,15.4,10.8,0,0,0.0,60.2,1,20,0.0,0,0,52.1,7,109,47.4,116,3,8,10,0,75,29,0.7,10.7
Justin Flowe,72388,LB,UNLV,8,45,0,325,0,,,68.2,,,0,0,,62.8,0,,,0,0,0.0,0,15,33.3,22,0,0,0,0,0,0,0.0,,0,1,2.3,66.7,86.2,12.0,8.0,0,1,33.3,77.4,0,5,20.0,1,1,70.1,2,25,55.6,29,2,3,3,0,8,8,0.3,4.0
Ian Shewell,72474,DI,ARIZONA ST,3,1,0,110,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,10,0,1,0,0,0,0,0.0,
Jadon Pearson,72538,LB,FRESNO ST,13,359,0,169,3,-0.1,71.4,69.5,21.2,15.1,0,0,0.0,78.0,0,41,7.7,1,0,97.3,5,114,31.8,164,4,9,7,0,60,58,0.6,12.0,0,2,1.8,88.0,95.8,9.7,8.6,0,1,4.0,55.6,0,24,4.3,1,1,99.2,22,227,63.2,237,10,20,25,0,195,149,0.9,8.9
Marco Notarainni,73389,LB,BOISE ST,14,286,0,120,1,2.2,66.7,64.8,13.1,8.8,0,2,16.7,65.4,0,36,11.1,1,1,88.9,8,116,40.6,179,5,7,12,0,90,71,0.9,11.3,0,2,4.1,63.6,69.8,18.7,11.9,0,1,9.1,71.4,0,32,30.8,4,0,87.3,7,134,46.9,192,6,7,11,0,85,51,0.6,12.1
Trent Whalen,73609,LB,ARKANSAS,6,19,0,111,0,2.0,100.0,100.0,6.0,6.0,0,0,0.0,51.9,0,18,,0,0,118.8,1,7,36.8,7,0,0,1,0,18,16,3.0,18.0,0,0,4.5,100.0,90.9,2.5,2.5,0,0,0.0,59.0,0,20,0.0,0,0,116.7,4,10,52.6,11,2,5,4,0,48,30,4.8,12.0
Gio De Leon,73658,LB,BUFFALO,4,8,0,126,0,,,66.7,,,0,0,,60.4,0,,,0,0,0.0,0,2,25.0,3,0,0,0,0,0,0,0.0,,0,0,,,71.4,,,0,0,,63.5,0,,0.0,0,0,0.0,0,5,62.5,7,1,1,0,0,0,0,0.0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,80,0,340,0,2.5,50.0,78.7,43.0,21.5,0,0,0.0,71.6,0,3,0.0,0,0,56.3,1,48,60.0,61,1,2,2,0,3,3,0.1,3.0,0,0,5.0,60.0,90.6,9.3,5.6,0,0,0.0,51.9,0,25,0.0,0,0,82.9,3,29,36.3,32,2,1,5,0,37,11,1.3,12.3
Ryan Quintanar,74152,LB,USC,2,4,0,326,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,60.0,,,0,0,,49.6,0,,,0,0,0.0,0,3,75.0,5,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,8,69,0,180,0,11.0,50.0,100.0,17.0,8.5,0,0,0.0,59.5,0,7,0.0,0,0,58.3,1,18,26.1,18,0,1,2,0,7,1,0.4,7.0,0,1,13.6,60.0,100.0,11.3,6.8,0,0,0.0,45.2,0,13,20.0,1,0,80.4,3,38,55.1,38,0,3,5,0,34,7,1.0,11.3
Zion Branch,74395,S,GEORGIA,8,140,0,173,0,6.0,100.0,100.0,36.0,36.0,0,0,0.0,52.4,0,6,0.0,0,0,91.7,1,42,30.0,42,0,2,1,0,6,0,0.2,6.0,0,0,5.0,100.0,98.9,13.8,13.8,0,1,16.7,68.9,0,20,15.4,2,1,105.6,6,88,62.9,89,5,11,6,0,56,26,0.7,9.3
Jaymar Mundy,75041,CB,OHIO,5,34,0,259,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,3,8.8,3,0,0,0,0,0,0,0.0,,0,0,18.8,60.0,100.0,9.0,5.4,0,0,0.0,48.9,0,42,0.0,0,0,143.8,3,28,82.4,28,0,2,5,1,63,9,2.3,21.0
Silas Walters,75263,S,MIAMI OH,12,415,0,221,1,14.9,46.2,97.1,10.1,4.7,0,3,11.5,61.6,0,23,9.1,1,2,98.4,12,135,32.5,139,1,9,26,3,121,21,1.0,10.1,0,4,7.8,66.7,95.2,9.6,6.4,1,2,5.6,67.2,2,19,14.8,4,2,69.7,24,237,57.1,249,6,19,36,1,224,88,1.0,9.3
