player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Logan Lupo,97582,K,FAU,12,28,28,3.78,41.14,45.04,12.1,0,0,5,8,165,74.9,14,62,6,0,32.1,109,9,28,105.9,1152,0,1261
Jack Bouwmeester,101613,P,TEXAS,13,59,59,4.0,38.88,44.53,9.0,1,0,7,21,311,75.0,24,62,5,0,28.8,153,17,60,235.83,2294,9,2627
David Nunez,121982,P,TEXAS ST,13,39,39,3.82,38.62,40.72,6.0,0,0,9,20,314,56.0,13,52,1,0,17.9,42,7,39,148.86,1506,2,1588
Blake Shapen,122282,QB,MISS STATE,1,1,1,3.54,43.0,43.0,,0,0,1,0,227,60.0,1,43,0,0,0.0,0,0,1,3.54,43,0,43
Chubba Purdy,122412,QB,NEVADA,1,2,2,3.21,33.5,43.5,,0,0,1,0,239,60.0,1,44,0,0,0.0,0,0,2,6.41,67,1,87
Jalon Daniels,122555,QB,KANSAS,1,1,1,3.15,20.0,40.0,,0,0,0,0,198,60.0,0,40,0,0,0.0,0,0,1,3.15,20,1,40
Chandler Morris,122938,QB,VIRGINIA,1,1,1,2.74,41.0,41.0,,0,0,1,0,335,60.0,1,41,0,0,0.0,0,0,1,2.74,41,0,41
Wes Pahl,123461,P,OKLA STATE,12,64,64,4.1,42.86,46.45,6.5,1,0,6,26,262,77.2,21,71,5,0,35.9,150,23,65,262.14,2743,4,2973
Daniel Sparks,123492,P,VIRGINIA,10,37,37,4.17,38.46,47.16,12.7,0,0,3,7,335,73.9,15,65,4,0,51.4,242,19,37,154.2,1423,4,1745
Anthony Frederique,123701,P,MO STATE,3,11,11,3.69,32.27,36.91,25.5,0,0,5,2,230,50.8,5,57,2,0,18.2,51,2,11,40.58,355,0,406
Parker Navarro,123758,QB,OHIO,1,1,1,2.4,14.0,34.0,,0,0,0,0,259,60.0,0,34,0,0,0.0,0,0,1,2.4,14,1,34
Chase Allen,123902,K,RICE,1,6,6,3.96,47.0,47.0,0.0,0,0,0,1,275,67.3,2,66,3,0,33.3,0,2,6,23.73,282,0,282
Sam Johnson,123919,P,USC,11,24,24,3.98,37.0,42.08,14.6,0,0,2,12,326,63.4,10,59,2,0,29.2,102,7,24,95.61,888,1,1010
Mike Wright Jr.,124366,QB,E CAROLINA,3,5,5,2.57,36.2,36.2,,0,0,1,0,156,60.8,1,53,4,0,0.0,0,0,5,12.87,181,0,181
Tyler White,127307,P,TEXAS A&M,13,50,50,3.89,40.48,44.4,12.0,2,0,12,18,312,66.6,21,63,5,0,26.0,156,13,52,194.25,2024,2,2220
Alex Bacchetta,127516,P,RICE,12,63,63,3.78,39.94,44.57,10.1,0,0,10,22,275,58.1,20,64,6,0,33.3,212,21,63,237.99,2516,4,2808
Chris Freeman,129439,K,UCONN,1,1,1,2.16,23.0,23.0,,0,0,0,0,146,60.0,1,23,1,0,0.0,0,0,1,2.16,23,0,23
Luke Akers,131788,P,NWESTERN,13,36,36,4.04,40.69,44.97,4.9,1,0,5,14,256,65.8,10,59,1,0,30.6,54,11,37,145.46,1465,5,1619
Adam Saul,138212,P,BALL ST,12,69,69,3.7,38.38,41.41,7.1,2,0,15,24,117,51.7,16,67,6,0,30.4,149,21,71,255.5,2648,3,2857
Ryan Leavy,139035,P,E CAROLINA,8,22,22,3.52,36.14,38.32,5.6,0,0,5,8,156,55.2,6,50,3,0,22.7,28,5,22,77.53,795,1,843
Sawyer Evans,141954,P,N TEXAS,11,32,32,3.72,37.34,40.47,13.3,0,0,3,16,251,69.2,11,51,6,0,18.8,80,6,32,119.11,1195,1,1295
Cole Maynard,143970,P,W KENTUCKY,13,57,57,4.02,43.09,48.35,7.7,0,0,6,17,346,79.6,18,71,3,0,45.6,200,26,57,229.28,2456,5,2756
Caden Noonkester,144000,P,NC STATE,12,57,57,3.98,39.16,43.47,11.9,0,0,13,23,248,70.3,23,66,3,0,24.6,166,14,57,226.86,2232,4,2478
Caleb Junko,144026,P,PITTSBURGH,13,51,51,3.96,40.41,44.12,6.4,0,0,12,17,268,68.4,12,60,3,0,27.5,89,14,51,201.81,2061,5,2250
Nick Veltsistas,144108,P,VA TECH,11,48,48,4.04,37.25,44.54,20.8,0,0,9,13,337,79.9,17,68,9,0,27.1,270,13,48,194.08,1788,4,2138
Grayden Addison,144586,P,KANSAS,1,3,3,3.71,43.0,43.0,,0,0,0,2,198,60.2,0,49,1,0,0.0,0,0,3,11.12,129,0,129
Tommy Doman,144944,P,FLORIDA,12,50,50,4.52,40.64,44.04,7.1,0,0,10,17,163,92.2,19,71,10,0,14.0,50,7,50,225.76,2032,6,2202
Gabriel Nwosu,145105,P,PENN STATE,12,38,38,3.97,42.63,46.05,7.8,0,0,7,16,266,72.1,16,68,3,0,23.7,70,9,38,150.87,1620,3,1750
Mitchell Tomasek,145765,P,E MICHIGAN,12,49,49,3.55,40.06,46.02,9.6,0,0,5,11,160,65.7,12,63,9,0,36.7,172,18,49,173.91,1963,6,2255
Magnus Haines,145788,P,OHIO,12,40,40,3.6,38.48,42.33,7.8,1,0,9,15,259,56.8,13,68,1,0,30.0,94,12,41,144.0,1539,3,1693
Connor Weselman,146385,P,MISSOURI,13,45,45,4.04,38.49,41.76,6.1,0,0,8,18,229,69.7,14,56,4,0,24.4,67,11,45,181.7,1732,4,1879
Nick Haberer,146532,P,VANDERBILT,11,26,26,4.07,43.08,46.88,7.4,0,0,4,10,333,79.1,12,59,2,0,30.8,59,8,26,105.86,1120,2,1219
Patrick Foley,146648,P,UAB,10,31,31,3.73,34.03,41.1,13.3,0,0,4,10,321,60.7,7,56,2,0,38.7,159,12,31,115.63,1055,3,1274
Marshall Nichols,146864,P,GA TECH,13,34,34,3.96,43.03,47.91,9.6,0,0,9,7,176,77.7,13,64,4,0,32.4,106,11,34,134.57,1463,3,1629
Jack Stonehouse,146897,P,SYRACUSE,12,60,60,4.29,41.67,46.17,9.4,0,0,12,25,304,89.8,15,64,1,0,26.7,150,16,60,257.14,2500,6,2770
Max Morgan,147550,P,LIBERTY,12,46,46,3.83,38.26,42.04,7.2,0,0,9,19,206,66.6,17,61,1,0,28.3,94,13,46,176.37,1760,4,1934
Devin Bale,147755,P,ARKANSAS,12,35,35,4.06,39.54,44.83,15.0,0,0,6,11,111,82.3,15,62,7,0,20.0,105,7,35,142.03,1384,4,1569
Connor Stutz,147829,P,UCONN,13,50,50,3.99,40.56,44.48,7.6,0,0,12,19,146,61.0,23,67,3,0,20.0,76,10,50,199.31,2028,6,2224
Joshua Huiet,147962,P,KENNESAW,13,65,65,3.83,39.14,40.55,4.7,1,0,19,24,200,64.0,30,61,9,0,16.9,52,11,66,248.64,2544,2,2636
Brayden Johnson,148063,P,AKRON,6,13,13,3.36,33.15,39.92,12.6,0,0,4,2,102,55.4,8,52,0,0,53.8,88,7,13,43.69,431,0,519
Zevi Eckhaus,148535,QB,WASH STATE,1,1,1,2.63,30.0,30.0,,0,0,1,0,341,60.0,1,30,0,0,0.0,0,0,1,2.63,30,0,30
Shamus Florio,151140,K,BOSTON COL,12,49,49,3.92,38.29,39.65,3.6,0,0,7,19,121,59.6,15,63,9,0,26.5,47,13,49,192.03,1876,1,1943
Brenden Lach,155007,P,DELAWARE,13,46,46,3.5,35.89,38.83,6.1,0,0,7,16,151,54.6,15,58,3,0,41.3,115,19,46,161.01,1651,1,1786
Noah Botsford,155219,K,UTEP,12,59,59,3.64,41.64,46.24,7.6,0,0,11,3,330,77.4,17,70,16,0,42.4,191,25,59,214.53,2457,4,2728
