player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Quinn Castner,122145,K,CLEMSON,1,0,0,0,,0,0,,140,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Noah Burnette,122825,K,NOTRE DAME,6,0,0,0,,1,1,100.0,258,58.8,0,0,,22,20,90.9,0,4,3,75.0,6,5,83.3,1,1,100.0
Kyle Lowe,123356,K,VA TECH,1,0,0,0,,0,0,,337,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Morgan Suarez,123612,K,JAMES MAD,14,0,0,0,,9,4,44.4,197,83.0,0,0,,65,65,100.0,0,7,7,100.0,19,14,73.7,3,3,100.0
Chase Allen,123902,K,RICE,3,0,0,0,,1,1,100.0,275,64.6,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Jared Zirkel,124046,K,TEXAS A&M,5,0,0,0,,0,0,,312,61.5,0,0,,20,19,95.0,0,5,3,60.0,7,4,57.1,2,1,50.0
Chris Freeman,129439,K,UCONN,13,0,1,1,100.0,11,9,81.8,146,91.7,0,0,,52,52,100.0,0,6,5,83.3,26,23,88.5,8,8,100.0
Jack Olsen,129630,K,NWESTERN,12,0,0,0,,2,2,100.0,256,80.4,0,0,,25,24,96.0,0,12,12,100.0,21,19,90.5,7,5,71.4
Dom Dzioban,130519,K,MIAMI OH,13,0,3,1,33.3,9,9,100.0,221,88.4,0,0,,35,34,97.1,0,5,5,100.0,23,20,87.0,6,5,83.3
Luke Akers,131788,P,NWESTERN,2,0,0,0,,0,0,,256,67.9,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
RJ Lopez,131800,K,SM HOUSTON,4,0,1,0,0.0,2,1,50.0,281,58.9,0,0,,6,6,100.0,0,1,0,0.0,6,3,50.0,2,2,100.0
Tanner Cragun,131850,K,UTEP,6,0,0,0,,2,0,0.0,330,68.7,0,0,,0,0,,0,2,2,100.0,8,6,75.0,4,4,100.0
DC Pippin,138064,K,BALL ST,4,0,2,0,0.0,4,3,75.0,117,59.3,0,0,,6,5,83.3,0,1,1,100.0,9,6,66.7,2,2,100.0
Seth Morgan,139555,K,TULSA,12,0,1,0,0.0,8,6,75.0,320,85.1,0,0,,27,27,100.0,0,5,4,80.0,21,17,81.0,7,7,100.0
Matthew Dennis,144183,K,WAKE,1,0,0,0,,0,0,,339,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Noah Grant,144266,K,FIU,10,0,2,1,50.0,4,3,75.0,166,77.0,0,0,,27,27,100.0,0,6,5,83.3,18,14,77.8,6,5,83.3
Stone Eby,144358,TE,SMU,2,0,0,0,,0,0,,287,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
John Cannon,144475,K,W KENTUCKY,13,0,1,0,0.0,10,9,90.0,346,83.7,1,1,100.0,46,46,100.0,0,4,3,75.0,19,15,78.9,3,2,66.7
Isaiah Hankins,144532,K,COLO STATE,11,0,1,1,100.0,4,0,0.0,144,67.1,0,0,,25,25,100.0,0,3,2,66.7,10,5,50.0,2,2,100.0
Logan Ward,144675,K,OKLA STATE,11,0,2,0,0.0,10,8,80.0,262,81.4,1,0,0.0,17,17,100.0,0,5,5,100.0,20,15,75.0,2,2,100.0
Bert Auburn,144740,K,MIAMI FL,6,0,0,0,,0,0,,220,68.6,0,0,,8,8,100.0,0,1,1,100.0,1,1,100.0,0,0,
Jack Howes,144913,K,BUFFALO,12,0,1,1,100.0,5,3,60.0,126,85.1,0,0,,30,30,100.0,0,6,5,83.3,17,14,82.4,5,5,100.0
Stephen Rusnak,144968,K,CINCINNATI,13,0,0,0,,8,4,50.0,138,79.1,0,0,,47,47,100.0,0,3,3,100.0,17,13,76.5,6,6,100.0
Brendan Franke,145030,K,INDIANA,2,0,2,1,50.0,0,0,,190,60.0,0,0,,0,0,,0,0,0,,2,1,50.0,0,0,
Garrison Smith,145082,K,FAU,12,0,0,0,,4,3,75.0,165,78.5,0,0,,36,36,100.0,0,7,5,71.4,19,16,84.2,8,8,100.0
Jesus Gomez,145746,K,ARIZONA ST,13,0,3,2,66.7,10,5,50.0,110,86.8,1,1,100.0,33,33,100.0,0,9,8,88.9,30,22,73.3,7,6,85.7
Andrew Glass,145777,K,N ILLINOIS,12,0,2,1,50.0,3,1,33.3,254,70.7,0,0,,21,20,95.2,0,7,7,100.0,14,11,78.6,2,2,100.0
Will Ferrin,145985,K,BYU,14,0,6,4,66.7,7,2,28.6,128,85.7,0,0,,49,49,100.0,0,6,6,100.0,30,23,76.7,11,11,100.0
Emmet Kenney,146384,K,STANFORD,12,0,0,0,,5,3,60.0,300,79.3,0,0,,21,21,100.0,0,10,8,80.0,21,16,76.2,6,5,83.3
Denis Lynch,146429,K,S JOSE ST,10,0,2,0,0.0,5,2,40.0,285,54.4,0,0,,19,19,100.0,0,7,6,85.7,16,8,50.0,2,0,0.0
Reid Schuback,146620,K,ALABAMA,1,0,0,0,,0,0,,103,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
William Joyce,146927,K,S CAROLINA,12,0,0,0,,8,5,62.5,289,81.4,0,0,,31,31,100.0,0,5,5,100.0,15,12,80.0,2,2,100.0
Randy Bond,146983,K,TEXAS A&M,10,0,3,0,0.0,8,5,62.5,312,71.5,0,0,,36,36,100.0,0,3,3,100.0,19,12,63.2,5,4,80.0
Kade Hensley,147105,K,W VIRGINIA,11,0,1,1,100.0,4,2,50.0,343,74.0,0,0,,32,31,96.9,0,2,2,100.0,12,10,83.3,5,5,100.0
Britton Williams,147134,K,KENNESAW,13,0,0,0,,5,2,40.0,200,51.1,0,0,,42,40,95.2,0,7,5,71.4,13,7,53.8,1,0,0.0
Hunter Herring,147138,QB,LA MONROE,1,0,0,0,,0,0,,209,60.0,0,0,,1,0,0.0,0,0,0,,0,0,,0,0,
Mason Shipley,147243,K,TEXAS,13,0,5,2,40.0,7,7,100.0,311,90.5,0,0,,48,48,100.0,0,8,8,100.0,24,20,83.3,4,3,75.0
Scott Taylor Renfroe,147275,K,TROY,14,0,0,0,,7,3,42.9,318,69.3,0,0,,40,39,97.5,0,4,3,75.0,16,11,68.8,5,5,100.0
Joe McFadden,147412,K,NEVADA,12,0,2,1,50.0,14,10,71.4,239,83.4,0,0,,20,20,100.0,0,6,5,83.3,25,19,76.0,3,3,100.0
Noe Ruelas,147413,K,UCF,12,0,4,3,75.0,5,4,80.0,323,87.3,0,0,,33,32,97.0,0,7,7,100.0,17,15,88.2,1,1,100.0
Brayden Beck,147539,K,LIBERTY,3,0,0,0,,0,0,,206,57.6,0,0,,2,2,100.0,0,2,1,50.0,2,1,50.0,0,0,
Nick Mazzie,148399,K,E CAROLINA,12,0,3,1,33.3,5,5,100.0,156,88.4,0,0,,43,43,100.0,0,7,7,100.0,19,16,84.2,4,3,75.0
Ryan Hawk,149762,K,NEW MEX ST,10,0,5,1,20.0,6,4,66.7,242,75.5,0,0,,23,22,95.7,0,5,5,100.0,22,16,72.7,6,6,100.0
Christian Pavon,150275,K,SM HOUSTON,8,0,1,1,100.0,4,2,50.0,281,67.4,0,0,,16,16,100.0,0,3,3,100.0,12,8,66.7,4,2,50.0
Laith Marjan,151049,K,KANSAS,12,0,2,2,100.0,7,6,85.7,198,86.3,0,0,,40,40,100.0,0,5,3,60.0,17,14,82.4,3,3,100.0
Hunter Smith,153252,K,W MICHIGAN,2,0,0,0,,1,0,0.0,347,60.0,0,0,,0,0,,0,0,0,,2,1,50.0,1,1,100.0
Damian Ramos,155532,K,LSU,13,0,4,2,50.0,12,10,83.3,211,83.5,2,2,100.0,30,29,96.7,0,5,4,80.0,29,24,82.8,6,6,100.0
