player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Cam Edwards,158615,HB,UCONN,13,209,49,15,40.0,490,0,1215,1,5,48,747,83.9,28,67,146,0,39,91.2,86.0,88.3,,70.3,65.3,86.9,64.0,73,0,187,19,212,250,11,1,22,227,15,1226,763,3.65,5.9,0.88,169,2025_this_team
Trey Cornist,169975,HB,C MICHIGAN,13,105,29,8,37.4,176,0,470,0,0,29,369,97.1,15,24,134,0,80,87.8,76.0,83.5,,76.3,52.4,76.1,53.2,29,0,0,0,36,151,0,0,1,105,1,470,369,3.51,4.5,0.0,25,arrival_2025_at_C MICHIGAN
Cyncir Bowers,199540,HB,W VIRGINIA,10,63,4,4,34.8,86,0,247,2,5,4,131,26.4,4,10,343,2,15,47.0,55.3,82.2,,33.0,49.4,59.6,57.0,26,0,134,8,80,108,0,0,13,71,2,247,131,2.08,3.9,1.68,48,arrival_2025_at_W VIRGINIA
Mel Brown,169178,HB,UCONN,5,32,9,4,58.8,154,0,262,0,1,9,166,144.1,4,6,146,0,5,80.4,71.4,79.1,,71.7,59.1,72.2,58.8,49,0,12,4,29,38,0,0,5,36,2,262,166,5.19,8.2,0.41,24,2025_this_team
Victor Rosa,158629,HB,UCONN,13,30,5,2,32.9,51,0,155,3,1,5,84,37.3,3,10,146,0,3,54.7,65.1,83.1,,61.5,58.1,69.3,61.4,31,0,147,15,97,39,0,0,20,45,2,155,84,2.8,5.2,1.52,27,2025_this_team
Oliver Lundberg,184034,HB,UCONN,10,23,2,2,23.2,32,0,138,0,0,2,80,30.2,4,8,146,1,4,37.9,65.8,77.5,,70.3,50.4,68.0,57.4,17,0,0,0,19,29,0,0,0,23,1,138,80,3.48,6.0,0.0,18,2025_this_team
Dashun Reeder,190890,HB,NWESTERN,5,22,7,4,63.0,138,0,219,0,0,7,174,251.7,6,8,256,1,8,35.0,74.5,75.7,,73.4,59.8,71.9,60.2,79,0,0,0,1,27,0,0,0,22,1,219,174,7.91,10.0,0.0,14,arrival_2025_at_NWESTERN
MJ Flowers,134081,HB,UCONN,7,16,3,2,52.0,39,0,75,1,0,3,34,37.5,2,3,146,0,3,75.5,57.5,76.7,,16.9,38.1,63.8,60.0,23,0,2,1,19,17,0,0,2,17,1,75,34,2.13,4.7,0.11,13,2025_this_team
Jaden Hart,183374,HB,SYRACUSE,6,15,3,0,0.0,0,0,53,0,0,3,49,54.4,1,4,304,0,1,75.5,58.4,76.7,,55.2,60.7,58.3,60.0,14,0,8,3,20,16,0,0,4,18,0,53,49,3.27,3.5,0.4,14,arrival_2025_at_SYRACUSE
Malichi Greaves,204823,HB,UCONN,5,3,1,0,0.0,0,0,15,0,0,1,7,46.7,1,1,146,0,1,69.2,59.5,73.9,,,55.7,61.2,,10,0,1,2,8,4,0,0,3,5,0,15,7,2.33,5.0,0.13,1,2025_this_team
Soren Rief,204809,HB,UCONN,1,2,0,0,0.0,0,0,9,0,0,0,3,0.0,0,0,146,0,0,65.5,62.3,66.2,,,,61.7,,9,0,0,0,0,2,0,0,0,2,0,9,3,1.5,4.5,,2,2025_this_team
