player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Donte Edwards,111815,HB,MILES,2,38,9,4,52.9,99,0,187,1,0,9,172,107.2,5,8,386,1,12,51.4,53.6,80.2,,7.0,29.8,60.9,58.5,45,1,0,0,9,46,0,0,1,38,1,187,172,4.53,4.9,0.0,26
David Freeman,155646,HB,VA LYNCHBU,4,33,10,1,23.9,26,0,109,0,0,10,101,92.7,2,2,406,0,2,79.8,66.8,77.9,,64.0,55.9,66.2,59.5,26,0,0,0,9,38,0,0,2,33,0,109,101,3.06,3.3,0.0,31
Darrius Sample,155649,QB,VA LYNCHBU,5,24,4,0,0.0,0,0,-3,0,0,1,9,7.4,4,5,406,9,1,18.0,26.3,81.4,25.3,,,55.0,60.0,36,2,0,0,0,71,132,13,0,11,0,129,106,4.42,5.4,,6
Kingston Davis,27304,HB,MILES,2,23,10,1,20.8,16,0,77,0,1,10,118,217.1,4,6,386,0,9,77.5,69.3,77.7,,3.1,79.6,70.7,59.9,16,0,36,3,11,26,0,0,3,26,0,77,118,5.13,3.3,3.27,14
Devodney Alford,151381,HB,INWSLY,1,22,2,1,37.4,43,0,115,0,0,2,71,29.3,3,7,1451,0,10,77.5,81.2,76.8,,71.5,55.0,79.8,60.0,43,0,0,0,12,25,0,0,1,22,2,115,71,3.23,5.2,0.0,12
Emmanuel Nwosu,143380,HB,FORT LEW,2,21,3,3,55.6,94,0,169,0,0,3,92,57.1,4,7,873,0,1,77.3,76.9,77.7,,31.3,60.6,82.8,52.9,43,0,7,2,37,27,0,0,3,23,1,169,92,4.38,8.0,0.19,20
Ivonte Patterson,91761,HB,TUSKEGEE,2,21,1,1,50.0,47,0,94,0,0,1,50,11.3,1,5,405,1,14,34.5,49.7,81.1,,7.7,52.8,61.8,58.9,47,0,0,0,13,27,0,0,0,21,3,94,50,2.38,4.5,0.0,7
Jeff Hansen,143377,HB,FORT LEW,2,19,2,0,0.0,0,1,38,0,0,2,29,12.2,1,2,873,0,3,76.5,60.2,76.0,,38.5,69.2,58.4,60.0,13,1,23,6,19,21,0,0,7,25,0,38,29,1.53,2.0,1.21,16
Ramone Atkins,37281,QB,N MEX HIGH,1,18,4,1,11.9,15,0,96,0,0,3,54,72.0,6,9,388,1,8,50.7,58.6,32.4,51.0,,,70.0,60.0,20,1,0,0,0,46,30,3,0,15,0,126,49,2.72,7.0,,4
Brendan Lamb,52868,HB,TAYLOR,1,17,2,2,53.0,35,0,66,1,0,2,32,22.1,2,4,402,0,17,75.8,64.3,79.9,,79.1,29.4,66.9,62.1,19,0,0,0,7,32,0,0,1,17,3,66,32,1.88,3.9,0.0,0
Omari Land,152436,HB,W OREGON,1,17,1,0,0.0,0,0,36,1,0,1,29,9.5,1,1,411,1,3,29.5,39.3,76.3,,3.2,31.1,50.6,60.0,11,0,2,1,8,18,0,0,2,18,0,36,29,1.71,2.1,0.25,14
Jalen Rembert,155912,HB,VA LYNCHBU,4,16,2,1,79.4,54,0,68,0,0,2,25,17.4,1,1,406,0,0,75.5,62.0,77.5,,50.5,61.0,63.4,59.8,54,0,2,2,16,20,0,0,2,18,1,68,25,1.56,4.3,0.13,16
Mason Glover,105888,HB,SIMONFRA,1,16,1,0,0.0,0,0,39,0,0,1,35,12.9,0,3,1097,0,6,75.5,63.7,74.0,,14.9,63.9,66.2,60.0,6,0,6,1,3,17,0,0,1,17,0,39,35,2.19,2.4,2.0,10
Sensir Carnes,152704,HB,POINTVILLE,2,16,2,0,0.0,0,0,31,0,0,2,34,23.6,0,0,393,0,11,75.8,62.4,76.4,,24.7,66.9,62.7,66.3,5,1,14,2,25,23,0,0,4,18,0,31,34,2.13,1.9,0.56,5
Cameron High,151626,HB,N MEX HIGH,1,16,0,1,22.0,18,0,82,0,0,0,32,0.0,2,4,388,0,7,75.6,62.6,75.8,,82.4,58.2,61.7,57.4,18,0,5,1,13,25,0,0,2,17,0,82,32,2.0,5.1,0.38,9
Myles Ratliff,155647,HB,VA LYNCHBU,3,15,0,0,0.0,0,0,36,0,0,0,33,0.0,0,1,406,0,0,75.6,63.8,0.0,,61.6,63.2,66.7,58.3,7,1,16,2,22,21,0,0,3,17,0,36,33,2.2,2.4,0.73,15
