player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Malachi Sanders,52553,DI,THMORE,2,2,0,,0,0,1296,0,0,,72.2,76.8,59.7,74.3,76.7,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,56,56,2,54,0,0,0,0,21,35,0,4,5,1,0,2,0,0,0,
Samuel Ringer,74975,ED,WABASH,1,0,0,83.3,0,0,1167,0,0,36.4,46.7,78.8,65.8,65.8,30.6,0,1,0,0,31,33.3,1,0,0,158.3,5,0,0,12,0,24,50,12,0,0,12,0,0,38,3,23,26,1,2,1,6,1,1,86,41,17.2
Jaeden Scarborough,75376,CB,THMORE,1,0,0,,0,0,1296,0,0,63.4,64.0,71.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,8,5,8,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,
Elijah Dolphin,76531,DI,BOWIE ST,1,0,0,,0,0,365,0,0,,69.5,75.0,66.2,64.7,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,5,7,0,0,0,0,7,5,0,1,1,0,0,0,0,0,0,
Jared Hancock,86412,LB,KENYON,1,2,0,100.0,0,0,1545,0,0,50.6,51.2,77.1,59.6,54.9,52.7,0,1,0,0,24,20.0,1,0,0,118.8,3,0,0,21,0,23,54,10,0,0,10,0,0,44,8,23,23,0,2,0,3,1,0,58,54,19.3
Kevon Billingsley,87844,ED,SRSU,1,1,0,,0,0,1133,0,0,,66.8,73.6,48.1,74.9,49.4,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,16,16,0,1,5,10,0,0,7,9,0,2,2,0,0,0,0,0,0,
Dee'Shari Keith,103613,LB,VA LYNCHBU,1,2,0,100.0,0,0,406,0,0,70.5,66.2,76.6,60.0,59.6,82.2,0,0,0,0,13,0.0,0,0,0,154.2,2,0,0,14,1,13,37,10,0,0,10,0,0,27,2,22,11,3,4,1,2,0,1,23,29,11.5
Daego Albert,104300,S,LINCOK,4,5,0,71.4,0,0,1452,0,0,66.6,60.6,4.4,57.7,55.3,40.9,0,0,0,1,70,25.0,6,1,1,113.7,5,0,0,81,7,92,208,15,0,0,15,0,66,193,2,114,39,2,13,0,7,0,1,110,75,22.0
Dom Barbuto,121552,LB,SOCTOW,1,1,0,100.0,0,0,1107,0,0,65.9,43.9,75.6,,33.8,42.6,0,0,0,0,9,25.0,1,0,0,97.9,2,0,0,29,0,9,30,0,0,0,0,0,0,30,0,21,0,1,2,0,2,0,0,15,19,7.5
James Shellman IV,121822,CB,SVANNAH ST,1,1,0,66.7,0,0,286,0,0,63.4,64.9,74.1,,65.9,76.6,0,0,0,0,9,0.0,0,0,0,74.3,2,0,0,3,31,22,34,0,0,0,0,0,0,34,0,12,0,0,1,0,3,0,0,12,0,6.0
Darrian Bell,122693,LB,SVANNAH ST,1,1,0,100.0,0,0,286,1,0,59.0,71.2,75.8,71.9,77.3,77.4,1,1,0,0,28,0.0,0,0,0,118.8,1,0,0,34,0,21,40,1,0,0,1,0,0,39,4,15,5,1,2,0,1,2,0,28,23,28.0
Aydin Henningham,123011,LB,ALBANY ST,1,0,0,50.0,0,0,360,0,0,47.3,58.6,74.8,59.4,76.8,81.1,0,0,0,0,15,0.0,0,0,0,75.0,1,0,0,33,0,21,37,0,0,0,0,0,0,37,1,15,4,3,5,0,2,0,0,15,4,15.0
Chadwick Bailey,123209,S,Bent,1,0,0,100.0,0,0,1238,0,0,75.1,53.6,0.0,,28.0,23.0,1,0,0,0,8,40.0,2,0,1,89.6,2,0,0,11,0,23,35,0,0,0,0,0,23,35,0,12,1,2,3,0,2,1,0,11,15,5.5
Ben Brookshire,125114,DI,BERRY VIK,1,0,0,,0,0,1547,0,0,,75.3,75.4,63.4,75.4,44.2,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,43,43,0,30,0,13,0,0,15,28,0,2,3,0,0,1,0,0,0,
Malcolm Smith,126149,DI,ELIZBTH ST,1,5,0,,0,0,373,0,0,60.0,62.8,0.0,66.6,64.4,77.4,0,2,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,43,43,6,36,0,1,0,0,15,28,0,3,3,0,0,2,0,0,0,
Cardin Madry,127108,ED,ST ANSELM,1,1,0,,0,0,399,0,0,,59.3,75.9,55.7,62.6,25.0,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,32,32,0,13,11,8,0,0,20,12,0,0,0,0,0,0,0,0,0,
