player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Joshua Gray,155644,WR,VA LYNCHBU,5,15.3,1,45.8,40.0,2,5,0,8.3,1,-0.52,7,406,0,66.1,69.2,62.7,,63.9,0.0,0,4,59,0.0,0,141,1,23.7,11,92.9,131,91.5,129,44.4,24,1,8.5,12,172,101,9.2,15.6,1.31
Khavon Walker,155651,WR,VA LYNCHBU,5,9.9,1,47.6,25.0,1,4,0,16.7,2,-0.55,7,406,0,49.8,68.2,64.4,,63.9,0.0,0,1,28,0.0,0,121,0,26.1,10,95.0,115,92.6,112,49.7,21,0,7.4,9,140,46,4.6,14.0,1.22
Cinsere Clark,155641,WR,VA LYNCHBU,5,18.5,0,42.1,25.0,1,4,0,11.1,1,-0.52,4,406,0,58.9,67.1,54.5,,54.2,0.0,0,0,65,0.0,0,150,0,25.2,8,95.3,143,6.7,10,105.3,19,3,93.3,140,130,44,5.5,16.3,0.91
Jordan Janssen,154905,WR,MITECH,1,10.7,2,56.3,0.0,0,1,0,0.0,0,-0.31,6,980,1,80.1,18.7,65.8,,66.1,0.0,0,1,16,0.0,0,33,0,39.4,9,100.0,33,0.0,0,43.2,16,0,100.0,33,78,16,1.8,8.7,2.36
Jamaal Pritchett,155624,WR,TUSKEGEE,2,12.4,5,57.1,40.0,2,5,0,11.1,1,-0.02,6,405,0,59.3,70.0,76.5,,75.7,0.0,0,0,47,0.0,0,51,0,42.0,8,98.0,50,0.0,0,120.5,14,1,100.0,51,158,77,9.6,19.8,3.16
Steven Hodges,91836,WR,TUSKEGEE,2,18.6,1,38.5,0.0,0,3,0,16.7,1,0.02,4,405,0,53.4,70.4,57.0,,58.1,0.0,0,0,31,0.0,0,60,1,41.4,5,96.7,58,8.3,5,85.1,13,1,91.7,55,79,24,4.8,15.8,1.36
Devin Heckstall,84479,WR,UVAWIS,1,9.3,1,76.9,0.0,0,2,0,0.0,0,-0.36,7,1320,0,80.9,67.9,72.5,,73.7,0.0,0,0,14,0.0,0,42,0,39.0,10,97.6,41,26.2,11,128.8,13,2,73.8,31,72,2,0.2,7.2,1.76
Cameron Saunders,186569,WR,ELIZBTH ST,1,9.8,2,75.0,50.0,2,4,0,10.0,1,0.01,4,373,0,53.4,66.2,69.1,,68.7,0.0,0,0,21,0.0,0,46,0,47.7,9,95.7,44,2.2,1,125.0,12,1,97.8,45,94,36,4.0,10.4,2.14
CJ Henderson,152726,WR,POINTVILLE,2,7.3,2,58.3,0.0,0,2,0,12.5,1,-0.54,1,393,0,56.4,70.1,59.4,22.1,59.9,0.0,0,0,24,2.5,1,40,0,27.5,7,97.5,39,32.5,13,64.2,12,0,65.0,26,39,14,2.0,5.6,1.0
Vincent Wagner,154543,HB,ST ANSELM,1,-2.8,0,66.7,,0,0,0,27.3,3,-0.61,2,399,0,27.6,70.5,56.0,73.6,54.4,0.0,0,0,18,6.5,2,31,0,30.0,8,90.3,28,16.1,5,79.5,12,0,0.0,0,63,92,11.5,7.9,2.25
