player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Mason Barba,182755,C,LINCOK,8,100.0,0,1452,39.0,29.5,43.4,3,15,276,100.0,100.0,96.7,3,18,0,497,368,0,4,497,297,297,0,125,200,0
Romeo Dyer-Farrell,182832,G,LINCOK,8,100.0,0,1452,44.2,45.4,40.3,1,14,265,100.0,100.0,94.9,2,21,6,481,0,316,2,481,284,284,163,0,197,0
Dennis Shellie,168390,T,LINCOK,8,100.0,0,1452,48.9,48.2,58.4,6,7,247,100.0,100.0,96.6,6,15,2,464,3,0,141,464,265,265,0,320,199,0
Milan Nadzakov,182833,T,LINCOK,7,100.0,0,1452,33.9,3.8,45.5,5,19,190,100.0,100.0,92.1,1,27,3,345,0,163,116,345,202,202,9,57,143,0
James Atkins,182489,T,VA LYNCHBU,6,100.0,1,406,27.5,5.5,46.9,0,16,183,100.0,100.0,91.8,5,23,7,303,19,33,245,303,189,189,6,0,114,0
Willie Canty III,168391,T,LINCOK,7,99.3,1,1452,46.1,49.2,54.8,1,4,150,99.3,98.8,94.3,7,11,6,280,13,0,246,282,161,163,0,15,119,8
Sione Felemi,182727,G,LINCOK,6,100.0,0,1452,39.5,27.9,38.5,4,11,145,100.0,100.0,94.8,0,15,0,270,0,16,0,270,155,155,254,0,115,0
Malachi Murphy,182486,T,VA LYNCHBU,6,100.0,0,406,24.9,0.0,38.0,4,14,157,100.0,100.0,89.8,1,25,7,264,0,0,3,264,162,162,0,261,102,0
Jordan Thomas,182490,C,VA LYNCHBU,6,100.0,0,406,31.4,21.2,43.9,4,9,158,100.0,100.0,92.1,3,19,6,251,206,42,0,251,163,163,3,0,88,0
Teriq Phillips,182737,WR,LINCOK,8,39.0,0,1452,61.3,60.9,59.1,0,0,1,0.4,0.4,100.0,3,0,0,163,0,0,0,418,1,255,0,0,162,0
Jaelon Brown,151731,G,DELTAST,2,100.0,0,841,60.1,59.2,61.3,1,1,74,100.0,100.0,97.3,1,3,1,162,0,0,0,162,77,77,162,0,85,0
Keshawn Jennings,151773,G,DELTAST,2,100.0,0,841,60.3,82.2,57.6,0,1,74,100.0,100.0,99.3,2,1,0,162,0,162,0,162,77,77,0,0,85,0
Gavin Campbell,108523,T,DELTAST,2,100.0,0,841,64.7,48.2,67.7,1,4,74,100.0,100.0,96.6,0,5,0,162,0,0,0,162,77,77,0,162,85,0
