player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Rhett Riley,102870,QB,LINCOK,5,63.9,83,92,8.2,2.91,1,6,5.9,51.1,47,0,45,11.3,112,6,-0.64,16,1452,23.8,36.6,39.2,44.2,1,6,124,3,23.2,20.0,38.2,8.0,9,9,0,7,0,12,9.7,457,5.0
C.J. Brooks,168854,QB,VA LYNCHBU,3,57.8,83,86,13.3,2.49,2,3,3.3,47.7,41,0,31,14.6,103,7,0.1,27,406,37.6,39.9,36.2,62.2,0,1,110,2,35.9,29.0,81.8,8.7,9,7,1,0,4,9,8.2,605,7.0
Fanelle Andrus,168857,QB,VA LYNCHBU,6,46.3,54,58,9.5,2.56,0,1,1.6,37.9,22,0,39,12.0,87,3,-0.74,8,406,20.5,26.2,27.1,41.1,0,4,93,4,18.4,53.8,23.6,24.1,21,7,0,4,1,8,8.6,179,3.1
Alvaro Ortega-Morale,168838,QB,VA LYNCHBU,4,45.2,42,50,11.3,2.45,2,1,2.0,28.0,14,0,29,26.3,63,5,-0.69,7,406,70.5,36.6,38.8,45.9,0,1,65,1,19.0,27.6,31.8,12.7,8,5,1,5,0,2,3.1,156,3.1
Maxwell Ward,167780,QB,KYCRST,1,64.1,39,42,8.5,2.54,0,2,4.5,57.1,24,0,18,4.0,52,1,-0.34,12,1474,69.8,51.0,52.8,51.0,1,2,54,0,28.8,27.8,70.9,9.6,5,3,0,2,1,2,3.7,334,8.0
Gavin Brooks,166909,QB,CONCMI,1,70.7,41,41,7.0,2.44,0,0,0.0,63.4,26,0,13,10.3,46,3,-0.27,11,1472,69.5,50.1,49.5,59.4,0,4,47,0,47.8,15.4,48.7,4.3,2,3,0,0,1,4,8.5,248,6.0
Xander Stokes,151379,QB,INWSLY,1,73.7,38,40,6.3,2.66,0,1,2.4,65.0,26,0,13,7.1,49,2,-0.04,9,1451,18.4,49.5,46.5,67.5,0,0,51,1,34.7,46.2,93.4,12.2,6,3,0,2,1,5,9.8,277,6.9
Tyler Thomas,165481,QB,STTMFL,1,71.4,35,38,8.4,1.94,1,6,15.0,57.9,22,0,2,12.0,38,3,0.04,11,1477,69.5,86.9,86.1,60.0,1,1,40,0,39.5,0.0,79.3,0.0,0,0,0,1,1,1,2.5,284,7.5
Lendon Redwine,111177,QB,UVAWIS,1,79.4,34,36,6.4,2.47,1,1,2.8,69.4,25,0,19,7.4,44,2,-0.1,7,1320,38.2,56.0,58.8,50.6,1,1,44,0,31.8,26.3,88.0,11.4,5,2,0,0,1,3,6.8,262,7.3
Kason Martin,83531,QB,EANMGH,1,25.0,32,35,13.6,2.63,1,0,0.0,20.0,7,0,15,12.5,37,1,-0.77,4,858,31.4,37.0,36.8,54.9,2,1,37,0,18.9,6.7,27.7,2.7,1,1,0,0,0,2,5.4,55,1.6
