player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Darius Wise,52023,CB,EDNBFS,1,0,0,860,59.6,,,,,,60.7,,,66.7,0,0,0,6,0,0,0,1,0
Brendan Lamb,52868,HB,TAYLOR,1,0,0,402,,,,,,,60.0,,,64.3,0,0,0,0,0,8,0,0,0
Tyler Gardner,54970,LB,AMRINT,1,0,0,737,60.0,,,,,,60.1,,,62.1,0,0,0,5,0,0,0,0,0
Amir Riep,55672,S,LINCOK,7,0,0,1452,59.9,,,,,,65.9,60.0,,71.3,0,0,0,25,1,8,1,15,1
Olalere Oladipo,56639,ED,FERRIS,1,0,0,868,59.7,,60.0,,,,39.2,,,64.8,1,0,3,2,0,0,5,0,0
Deron Irving-Bey,56716,DI,FERRIS,1,0,0,868,59.6,,,,,,59.8,,,62.0,0,0,0,1,0,0,0,0,0
Jaohne Duggan,56813,DI,EDNBFS,1,0,0,860,58.7,,60.0,,,,58.7,,,64.0,0,0,1,7,0,0,0,0,0
Dezmond Lance,56949,ED,FERRIS,1,0,0,868,59.5,,,,,,59.9,,,62.7,0,0,0,2,0,0,3,0,0
James Newsome Jr.,58103,DI,VIRSTA,1,0,0,1164,59.6,,,,,,60.9,,,67.2,0,0,0,1,0,0,0,2,0
Daniel Nienaber,63912,DI,CARSON,1,0,0,799,59.3,,,,,,60.1,,,66.4,0,0,0,2,0,0,0,1,0
Levi Tidwell,63923,WR,INWSLY,1,0,0,1451,,,,,,,59.9,,,65.9,0,0,0,0,0,5,0,0,0
Adam Mullett,65046,QB,WABASH,1,0,0,1167,,,60.0,,,,60.3,,,60.5,0,0,4,0,0,0,0,0,0
Brenden Hodge,70485,WR,W OREGON,1,0,0,411,,,,,,,60.0,,,63.8,0,0,0,0,0,0,0,1,0
Kaleb Niumata,71532,S,COMESA,1,0,0,1281,60.0,,,,,,60.0,,,61.1,0,0,0,1,0,0,0,0,0
Treverren Mack,71794,ED,SWMINN,1,0,0,1108,59.3,,,,,,59.4,,,63.7,0,0,0,3,0,0,0,0,0
Mark Person,73136,DI,SWMINN,1,0,0,1108,59.8,,,,,,62.3,,,66.9,0,0,0,2,0,0,0,6,0
Bradley Gould,73681,T,SWMINN,1,0,0,1108,,,60.0,,,,60.0,,,62.1,0,0,2,0,0,0,0,0,0
Joshua Sekiyoba,74116,S,LANECOL,1,0,0,942,60.1,,,,,,61.6,,,65.6,0,0,0,4,3,0,0,2,0
Dauson Booker,75726,S,FERRIS,1,0,0,868,60.0,,,,,,62.2,,,67.8,0,0,0,1,2,2,0,3,0
Rodney McGraw II,75730,CB,WESTFL,1,0,0,1269,,,,,,,62.9,,,69.4,0,0,0,0,3,0,0,3,0
Elijah Miranda,75749,DI,TUSKEGEE,1,0,0,405,59.6,,,,,,60.2,,,64.3,0,0,0,1,0,0,0,1,0
