player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Quincy Newsom,212769,HB,JOHNCA,14,116,12,10,29.7,200,0,674,2,0,12,337,27.0,23,41,926,1,105,76.0,75.2,85.0,,37.6,54.7,80.3,51.7,37,0,101,13,130,147,0,0,16,129,7,674,337,2.91,5.8,0.78,8
Nemo Jenkins,212753,HB,JOHNCA,14,112,23,10,54.2,423,0,781,0,8,23,587,118.6,15,35,926,0,105,88.2,82.3,84.8,,52.3,73.7,85.3,53.4,90,0,218,25,158,140,0,0,30,137,7,781,587,5.24,7.0,1.38,6
Cohen Klimak,212756,HB,JOHNCA,14,79,25,8,34.2,154,0,450,1,4,25,278,93.6,16,27,926,1,69,71.1,80.6,84.1,,70.6,82.1,79.0,63.3,24,0,238,30,129,134,0,0,34,109,4,450,278,3.52,5.7,1.84,5
Keller Moten,212787,QB,JOHNCA,13,52,8,5,41.3,138,0,334,0,0,8,202,59.8,9,24,926,3,50,36.7,83.3,76.6,61.0,,,75.3,60.0,46,0,0,0,0,64,0,0,0,52,8,334,202,3.88,6.4,,2
Jacob Newman,196968,HB,VA LYNCHBU,4,51,19,4,44.9,71,0,158,1,0,19,153,105.6,7,10,406,0,17,82.4,67.6,81.3,,59.2,47.6,70.9,73.8,20,0,-1,3,65,60,0,0,6,54,0,158,153,3.0,3.1,-0.02,29
Nick Semptimphelter,142984,QB,JOHNCA,14,38,0,0,0.0,0,0,-14,0,0,0,-1,0.0,4,6,926,9,6,48.2,91.0,80.9,91.4,,,49.6,60.4,19,2,0,0,0,330,116,19,0,19,3,102,40,1.05,2.7,,1
Eli White,209174,HB,THMORE,2,26,4,2,47.9,45,0,94,0,0,4,63,35.9,3,5,1296,1,13,41.2,63.5,79.2,,74.1,54.8,64.1,57.6,27,0,5,1,29,33,0,0,3,27,0,94,63,2.42,3.6,0.17,13
Roderick Thomas,182378,HB,MILES,2,25,2,0,0.0,0,0,81,0,0,2,57,15.2,2,6,386,0,13,78.1,57.5,78.1,,19.5,68.9,59.9,59.1,13,0,19,5,22,28,0,0,6,30,1,81,57,2.28,3.2,0.86,11
Tim Newman,142572,HB,VA LYNCHBU,4,24,5,0,0.0,0,0,25,1,1,5,47,43.5,0,2,406,0,8,77.8,55.1,79.3,,84.0,47.8,55.6,54.3,8,0,25,3,38,36,0,0,4,27,0,25,47,1.96,1.0,0.66,13
Kieran Falzon,211108,HB,SOCTOW,1,24,8,1,15.6,15,0,96,0,1,8,77,106.9,3,5,1107,1,7,42.4,59.2,77.2,,16.9,40.0,65.0,60.0,15,0,21,3,30,28,0,0,3,27,1,96,77,3.21,4.0,0.7,17
Caden Whitehead,212743,HB,DEPAUW,1,24,1,1,41.9,39,0,93,0,0,1,42,7.0,2,4,845,0,22,77.8,63.6,80.2,,38.5,65.3,64.6,60.0,39,0,4,1,12,25,0,0,1,25,0,93,42,1.75,3.9,0.33,1
Trey Brueggemann,176085,HB,ADRIAN,1,23,5,1,21.8,17,0,78,0,0,5,75,62.7,3,6,1534,0,13,77.5,72.5,77.3,,80.7,63.0,70.0,65.0,17,0,12,3,15,31,0,0,4,26,0,78,75,3.26,3.4,0.8,9
Josh Styles,212785,HB,JOHNCA,6,20,4,1,20.2,17,0,84,0,2,4,56,73.0,3,4,926,0,19,76.8,72.3,77.1,,73.2,67.7,70.9,65.7,17,0,39,3,19,26,0,0,3,23,1,84,56,2.8,4.2,2.05,1
Robert Brazziel,212065,QB,LINCOK,4,20,3,0,0.0,0,0,4,0,0,2,9,18.0,5,6,1452,2,6,60.6,62.2,13.5,67.9,,,49.9,60.0,14,4,0,0,0,36,77,10,0,10,0,81,41,2.05,4.1,,3
Johnny Morris,168550,HB,TUSKEGEE,2,19,2,1,19.7,15,0,76,0,0,2,51,28.3,3,5,405,0,8,76.5,67.1,76.5,,68.0,53.7,68.0,58.9,15,0,0,0,16,21,0,0,0,19,0,76,51,2.68,4.0,0.0,9
Traquan Johnson,180805,HB,ELIZBTH ST,1,17,4,1,32.1,25,0,78,0,0,4,66,77.6,2,5,373,1,7,31.6,78.4,76.8,,69.0,83.8,74.1,58.8,25,0,41,3,13,22,0,0,3,20,0,78,66,3.88,4.6,3.15,10
Michael Jamerson III,147877,HB,SVSU,1,17,4,1,26.2,16,0,61,0,1,4,46,75.2,2,4,1082,0,2,76.2,60.3,75.7,,27.3,62.4,63.9,47.7,16,0,3,1,17,27,0,0,1,18,1,61,46,2.71,3.6,0.18,15
Donovan McNeal,212992,HB,NTH CENT,1,17,8,2,39.2,56,0,143,0,0,8,96,251.0,4,6,1022,1,10,29.8,81.1,74.4,,80.0,71.7,77.4,60.0,34,0,3,1,6,19,0,0,1,18,0,143,96,5.65,8.4,0.5,7
Aidan Vaught,211835,HB,Ferr,1,17,1,0,0.0,0,0,41,0,1,1,41,25.4,2,3,869,0,11,75.9,63.3,75.1,,75.1,62.5,61.3,67.7,11,0,11,2,10,25,0,0,2,19,0,41,41,2.41,2.4,1.1,5
Jahi Wood,210971,HB,NMiU,1,17,5,0,0.0,0,0,49,0,0,5,34,58.8,1,4,1031,0,3,75.8,58.9,76.4,,75.7,70.8,57.6,56.3,11,0,0,0,6,38,0,0,0,17,1,49,34,2.0,2.9,0.0,3
Javi Quimba,212782,HB,JOHNCA,6,16,6,0,0.0,0,0,51,0,0,6,37,86.7,1,3,926,0,16,75.8,72.9,76.2,,,66.8,69.8,71.1,11,0,0,0,6,23,0,0,0,16,0,51,37,2.31,3.2,0.0,0
Trent Grotjan,180045,QB,WEBINT,1,15,4,1,46.3,19,0,37,0,0,4,36,73.5,2,4,1246,1,9,73.6,59.3,76.3,53.2,,,64.0,60.0,19,0,0,0,0,35,4,1,0,14,0,41,39,2.6,2.7,,3
Manny Zelaya,213265,HB,CLG OF WOO,1,15,2,0,0.0,0,0,31,0,0,2,34,30.2,1,2,1217,0,13,75.2,64.4,78.3,,81.5,54.5,63.7,,10,0,0,0,10,15,0,0,0,15,0,31,34,2.27,2.1,0.0,2
Darnell Williams,212982,HB,MT UNION,1,15,5,0,0.0,0,0,44,0,0,5,29,64.4,1,3,1006,0,8,75.2,60.4,76.3,,74.9,54.2,60.8,60.7,11,0,0,0,13,21,0,0,0,15,0,44,29,1.93,2.9,0.0,4
Fabian Duncan,207773,HB,ALU,1,15,5,0,0.0,0,0,64,0,1,5,49,122.5,2,5,735,0,14,75.2,74.7,75.7,,80.6,59.3,74.3,58.6,10,0,2,1,10,19,0,0,1,16,2,64,49,3.27,4.3,0.2,1
Jaylen Johnson,212752,HB,JOHNCA,3,15,6,2,39.3,35,0,89,0,0,6,57,152.0,3,6,926,1,14,27.2,67.6,73.9,,22.5,59.8,67.2,58.8,19,0,0,0,1,18,0,0,0,15,0,89,57,3.8,5.9,0.0,1
Noah Dobert,210905,HB,NMiU,1,14,1,0,0.0,0,0,44,0,0,1,24,12.2,0,4,1031,0,0,76.9,54.7,77.3,,18.2,69.9,59.2,60.3,6,0,0,0,6,39,0,0,0,14,0,44,24,1.71,3.1,0.0,4
Kendrick Jefferson,209198,HB,SRSU,2,14,3,0,0.0,0,0,32,0,0,3,24,36.7,1,2,1133,2,7,16.3,47.1,73.7,,69.7,58.6,49.2,57.3,14,0,0,0,1,23,0,0,0,14,0,32,24,1.71,2.3,0.0,7
