player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Jenks,196957,QB,VA LYNCHBU,6,62.4,101,112,6.9,2.74,0,1,0.9,54.5,61,0,68,3.2,131,2,-0.28,26,406,63.2,34.6,35.3,52.1,0,5,135,3,26.7,20.6,49.9,10.7,14,5,0,11,1,6,4.4,484,4.3
Jack Clavel,196912,QB,LINCOK,3,57.6,66,69,11.0,2.12,0,4,5.3,49.3,34,0,21,10.5,70,4,-0.36,18,1452,71.6,39.9,41.8,54.3,2,9,76,2,31.4,0.0,43.7,0.0,0,0,0,1,3,9,11.8,425,6.2
David Wright,195328,QB,CLARK ATL,1,68.1,47,49,10.4,2.93,0,2,3.8,61.2,30,0,25,6.3,59,2,0.26,21,369,42.3,65.2,59.0,78.1,0,1,62,0,49.2,20.0,103.8,8.5,5,5,0,2,4,3,4.8,376,7.7
Kainoa Jones,152379,QB,W OREGON,2,63.2,38,41,13.4,3.15,0,2,4.7,53.7,22,0,18,8.3,52,2,0.01,17,411,54.5,67.2,68.2,61.0,1,1,55,2,38.5,27.8,66.6,9.6,5,6,0,2,0,1,1.8,295,7.2
Mitchell Gossett,152690,QB,POINTVILLE,1,58.8,34,40,8.9,1.94,1,1,2.2,40.0,16,0,16,20.0,41,4,-0.18,7,393,69.9,53.3,52.7,64.9,0,0,47,3,29.3,0.0,67.7,0.0,0,1,0,5,2,1,2.1,150,3.8
Craig Pender,194055,QB,ERSKIN,1,69.4,36,39,7.6,2.13,2,0,0.0,59.0,23,0,11,8.0,41,2,-0.22,9,1526,70.8,51.9,51.3,62.7,0,2,42,1,36.6,18.2,68.8,4.9,2,0,0,1,2,3,7.1,204,5.2
Luke Duby,148765,QB,BLHLYJ,1,52.8,36,37,6.8,2.43,1,0,0.0,48.6,18,0,15,5.3,40,1,-0.56,7,1227,36.6,29.6,29.6,53.2,0,2,41,0,20.0,13.3,58.2,5.0,2,1,0,0,2,4,9.8,178,4.8
Kyle Antoine,179561,QB,INWSLY,1,65.6,32,36,7.5,2.72,0,0,0.0,52.8,19,0,11,9.5,38,2,-0.03,13,1451,69.4,69.2,68.8,59.4,0,2,39,0,39.5,18.2,57.4,5.3,2,0,0,4,1,2,5.1,218,6.1
Carson Budke,195054,QB,RU,1,67.9,28,34,10.6,2.69,0,3,7.9,50.0,17,0,20,10.5,38,2,-0.01,10,1529,69.5,70.8,73.0,57.1,0,1,42,1,34.2,20.0,86.2,10.5,4,0,0,6,2,1,2.4,286,8.4
Preston Brown,97167,QB,CATAWB,1,71.9,32,33,6.5,2.46,1,0,0.0,66.7,22,0,9,4.3,40,1,-0.2,12,802,69.2,60.1,58.7,62.0,0,1,43,0,40.0,55.6,88.1,12.5,5,2,0,0,2,2,4.7,181,5.5
