player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Madjou Ba,196934,G,VA LYNCHBU,6,100.0,1,406,42.1,19.2,47.2,0,14,189,100.0,100.0,96.3,1,14,0,293,0,0,0,293,197,197,293,0,96,0
Xander Smith,196979,C,VA LYNCHBU,6,100.0,0,406,53.7,63.4,49.5,1,5,187,100.0,100.0,97.9,1,7,1,291,291,0,0,291,195,195,0,0,96,0
Donte Woodyard,196989,T,VA LYNCHBU,6,100.0,0,406,45.0,29.2,51.9,0,11,168,100.0,100.0,94.9,0,14,3,260,0,36,71,260,173,173,0,153,87,0
Tyler Boyd,196937,G,VA LYNCHBU,5,100.0,1,406,14.4,0.0,34.5,2,16,122,100.0,100.0,91.0,4,20,2,174,0,89,68,174,128,128,0,16,46,1
Fred Rogers,196976,T,VA LYNCHBU,4,100.0,0,406,23.7,0.0,40.1,2,11,98,100.0,100.0,88.3,2,18,5,168,0,55,113,168,99,99,0,0,69,0
Romeo Dyer-Farrell,182832,G,LINCOK,3,100.0,1,1452,54.0,51.1,52.4,1,3,81,100.0,100.0,97.5,2,4,0,160,0,152,0,160,88,88,8,0,72,0
Kareem Sy,196926,C,LINCOK,3,100.0,0,1452,37.6,29.2,44.3,3,3,81,100.0,100.0,96.3,1,6,0,156,156,0,0,156,88,88,0,0,68,0
Wesley Snow,196981,G,VA LYNCHBU,5,100.0,0,406,29.0,0.0,49.0,1,13,107,100.0,100.0,89.7,0,18,4,150,2,105,35,150,114,114,0,8,36,0
Jacob Newman,196968,HB,VA LYNCHBU,6,52.3,0,406,66.2,90.1,49.1,1,1,123,67.2,67.0,98.4,1,3,1,148,0,0,0,283,128,191,0,0,20,0
Lebron Merriweather,182410,C,TUSKEGEE,2,100.0,0,405,51.8,71.2,54.7,1,1,74,100.0,100.0,98.6,3,2,0,137,137,0,0,137,77,77,0,0,60,0
Shaun Stitten,155632,T,TUSKEGEE,2,100.0,0,405,66.3,52.0,69.6,0,4,74,100.0,100.0,95.9,0,5,1,137,0,67,0,137,77,77,0,70,60,0
Terrence Jordan,152596,T,TUSKEGEE,2,100.0,0,405,61.2,81.1,49.5,1,1,74,100.0,100.0,97.3,0,3,1,137,0,0,137,137,77,77,0,0,60,0
Zach Zumwalt,152415,C,W OREGON,2,100.0,0,411,66.0,57.2,65.7,0,3,70,100.0,100.0,97.9,0,3,0,135,135,0,0,135,74,74,0,0,61,0
