player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Stanford Babooram,169000,G,VA LYNCHBU,7,100.0,1,406,43.6,39.9,39.2,1,7,233,100.0,100.0,97.0,2,11,3,385,0,373,0,385,247,247,10,0,138,0
Dillon Porter,168996,T,VA LYNCHBU,6,100.0,0,406,42.6,32.7,49.1,1,9,233,100.0,100.0,94.8,3,17,7,374,0,0,372,374,248,248,0,0,126,0
Lavoris Fleming,168999,T,VA LYNCHBU,6,100.0,0,406,35.8,29.2,43.4,2,12,227,100.0,100.0,95.2,3,18,4,360,0,0,0,360,242,242,0,360,118,0
Ty'Orice Brown,168987,C,VA LYNCHBU,6,100.0,0,406,49.5,41.4,53.3,3,9,221,100.0,100.0,95.9,2,15,3,357,356,0,0,357,237,237,0,0,120,0
Dennis Shellie,168390,G,LINCOK,5,100.0,1,1452,56.1,60.6,56.1,0,5,127,100.0,100.0,98.0,3,5,0,341,1,336,3,341,141,141,1,0,200,0
Khiry Stubbs,108863,G,LINCOK,5,100.0,1,1452,26.6,22.3,27.5,0,8,127,100.0,100.0,96.1,1,9,1,341,0,0,1,341,141,141,270,70,200,0
Willie Canty III,168391,T,LINCOK,5,100.0,2,1452,30.1,34.5,43.5,1,5,127,100.0,100.0,97.6,10,6,0,341,0,0,270,341,141,141,0,65,200,6
Javon Davis,168387,C,LINCOK,5,100.0,1,1452,30.9,20.7,41.0,1,6,101,100.0,100.0,96.5,2,7,0,275,272,1,0,275,113,113,2,0,162,0
Jaiden Williams,168989,G,VA LYNCHBU,5,100.0,0,406,54.0,60.1,48.9,0,6,174,100.0,100.0,97.7,0,7,1,268,0,0,0,268,185,185,204,64,83,0
Tayadi Bush,169162,T,LINCOK,4,100.0,0,1452,55.1,55.3,56.1,1,3,82,100.0,100.0,97.6,2,4,0,214,0,0,4,214,90,90,0,206,124,3
Trexton Black,168997,G,VA LYNCHBU,5,100.0,0,406,23.9,0.0,35.7,1,11,93,100.0,100.0,91.4,1,14,2,169,0,0,0,169,99,99,168,0,70,0
Joquawn Wright,155809,C,VA LYNCHBU,5,100.0,0,406,43.4,25.8,48.0,0,5,76,100.0,100.0,95.4,1,6,1,137,70,10,12,137,83,83,44,0,54,0
Will Anglen,131670,WR,LINCOK,5,48.7,0,1452,42.6,25.5,36.1,0,0,2,1.8,1.6,100.0,1,0,0,136,0,0,0,279,2,124,0,0,134,10
Treyvion Dimmings,168370,WR,LINCOK,5,56.3,0,1452,57.7,,59.6,0,0,0,0.0,0.0,,0,0,0,135,0,0,0,240,0,104,0,0,135,1
Rhett Riley,102870,QB,LINCOK,5,50.2,0,1452,36.6,,60.8,0,0,0,0.0,0.0,,3,0,0,130,0,0,0,259,0,124,0,0,130,0
Terrence Jordan,152596,T,LANECOL,2,100.0,0,942,61.9,66.8,61.6,2,5,64,100.0,100.0,93.0,1,8,1,121,0,0,121,121,66,66,0,0,55,0
Saveyon Henderson,152603,T,LANECOL,2,100.0,0,942,57.8,58.2,60.0,2,3,64,100.0,100.0,96.1,1,5,0,121,0,0,0,121,66,66,0,121,55,0
Taviauhn Turner,109219,G,LANECOL,2,100.0,0,942,61.9,63.1,60.3,1,4,64,100.0,100.0,94.5,0,6,1,121,0,120,0,121,66,66,1,0,55,0
Jamerson Johnson,152602,C,LANECOL,2,100.0,0,942,56.8,36.9,60.9,1,2,63,100.0,100.0,92.9,0,6,3,120,120,0,0,120,65,65,0,0,55,0
Jayden Adebo,151357,C,NAUSTA,2,100.0,0,1453,61.2,57.1,60.8,0,1,54,100.0,100.0,99.1,0,1,0,112,88,6,9,112,60,60,9,0,52,0
Kenny Brown,168528,T,NAUSTA,2,100.0,0,1453,39.5,25.7,56.0,0,5,54,100.0,100.0,95.4,2,5,0,106,0,0,45,106,60,60,0,61,46,0
Elijah Andres-Davis,168992,TE,VA LYNCHBU,6,80.8,0,406,42.3,64.6,40.9,0,1,25,54.3,55.8,94.0,0,2,1,97,0,0,0,120,29,52,0,0,68,95
Enrique Newman,151327,G,NAUSTA,2,100.0,0,1453,59.8,30.1,64.5,0,3,41,100.0,100.0,93.9,0,4,1,95,15,61,0,95,45,45,0,19,50,0
Anthony Duffy,168849,WR,VA LYNCHBU,7,32.6,0,406,48.7,,60.6,0,0,0,0.0,0.0,,1,0,0,92,0,0,0,282,0,190,0,0,92,2
