player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Darrius Sample,155649,QB,VA LYNCHBU,5,47.2,72,80,13.5,3.61,0,2,2.3,36.3,29,0,73,14.7,112,5,-0.57,21,406,18.0,26.3,25.3,55.0,2,6,121,2,24.1,26.0,28.9,17.0,19,13,0,6,2,17,14.0,374,4.7
Drew Willoughby,154549,QB,ST ANSELM,1,51.8,56,57,7.6,1.87,1,2,3.2,42.1,24,0,10,17.2,59,5,-0.42,10,399,44.5,29.8,33.7,38.1,0,3,64,0,32.2,20.0,34.8,3.4,2,0,0,0,1,6,9.4,188,3.3
Lendon Redwine,111177,QB,UVAWIS,1,68.0,50,54,7.1,2.05,1,2,3.6,61.1,33,0,12,2.9,55,1,-0.29,14,1320,70.4,74.8,73.8,60.0,0,2,57,0,38.2,8.3,67.5,1.8,1,0,0,3,2,0,0.0,228,4.2
Randal Moore,151342,QB,NAUSTA,2,54.5,44,46,11.0,2.94,0,1,2.1,37.0,17,0,32,29.2,57,7,-0.67,6,1453,71.8,33.4,29.7,66.3,0,1,59,1,17.5,28.1,39.9,15.8,9,2,0,2,0,5,8.5,178,3.9
Ramone Atkins,37281,QB,N MEX HIGH,1,45.2,42,44,13.2,2.62,0,2,4.3,38.6,17,0,9,10.5,50,2,-0.38,14,388,50.7,58.6,51.0,70.0,1,2,53,1,32.0,33.3,53.2,6.0,3,3,0,1,2,3,5.7,240,5.5
Dillon Sterling-Cole,46390,QB,MWSTATE,1,56.4,39,41,9.7,2.58,1,0,0.0,48.8,20,0,11,9.1,42,2,-0.26,8,983,43.2,45.6,37.9,67.9,0,2,44,0,33.3,0.0,47.1,0.0,0,1,1,0,1,4,9.1,163,4.0
Payton Allen,152692,QB,POINTVILLE,2,60.6,33,39,7.2,3.15,0,1,2.6,46.2,18,0,17,10.0,47,2,-0.41,7,393,70.2,48.5,44.0,64.2,1,2,47,0,27.7,23.5,43.2,8.5,4,4,0,5,1,4,8.5,145,3.7
Tyrell Jackson,154115,QB,FRTVLY,1,71.4,35,38,7.4,2.28,0,1,2.5,52.6,20,0,18,20.0,44,5,-0.41,10,874,16.7,66.8,71.7,44.8,1,0,46,1,29.5,22.2,76.8,9.1,4,2,0,2,1,2,4.3,201,5.3
Kevin Caldwell,120777,QB,ELIZBTH ST,1,83.8,37,38,8.6,2.04,1,4,10.0,68.4,26,0,20,16.1,46,5,0.12,13,373,70.3,83.2,88.4,57.9,0,0,48,3,47.8,40.0,131.4,17.4,8,0,0,0,4,0,0.0,339,8.9
Armon Hickson,143373,QB,FORT LEW,1,59.5,37,37,7.5,2.66,0,1,2.6,56.8,21,0,25,4.5,46,1,-0.18,11,873,69.7,61.9,50.8,75.5,0,3,48,0,41.3,16.0,64.8,8.7,4,5,0,0,3,2,4.2,197,5.3
