player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Teriq Phillips,182737,WR,LINCOK,8,12.0,3,47.6,16.7,1,6,0,11.8,4,-0.36,14,1452,0,58.3,73.0,61.3,60.9,62.3,0.0,0,3,40,0.4,1,255,3,28.7,30,92.5,236,11.4,29,57.7,63,3,88.6,226,301,87,2.9,10.0,1.28
Otis Weah,87580,HB,LINCOK,8,0.6,7,75.0,100.0,1,1,0,12.9,4,-0.28,12,1452,0,55.6,66.9,64.2,56.0,66.2,2.3,5,1,55,14.7,32,218,0,30.7,27,78.0,170,20.2,44,89.4,36,1,0.0,0,234,268,9.9,8.7,1.38
Shamon Gennes,182728,WR,LINCOK,5,12.5,6,45.7,50.0,2,4,0,15.8,3,-0.33,6,1452,1,49.0,35.0,54.2,,54.1,0.0,0,3,41,0.0,0,175,0,26.4,16,93.1,163,29.7,52,32.8,35,1,70.3,123,158,90,5.6,9.9,0.97
Jason Scirigione,182445,WR,VA LYNCHBU,6,11.4,0,36.0,25.0,1,4,0,30.8,4,-0.57,7,406,0,24.8,67.9,54.6,,56.3,0.0,0,2,64,0.0,0,171,1,24.0,9,97.7,167,86.0,147,54.1,25,2,14.0,24,172,80,8.9,19.1,1.03
Dre' Williams,152242,WR,N GREENVLE,2,11.0,5,50.0,0.0,0,1,0,14.3,2,-0.04,5,390,1,51.7,14.4,56.2,,59.3,0.0,0,2,39,0.0,0,82,0,40.0,12,97.6,80,78.0,64,48.6,24,1,22.0,18,148,118,9.8,12.3,1.85
Anthony Duffy,168849,WR,VA LYNCHBU,4,13.4,1,28.6,0.0,0,2,0,14.3,1,-0.44,1,406,0,53.4,66.2,53.6,,53.2,0.0,0,2,10,0.0,0,130,0,27.0,6,96.9,126,3.1,4,0.0,21,0,96.9,126,40,4,0.7,6.7,0.32
Elijah Harris,182448,WR,VA LYNCHBU,6,10.2,0,26.3,0.0,0,3,0,37.5,3,-0.53,3,406,0,19.8,67.7,48.6,,49.3,0.0,0,1,38,0.0,0,176,2,25.7,5,97.2,171,8.0,14,21.8,19,0,92.0,162,76,21,4.2,15.2,0.44
John Jiles,180159,WR,WESTFL,2,16.6,3,52.9,66.7,2,3,0,18.2,2,0.03,8,1269,0,47.1,67.9,75.2,,75.9,0.0,0,0,64,0.0,0,68,1,41.0,9,89.7,61,16.2,11,132.5,17,2,83.8,57,192,51,5.7,21.3,3.15
Kaleb Hervey,182730,TE,LINCOK,8,3.0,1,68.8,0.0,0,3,0,8.3,1,-0.31,4,1452,0,49.5,68.7,45.8,42.5,47.4,18.2,35,0,18,8.3,16,192,3,27.7,11,86.5,166,63.5,122,78.6,16,0,5.2,10,74,62,5.6,6.7,0.45
Trevon Dirden,181425,WR,SHORTER,2,6.6,2,62.5,60.0,3,5,0,9.1,1,-0.18,4,396,0,62.9,67.9,60.5,,62.4,0.0,0,0,23,0.0,0,66,0,31.1,10,92.4,61,13.6,9,75.8,16,0,86.4,57,83,35,3.5,8.3,1.36
Logan Scott,182470,WR,VA LYNCHBU,5,8.3,0,50.0,,0,0,0,20.0,2,-0.73,3,406,0,41.2,67.1,52.9,,52.8,0.0,0,0,18,0.0,0,112,0,19.8,8,94.6,106,67.0,75,60.2,16,0,33.0,37,63,29,3.6,7.9,0.59
