player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Deiontae Jones,24779,CB,WSRAMS,1,1,0,100.0,0,1,1206,1,0,53.7,68.1,79.6,60.0,90.3,28.4,0,0,0,0,17,38.5,5,0,0,106.3,6,0,0,14,0,31,62,8,0,0,8,0,1,54,1,30,39,4,7,1,6,0,0,57,53,9.5
Jerome Dews,31869,LB,BOWIE ST,1,0,0,,0,0,365,0,0,60.0,59.5,66.0,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,3,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,
Tre' Hendon,33382,LB,LNDNWD,1,1,0,100.0,0,0,949,0,0,48.1,48.6,73.8,55.4,56.6,62.5,0,0,0,0,12,20.0,1,0,0,109.7,3,0,0,22,0,8,29,2,0,0,2,0,0,27,4,17,5,1,3,0,3,0,0,31,32,10.3
Shea Campbell,33714,LB,WESTFL,1,1,0,40.0,0,0,1269,0,0,50.7,57.6,79.7,,67.4,43.4,0,0,0,0,13,22.2,2,0,0,52.1,2,0,0,71,0,41,72,0,0,0,0,0,0,72,0,31,0,5,6,0,5,0,0,20,14,10.0
Billy Nelson,33930,CB,W OREGON,1,1,0,66.7,0,0,411,0,0,62.2,60.3,0.0,,67.8,80.1,0,0,0,0,20,0.0,0,0,1,109.7,2,0,0,4,35,24,39,0,0,0,0,0,0,39,0,15,0,0,3,0,3,0,0,39,12,19.5
Dante Williams,34916,LB,DELTAST,1,2,0,50.0,0,0,841,0,0,73.7,80.3,79.6,67.9,75.6,67.5,1,0,0,0,-2,14.3,2,0,0,56.3,1,0,0,76,0,39,77,1,0,0,1,0,0,76,6,32,0,8,10,1,2,1,0,-2,1,-2.0
Arsante Conners,35570,ED,LNDNWD,1,2,0,,0,0,949,0,0,,64.2,75.4,71.5,58.0,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,0,2,18,0,0,0,7,13,0,1,2,0,0,0,0,0,0,
Stephon Williams,36017,LB,WESTFL,1,3,0,100.0,0,0,1269,0,0,66.5,78.5,75.7,58.6,86.8,64.7,0,1,0,0,7,16.7,1,0,0,95.8,1,0,0,32,0,23,47,0,0,0,0,0,0,47,2,22,14,1,2,0,1,1,0,7,10,7.0
Kyle Wilkins,40530,DI,LINCOLN,1,1,0,,0,0,380,0,0,,64.6,78.1,56.8,67.6,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,40,1,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,
Ja'cione Fugate,40621,S,KY STATE,1,0,0,50.0,0,0,378,0,0,63.0,57.3,71.1,,49.4,22.0,0,0,0,0,10,100.0,2,0,0,64.6,1,0,0,11,0,13,21,0,0,0,0,0,0,21,0,8,10,0,0,0,2,0,0,10,10,10.0
Adrian McGee,41102,S,N GREENVLE,1,0,0,,0,0,390,0,0,66.8,53.4,74.3,,45.1,42.0,0,0,0,0,,28.6,2,0,0,0.0,0,0,0,41,0,4,44,0,0,0,0,0,1,44,0,40,2,1,5,0,0,0,0,0,0,
Myles Wolfolk,42445,S,BOWIE ST,1,0,0,0.0,0,0,365,1,0,72.5,74.8,74.7,60.0,74.2,81.7,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,24,0,30,70,0,0,0,0,0,31,70,1,39,14,1,3,1,1,0,0,0,0,
Malik Sonnier,42618,CB,MWSTATE,1,1,0,100.0,0,0,983,0,0,72.0,70.8,79.5,64.9,62.3,59.1,1,0,0,0,12,16.7,2,1,0,135.4,3,0,0,14,0,26,62,0,0,0,0,0,15,62,1,35,33,3,9,0,3,1,1,21,17,7.0
Lamarques Thomas,43180,CB,DELTAST,1,1,0,100.0,0,0,841,0,0,54.5,59.5,73.9,,67.1,77.4,0,0,0,0,13,0.0,0,0,0,158.3,1,0,0,2,0,8,16,0,0,0,0,0,5,16,0,8,9,0,1,0,1,0,1,13,0,13.0
Kee Whetzel,43228,LB,WESTFL,1,1,0,100.0,0,0,1269,0,0,56.8,53.7,75.7,55.5,52.3,76.9,0,0,0,0,13,0.0,0,0,0,101.4,3,0,0,22,0,25,48,11,0,0,11,0,0,37,10,13,14,0,1,0,3,0,0,25,7,8.3
Simeon Gatling,43358,LB,BOWIE ST,1,0,0,66.7,0,0,365,0,0,71.5,57.7,80.4,56.9,40.6,36.9,0,0,0,0,2,28.6,2,0,0,70.1,2,0,0,12,0,21,49,15,0,0,15,0,1,34,2,26,20,3,5,1,3,0,0,-1,7,-0.5
Mykelle McDaniel,43553,ED,POINTVILLE,2,0,1,100.0,0,0,393,0,0,61.1,43.6,0.0,53.6,46.7,75.8,0,0,0,0,4,0.0,0,0,2,83.3,1,0,0,1,0,3,102,101,0,3,90,8,0,1,56,43,0,2,3,0,1,0,0,4,9,4.0
Marquis Hamilton,44260,CB,VIRUNI,1,2,0,100.0,0,0,1165,0,0,58.9,64.0,80.2,,72.6,64.1,0,0,0,0,18,12.5,1,0,0,141.0,3,0,0,2,0,22,51,0,0,0,0,0,0,51,0,29,49,1,5,1,3,0,1,25,11,8.3
