player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
TJ Goodwin,100826,QB,LINCOK,8,63.8,188,200,9.0,2.69,0,5,2.3,53.0,106,0,103,11.7,241,14,-0.27,51,1452,25.5,44.5,43.8,53.7,2,7,262,1,28.2,23.3,62.0,10.0,24,17,0,10,5,14,5.3,1056,5.3
C.J. Brooks,168854,QB,VA LYNCHBU,6,59.8,102,105,8.2,2.44,0,1,0.9,47.6,50,0,65,18.0,133,11,-0.42,21,406,27.0,42.4,39.9,64.7,2,4,136,0,27.1,33.8,53.0,16.5,22,6,0,1,2,8,5.9,524,5.0
Dylan Ramirez,166206,QB,N GREENVLE,2,74.6,63,67,8.2,2.68,0,1,1.4,59.7,40,0,29,14.9,86,7,-0.03,21,390,35.9,59.2,58.2,63.1,0,2,88,2,40.7,27.6,71.3,9.3,8,10,0,4,1,3,3.4,433,6.5
Patrick Shegog,151786,QB,DELTAST,2,73.0,63,67,9.2,2.28,1,5,7.1,56.7,38,0,15,17.4,74,8,0.21,23,841,74.5,78.6,73.4,72.9,2,0,77,0,43.2,26.7,96.0,5.4,4,3,0,1,3,2,2.6,510,7.6
Peewee Jarrett,180158,QB,WESTFL,2,74.1,54,64,10.3,2.92,1,3,4.2,56.3,36,0,27,10.0,72,4,0.18,22,1269,73.2,65.7,67.2,59.5,1,1,80,1,43.1,7.4,91.4,2.8,2,6,0,8,4,0,0.0,432,6.8
Edwin Kleinpeter Jr.,182360,QB,MILES,2,59.2,49,52,10.1,2.74,1,3,5.1,48.1,25,0,23,13.8,65,4,-0.07,18,386,51.6,60.3,57.5,62.2,1,1,73,0,32.3,26.1,74.0,9.2,6,7,0,1,1,4,5.5,418,8.0
Matt Carlisle,138330,QB,EDNBFS,2,65.8,38,41,7.4,2.62,1,1,2.4,48.8,20,0,18,20.0,53,5,-0.74,12,860,37.4,58.8,42.6,75.5,1,3,54,2,30.2,27.8,47.9,9.4,5,7,0,1,2,4,7.4,191,4.7
Jalyn Gramstad,180656,QB,NWREDR,1,72.2,36,41,9.0,2.83,1,2,4.8,63.4,26,0,16,0.0,49,0,0.15,14,1035,55.6,65.2,64.7,61.6,0,2,50,0,55.1,18.8,65.8,6.1,3,5,1,3,1,2,4.0,227,5.5
Damon Hockett,161177,QB,TAYLOR,2,72.7,33,40,8.3,2.77,2,3,7.1,57.5,23,0,19,4.2,49,1,0.09,14,402,15.9,60.3,69.7,53.0,0,0,51,0,42.9,10.5,94.4,4.1,2,6,0,5,2,1,2.0,266,6.7
Josh Brown,181411,QB,SHORTER,2,82.9,35,37,3.4,2.66,0,1,2.6,67.6,25,0,12,13.8,43,4,-0.38,10,396,70.2,49.0,48.7,54.9,0,1,45,0,25.6,25.0,72.9,7.0,3,3,0,2,1,2,4.4,149,4.0
Collin Sutton,179691,QB,SW BAPTIST,1,61.8,34,37,9.1,2.93,0,3,7.9,51.4,19,0,22,9.5,43,2,-0.5,8,1492,25.6,64.7,65.9,56.8,0,1,44,1,27.9,18.2,56.8,9.3,4,2,0,3,0,1,2.3,206,5.6
Bryson Williams,155638,QB,TUSKEGEE,2,58.3,36,36,12.4,2.67,0,2,5.1,50.0,18,0,16,14.3,42,3,-0.62,6,405,42.6,44.0,48.3,51.3,0,3,45,2,21.4,12.5,33.6,4.8,2,4,0,0,0,4,8.9,212,5.9
Mylik Mitchell,26942,QB,FERRIS,2,64.5,31,33,12.4,3.04,0,2,5.3,51.5,17,0,17,15.0,40,3,-0.01,13,868,17.3,47.1,57.0,33.4,0,1,45,0,40.0,23.5,73.8,10.0,4,3,0,2,1,2,4.4,248,7.5
Jesper Korkalainen,182794,QB,NAUSTA,2,60.0,30,33,3.5,2.27,0,0,0.0,45.5,15,0,21,16.7,39,3,-1.16,1,1453,71.5,29.5,29.0,56.4,1,3,40,2,10.3,14.3,14.6,7.7,3,2,0,2,0,3,7.5,11,0.3
Xander Stokes,151379,QB,INWSLY,1,46.7,30,32,13.8,2.73,0,3,8.6,40.6,13,0,15,7.1,36,1,-0.23,9,1451,69.8,73.7,70.4,69.2,0,1,39,0,33.3,20.0,76.4,8.3,3,1,0,2,3,0,0.0,171,5.3
