player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyren Montgomery,165655,WR,JOHNCA,14,9.5,27,82.1,61.5,8,13,0,4.0,5,0.44,73,926,0,87.3,64.3,92.6,,92.6,0.0,0,2,73,0.0,0,434,5,57.2,119,96.3,418,23.3,101,139.4,145,15,76.7,333,1530,664,5.6,12.9,3.66
Kenneth Rawls,109349,TE,JOHNCA,13,4.0,26,83.6,63.6,7,11,1,7.6,5,0.44,36,926,1,65.5,49.8,82.4,68.1,86.8,69.6,284,0,62,17.4,71,408,3,57.6,61,79.2,323,19.4,79,144.3,73,9,8.1,33,667,482,7.9,10.9,2.07
Shane Lindstrom,212759,WR,JOHNCA,14,10.5,6,88.3,100.0,6,6,0,3.6,2,0.46,32,926,0,77.9,74.5,75.2,,73.7,0.0,0,0,47,0.0,0,362,3,58.9,53,96.1,348,8.3,30,141.4,60,5,91.7,332,676,187,3.5,12.8,1.94
Treyvion Dimmings,168370,WR,LINCOK,5,11.9,5,51.4,50.0,5,10,0,0.0,0,-0.44,14,1452,1,85.5,27.1,69.2,,69.6,0.0,0,2,29,0.0,0,185,0,31.4,18,94.6,175,6.5,12,53.2,35,0,93.5,173,269,98,5.4,14.9,1.54
Cohen Klimak,212756,HB,JOHNCA,14,-0.4,4,88.2,66.7,2,3,0,3.2,1,0.56,14,926,0,80.5,71.1,80.6,70.6,82.1,0.0,0,1,24,18.1,29,160,0,59.6,30,80.6,129,16.9,27,103.2,34,2,7.5,12,238,252,8.4,7.9,1.84
Ryan Sims,166544,WR,VA LYNCHBU,4,5.8,9,69.7,100.0,1,1,0,8.0,2,-0.35,11,406,0,67.7,71.9,64.9,,64.6,0.0,0,1,44,0.0,0,141,0,36.6,23,95.0,134,75.9,107,94.9,33,2,24.1,34,215,109,4.7,9.3,1.6
Nemo Jenkins,212753,HB,JOHNCA,14,0.5,8,83.3,0.0,0,1,0,0.0,0,0.38,11,926,0,87.7,88.2,82.3,52.3,73.7,0.0,0,1,45,21.6,46,213,0,54.0,25,74.2,158,10.3,22,105.3,30,2,2.8,6,218,247,9.9,8.7,1.38
Montrell Wright,210349,WR,VA LYNCHBU,4,14.4,5,55.2,0.0,0,4,0,5.9,1,-0.44,10,406,0,70.9,69.8,63.5,,65.8,0.0,0,2,53,0.0,0,167,3,32.5,16,95.8,160,2.4,4,54.2,29,0,97.6,163,243,109,6.8,15.2,1.52
Perish Hayes,212074,WR,LINCOK,5,6.6,1,55.6,0.0,0,3,0,0.0,0,-0.4,4,1452,1,83.8,23.5,57.4,67.3,56.8,8.4,14,0,35,0.6,1,167,0,34.4,15,95.2,159,52.1,87,67.8,27,0,36.5,61,126,60,4.0,8.4,0.79
Seth Maldonado,182857,WR,LINCOK,4,6.9,7,74.1,66.7,2,3,0,9.1,2,-0.42,10,1452,0,56.1,31.0,65.3,67.9,66.2,0.0,0,0,28,0.7,1,147,0,36.4,20,94.6,139,86.4,127,92.1,27,0,12.2,18,183,67,3.4,9.2,1.32
