player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Kenny Bennett,56032,CB,VIRSTA,1,0,0,1164,59.8,,,,,,60.3,,,66.3,0,0,0,4,0,0,0,2,0
Levi Tidwell,63923,WR,INWSLY,1,0,0,1451,,,,,,,59.6,,,65.0,0,0,0,0,0,5,0,0,0
JC Shegog,64541,WR,KY STATE,1,0,0,378,,,,,,,53.8,,,65.9,1,0,0,0,2,8,0,0,1
Deven Jarvis,70770,LB,RU,1,0,0,1529,60.1,,,,,,35.4,,,27.3,1,1,0,6,1,0,4,1,0
Jacob Biddle,71053,TE,RU,1,0,0,1529,,,,,,,59.7,,,69.6,0,0,0,0,0,5,4,0,0
Marques Sherman,76186,DI,CLARK ATL,1,0,0,369,59.7,,60.0,,,,61.2,,,64.6,0,0,6,6,0,0,0,1,0
Aaron Gethers,76633,S,CATAWB,1,0,0,802,60.0,,,,,,61.9,,,68.2,0,0,0,1,3,0,0,3,0
Lancine Turay,76799,ED,VIRUNI,1,0,0,1165,59.8,,60.0,,,,61.2,,,65.9,0,0,3,1,0,0,0,1,0
Cory Gross Jr.,77862,S,EDNBFS,1,0,0,860,60.0,,,,,,60.1,,,63.1,0,0,0,3,0,0,0,0,0
Dejuan Bell,78828,WR,FRTVLY,1,0,0,874,,,,65.1,,,60.4,63.4,,64.2,0,0,0,0,0,6,0,8,0
K'Vaughan Pope,81353,LB,VIRSTA,1,0,0,1164,59.9,,,,,,59.8,,,65.6,0,0,0,3,1,5,0,0,0
Damon Hickok,83069,WR,W OREGON,2,0,0,411,59.8,,,,,,61.7,,,68.7,0,0,0,1,0,0,0,6,0
Emmanuel White,84554,ED,WSRAMS,1,0,0,1206,59.8,,,,,,60.0,,,63.8,0,0,0,3,0,0,0,0,0
Allie Brown,97066,HB,SVANNAH ST,1,0,0,286,,,,,,,60.0,61.9,,63.2,0,0,0,0,0,1,0,2,0
Asa Barnes,97122,HB,WSRAMS,1,0,0,1206,,,,,,,60.1,,,66.0,0,0,0,0,0,4,0,0,0
Diamante Howard,100739,CB,ED WATERS,1,0,0,372,59.9,,,,,,61.5,,,71.0,0,0,0,1,0,7,3,4,0
Quavon Beckford,101114,WR,TUSKEGEE,1,0,0,405,,,,58.7,,,60.0,,,62.8,0,0,0,0,0,4,0,0,0
