player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ryan Sims,166544,WR,VA LYNCHBU,6,4.6,18,65.6,40.0,2,5,1,2.4,1,-0.42,12,406,1,84.9,44.9,71.3,,72.6,0.0,0,3,52,0.0,0,177,1,24.1,40,96.0,170,93.8,166,56.5,61,0,6.2,11,296,284,7.1,7.4,1.74
Ry'Carri Dailey,196944,WR,VA LYNCHBU,6,5.4,1,55.0,25.0,1,4,0,0.0,0,-0.42,6,406,0,81.5,68.2,61.3,,61.7,0.0,0,0,21,0.0,0,140,0,23.0,11,96.4,135,97.9,137,65.8,20,0,2.1,3,86,18,1.6,7.8,0.64
Roman Newkirk,152536,WR,AVEMAR,2,5.9,2,58.8,0.0,0,1,0,9.1,1,-0.08,4,1450,0,62.9,71.7,68.8,,69.0,0.0,0,0,31,0.0,0,44,0,38.1,10,93.2,41,97.7,43,80.3,17,0,2.3,1,119,84,8.4,11.9,2.9
CJ Broy,196923,WR,LINCOK,3,11.8,1,56.3,40.0,2,5,0,0.0,0,-0.26,6,1452,0,80.9,67.9,70.2,,72.4,0.0,0,4,61,0.0,0,80,0,34.2,9,91.3,73,70.0,56,86.2,16,2,23.8,19,143,51,5.7,15.9,1.96
Izayah Ebuen,196908,WR,LINCOK,3,9.0,1,50.0,33.3,1,3,0,11.1,1,-0.4,2,1452,0,59.3,67.1,54.3,63.8,55.7,0.0,0,2,16,1.3,1,77,0,31.5,8,93.5,72,61.0,47,20.1,16,0,37.7,29,61,15,1.9,7.6,0.85
Jamal Jones,195296,WR,CLARK ATL,1,7.7,4,66.7,0.0,0,3,0,0.0,0,0.34,6,369,0,80.9,69.9,77.9,,75.9,0.0,0,1,38,0.0,0,59,0,51.8,10,94.9,56,42.4,25,65.1,15,0,50.8,30,127,73,7.3,12.7,2.27
Keyvaun Eady,152366,WR,W OREGON,2,16.8,0,35.7,,0,0,0,0.0,0,-0.06,2,411,0,76.3,65.9,56.7,,56.3,0.0,0,0,20,0.0,0,67,1,34.4,5,94.0,63,1.5,1,44.9,14,0,98.5,66,44,23,4.6,8.8,0.7
Treyvion Dimmings,168370,WR,LINCOK,3,15.0,4,50.0,40.0,2,5,0,12.5,1,-0.39,4,1452,1,56.4,16.5,58.0,,59.3,0.0,0,1,32,0.0,0,59,2,33.3,7,91.5,54,11.9,7,40.5,14,0,88.1,52,89,49,7.0,12.7,1.65
Damon Hickok,83069,WR,W OREGON,2,18.1,2,50.0,40.0,2,5,0,12.5,1,-0.17,7,411,0,56.4,66.7,70.0,,71.1,0.0,0,1,46,0.0,0,75,0,33.8,7,94.7,71,5.3,4,57.7,14,0,94.7,71,147,60,8.6,21.0,2.07
Kale Anderson,142845,WR,KY STATE,1,17.2,0,46.2,,0,0,0,0.0,0,-0.64,3,378,0,77.5,66.2,68.5,,67.7,0.0,0,0,40,0.0,0,33,0,35.5,6,93.9,31,12.1,4,64.3,13,0,87.9,29,74,23,3.8,12.3,2.39
