player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Jaden Cerna,12863,TE,SRSU,1,0,0,1133,,,,,,,63.5,,,68.0,0,0,0,0,1,10,8,1,0
Malachi Sanders,52553,DI,THMORE,2,0,0,1296,58.9,,,,,,59.8,,,65.4,0,0,0,6,0,0,0,2,0
Jaeden Scarborough,75376,CB,THMORE,1,0,0,1296,60.0,,,,,,60.0,,,63.5,0,0,0,1,0,0,0,0,0
Thonye Charles,86516,WR,WLU,1,0,0,1178,,,,59.4,,,59.7,60.2,,62.9,0,0,0,0,0,5,0,2,0
Kevon Billingsley,87844,ED,SRSU,1,0,0,1133,58.9,,,,,,59.0,,,63.0,0,0,0,3,0,0,0,0,0
Rondarius Gregory,97071,HB,LINCOLN,1,0,0,380,,,,57.9,,,60.3,61.6,,63.5,0,0,0,0,0,9,0,4,0
Jalen McGaughy,98023,WR,SVSU,1,0,0,1082,,,,,,,85.0,,,65.8,0,0,0,0,4,0,0,0,2
La'Vontae Shenault,100644,WR,NORTHEA ST,1,0,0,1030,,,,59.6,,,59.4,62.9,,63.7,0,0,0,0,0,8,0,3,0
Dee'Shari Keith,103613,LB,VA LYNCHBU,3,0,0,406,59.7,,,,,,59.6,,,67.4,0,0,0,12,0,1,8,1,0
Daego Albert,104300,S,LINCOK,4,0,0,1452,59.4,,,,,,53.2,60.0,,29.1,0,1,0,26,2,4,1,4,0
Jordan Springs,105663,TE,SVANNAH ST,1,0,0,286,,,60.0,,,,58.0,,,65.5,0,0,2,0,0,8,0,0,0
Kenneth Rawls,109349,TE,JOHNCA,1,0,0,926,,,,,,,60.0,,,63.3,0,0,0,0,0,0,1,0,0
Roderick Smith,110003,P,MILES,1,0,0,386,,,60.0,,,,61.0,,61.3,67.3,0,0,4,0,0,0,7,0,0
Dom Barbuto,121552,LB,SOCTOW,1,0,0,1107,59.4,,,,,,59.6,,,63.7,0,0,0,4,0,0,0,0,0
James Shellman IV,121822,CB,SVANNAH ST,1,0,0,286,60.0,,,,,,60.2,,,65.0,0,0,0,3,0,0,0,0,0
Darrian Bell,122693,LB,SVANNAH ST,1,0,0,286,59.7,,,,,,59.8,,,62.8,0,0,0,5,0,0,0,0,0
Aydin Henningham,123011,LB,ALBANY ST,1,0,0,360,59.8,,60.0,,,,60.5,,,69.0,0,0,2,4,0,8,3,0,0
Chadwick Bailey,123209,S,Bent,1,0,0,1238,60.0,,,,,,60.1,,,62.0,0,0,0,4,0,0,0,0,0
