player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Deiontae Jones,24779,LB,WSRAMS,1,0,0,1206,59.8,,,,,,59.8,,,61.3,0,0,0,4,0,0,0,0,0
DeShawn Washington,26020,ED,MISS COL,1,0,0,990,59.4,,60.0,,,,47.0,,,62.8,1,0,3,2,0,0,2,0,0
Jalen Starks,40792,HB,CHADST,1,0,0,809,59.3,,,58.0,,,61.4,,,68.9,0,0,0,8,1,5,6,5,0
Kai Gray,42518,S,LINCOLN,1,0,0,380,59.9,,,,,,60.2,,,65.3,0,0,0,7,1,0,2,0,0
Antonio Leroy,43129,LB,ALBANY ST,1,0,0,360,60.0,,,,,,60.0,,,63.0,0,0,0,2,0,0,0,0,0
Malachi Brown,43243,S,ALBANY ST,1,0,0,360,,,,,,,60.6,,,67.8,0,0,0,0,2,6,3,0,0
Jai Nunn-Liddell,43247,CB,KY STATE,1,0,0,378,,,,,,,60.6,,,67.9,0,0,0,0,3,0,4,1,0
Logan Wakefield,43860,ED,KEISER,1,0,0,1475,59.4,,,,,,72.2,,,64.5,0,0,0,4,0,0,5,0,1
Davir Hamilton,44407,ED,TUSKEGEE,1,0,0,405,,,60.0,,,,60.0,,,61.3,0,0,2,0,0,0,0,0,0
Jack Milton,51844,ED,THMORE,1,0,0,1296,59.7,,,,,,60.0,,,61.8,0,0,0,1,0,0,0,0,0
Vuk Sajlovic,51913,ED,THMORE,1,0,0,1296,59.6,,,,,,61.4,,,66.8,0,0,0,3,0,0,0,3,0
Elgin Phillips,52582,K,THMORE,1,0,0,1296,,,60.0,,,,60.8,,53.7,68.0,0,0,2,0,0,0,8,0,0
Del Thomas,52593,LB,THMORE,1,0,0,1296,60.2,,60.0,,,,60.5,,,67.9,0,0,2,6,1,0,7,1,0
Brooks Curran,52951,K,THMORE,1,0,0,1296,,60.0,,,50.8,,60.0,,,65.5,0,0,2,0,2,0,0,0,0
Jackson Gear,52992,ED,THMORE,1,0,0,1296,,,,,,,60.0,,,64.7,0,0,0,0,0,0,0,1,0
De'Ariss Hope,53357,DI,TAYLOR,1,0,0,402,59.7,,,,,,60.0,,,61.8,0,0,0,1,0,0,0,0,0
Donovan Shelton,53522,S,INWSLY,1,0,0,1451,59.8,,,,,,59.9,60.0,,62.8,0,0,0,4,0,0,0,2,0
Alonzo Kendricks,53530,S,INWSLY,1,0,0,1451,,,,,,,61.0,,,70.1,0,0,0,0,4,5,6,7,0
Freddie Johnson,53542,WR,THMORE,1,0,0,1296,,,,62.8,,,60.4,62.2,,63.6,0,0,0,0,1,5,0,3,0
Isaac Abdon,54081,LB,THMORE,1,0,0,1296,59.8,,,,,,60.0,,,63.1,0,0,0,6,0,0,0,0,0
Anthony McAfee II,54435,HB,LIMEST,1,0,0,1283,,,,,,,59.4,,,65.9,0,0,0,0,0,9,0,0,0
Calvin Sims Jr.,54974,CB,MISS COL,1,0,0,990,59.9,,,,,,60.1,,,63.2,0,0,0,4,0,0,0,1,0
Austin Brundidge,55268,LB,MILES,1,0,0,386,60.0,,,,,,61.6,,,67.4,0,0,0,3,0,0,5,2,0
Tyrone Chambers,55357,DI,KY STATE,1,0,0,378,,,60.0,,,81.0,64.8,,,63.5,0,0,1,0,0,0,4,0,0
Brian Edwards,55879,S,KEISER,1,0,0,1475,59.7,,,,,,61.4,,,65.4,0,0,0,8,2,2,0,3,0
Reginald Whitfield,56250,WR,LINCOK,5,0,0,1452,59.9,,,59.9,,,64.2,,,77.7,0,0,0,2,8,34,20,5,0
John Seter,60388,QB,LIMEST,1,0,0,1283,,,60.0,,,,60.2,,,60.4,0,0,3,0,0,0,0,0,0
Alassane Diallo,62476,CB,THMORE,1,0,0,1296,59.8,,,,,,60.4,,,65.8,0,0,0,3,0,0,0,1,0
Anthony Clark,62588,HB,KY STATE,1,0,0,378,,,,,,,61.4,,,66.2,0,0,0,0,3,0,0,1,0
Cam'Ron Perkins,62806,DI,WSRAMS,1,0,0,1206,59.6,,,,,,59.8,,,63.2,0,0,0,2,0,0,0,0,0
Isaiah Huff,62845,CB,ASSMPT,1,0,0,1257,59.7,,,62.7,,,59.6,63.1,,65.2,0,0,0,5,0,8,0,7,0
Nijul Canada,63096,CB,LANECOL,2,0,0,942,59.7,,,,,,59.6,,,67.6,0,0,0,14,0,0,8,3,0
Ross Halverstadt,63858,DI,THMORE,1,0,0,1296,58.8,,,,,,60.1,,,65.4,0,0,0,6,0,0,8,2,0
Levi Tidwell,63923,WR,INWSLY,1,0,0,1451,,,,,,,68.4,,,68.9,0,0,0,0,4,5,0,7,1
Tanner Lawrence,65257,ED,THMORE,1,0,0,1296,59.3,,,,,,60.1,,,64.9,0,0,0,6,0,0,8,1,0
Casey Rauch,65259,LB,CONCMI,1,0,0,1472,59.9,,60.0,,,,62.5,,65.0,76.2,0,0,2,4,1,0,5,1,0
Warreath Washington,65755,DI,ED WATERS,1,0,0,372,59.6,,,,,,59.8,,,62.4,0,0,0,1,0,0,0,0,0
Jimmy Edmonds,66045,DI,KY STATE,1,0,0,378,59.5,,,,,,61.1,,,78.0,0,0,0,5,0,0,0,1,0
Collin Brice,66337,C,CONCMI,1,0,0,1472,,,60.0,,,,60.9,,,65.7,0,0,2,0,0,0,5,0,0
Ben Eichman,68926,S,SOCTOW,1,0,0,1107,59.8,,,,,,60.2,,,65.0,0,0,0,5,0,0,0,0,0
Kyle Bandy,70665,HB,LVLEOP,1,0,0,937,,,,60.0,,,58.9,,,62.7,0,0,0,0,0,10,0,0,0
James Henriquez,70766,HB,LVLEOP,1,0,0,937,,,,,,,59.8,,,66.3,0,0,0,0,0,10,0,0,0
Mason Montanez,70817,S,LVLEOP,1,0,0,937,59.2,,,,,,59.5,,,68.3,0,0,0,10,0,0,0,0,0
Austin Marin,71795,DI,LVLEOP,1,0,0,937,59.3,,,,,,59.9,,,65.0,0,0,0,7,0,0,0,1,0
Preston Agee,72545,QB,THMORE,1,0,0,1296,,,,,,,60.0,,,64.4,0,0,0,0,0,0,0,2,0
Isaac Jimenez,73603,LB,LINCOK,4,0,0,1452,59.4,,,,,,44.5,,,74.4,1,0,0,8,8,34,29,7,1
Daniel Ingram,75623,HB,ED WATERS,1,0,0,372,,,,,,,60.8,,,69.0,0,0,0,0,0,7,0,0,0
Colton Sandhas,76076,S,THMORE,1,0,0,1296,60.0,,,,,,90.2,,,66.8,0,0,0,2,1,0,7,0,1
Leonard Taylor,76127,G,THMORE,1,0,0,1296,,,60.0,,,,60.5,,,64.8,0,0,2,0,0,0,0,0,0
Tyquilo Moore,77020,DI,LIMEST,1,0,0,1283,58.8,,,,,,58.8,,,64.7,0,0,0,8,0,0,0,0,0
Rob McKnight,78582,HB,LOUCHR,1,0,0,958,,,,,,,60.0,,,69.5,0,0,0,0,1,2,4,3,0
Brandon Shelnutt,78728,TE,LIMEST,1,0,0,1283,,,60.0,,,,60.4,,,67.0,0,0,3,0,0,9,0,0,0
Di'Quavious Wilkerson,79097,S,WARNER,1,0,0,407,60.0,,,,,,50.5,,,69.0,0,0,0,10,0,11,7,0,0
Steven Mackey Jr.,79138,CB,MILES,1,0,0,386,60.0,,,,,,61.2,,,66.3,0,0,0,3,0,0,0,2,0
Elijah Campbell Jr.,79216,DI,MHMRTI,1,0,0,999,59.7,,60.0,,,,60.7,,,66.1,0,0,1,4,0,0,0,1,0
Jeremy Hudson,79321,CB,LIMEST,1,0,0,1283,,,,,,,60.4,,,62.1,0,0,0,0,0,0,5,0,0
Austin Kemp,79437,K,LIMEST,1,0,0,1283,,61.8,,,45.5,,60.0,,,67.0,0,0,3,0,4,0,0,0,0
Liam Flite,81810,C,SOCTOW,1,0,0,1107,,,60.0,,,,60.5,,,63.4,0,0,2,0,0,0,0,0,0
T.J. Smith,81963,ED,LIMEST,1,0,0,1283,59.5,,,,,,59.6,,,63.4,0,0,0,4,0,0,0,0,0
Damon Hickok,83069,WR,W OREGON,1,0,0,411,,,,,,,60.5,,,66.4,0,0,0,0,0,4,0,1,0
Nick Walker,83235,CB,MISS COL,1,0,0,990,60.0,,,,,,60.0,,,60.7,0,0,0,1,0,0,0,0,0
Malik Occiur,83464,CB,KY STATE,1,0,0,378,59.7,,,,,,61.7,,,77.7,0,0,0,4,0,0,0,2,0
Kason Martin,83531,QB,EANMGH,1,0,0,858,,,60.0,,,,60.0,,,60.3,0,0,2,0,0,0,0,0,0
Herman McCray IV,83975,TE,LIMEST,1,0,0,1283,,,60.0,,,,61.3,,,68.7,0,0,3,0,0,7,0,0,0
Tony Gilbert II,84053,DI,MISS COL,1,0,0,990,59.0,,60.0,,,,60.0,,,66.2,0,0,3,2,0,0,0,0,0
Vincent Taylor,84312,WR,KYCRST,1,0,0,1474,,,,,,,60.0,,,64.5,0,0,0,0,0,0,1,0,0
Matt Ansell,87063,S,SOCTOW,1,0,0,1107,60.2,,,,,,78.9,,,65.8,0,0,0,6,3,0,4,0,2
Otis Weah,87580,HB,LINCOK,3,0,0,1452,,,,,,,29.9,,,65.8,3,0,0,0,0,0,16,0,0
Connor Ignacio,88843,K,KYCRST,1,0,0,1474,,,60.0,,,,60.8,,58.2,67.0,0,0,3,0,0,0,6,0,0
