player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Otis Weah,87580,HB,LINCOK,5,77,33,3,29.5,70,0,237,1,0,33,208,112.8,8,12,1452,0,35,85.3,68.3,17.4,,62.2,44.5,73.4,44.3,35,1,0,2,45,102,0,0,5,79,1,237,208,2.7,3.1,0.0,40
David Anderson,168858,HB,VA LYNCHBU,7,71,12,3,26.7,65,1,243,0,1,12,209,53.1,6,11,406,1,41,48.5,54.4,0.0,,62.8,38.8,58.3,57.8,25,3,19,1,30,77,0,0,2,72,1,243,209,2.94,3.4,0.63,28
Ike Brown,152594,HB,LANECOL,2,38,12,4,51.0,78,0,153,0,3,12,119,109.2,7,10,942,0,23,80.8,81.2,79.1,,80.8,79.2,78.0,57.5,26,0,104,5,45,47,0,0,5,43,3,153,119,3.13,4.0,2.31,11
Toure Wallace,168834,HB,VA LYNCHBU,6,34,3,1,26.7,23,0,86,0,1,3,76,24.8,1,3,406,0,14,80.3,64.9,78.8,,57.3,55.2,66.5,59.4,23,0,-1,2,35,42,0,0,2,36,0,86,76,2.24,2.5,-0.03,20
Solomon Sangobowale,169164,HB,LINCOK,4,31,10,2,44.3,54,0,122,0,4,10,69,86.6,6,9,1452,0,14,79.8,78.2,78.0,,60.5,90.0,78.3,26.4,27,0,66,5,18,47,0,0,5,36,0,122,69,2.23,3.9,3.67,16
Elijah Holmes,168384,HB,LINCOK,4,28,9,3,37.0,50,0,135,0,0,9,74,82.0,3,6,1452,0,10,78.7,79.2,78.8,,20.6,67.0,77.8,59.7,18,0,18,1,10,41,0,0,1,29,1,135,74,2.64,4.8,1.8,18
Abel Carter,168071,HB,SW BAPTIST,1,25,4,0,0.0,0,0,75,0,1,4,82,60.7,2,5,1492,0,17,78.2,67.5,77.0,,48.3,67.2,67.0,58.4,12,0,12,2,10,29,0,0,2,27,1,75,82,3.28,3.0,1.2,8
Jordan Clay,126555,HB,WJWLL,1,23,3,2,39.5,58,0,147,0,0,3,107,58.2,4,6,1198,1,4,37.4,75.0,76.3,,82.7,57.4,72.2,73.4,30,0,-3,1,13,31,0,0,1,24,0,147,107,4.65,6.4,-0.23,18
Will Anglen,131670,WR,LINCOK,5,22,4,1,41.5,17,0,31,0,1,4,26,22.1,2,3,1452,2,12,21.0,42.6,85.3,41.3,25.5,48.6,53.8,36.1,17,1,6,7,101,155,10,1,12,28,0,41,26,1.18,1.9,0.06,7
Devin Briscoe,78631,HB,LOUCHR,1,21,2,0,0.0,0,0,48,0,0,2,38,15.7,0,4,958,1,4,35.4,64.7,75.2,,78.9,69.6,62.4,60.0,9,0,9,2,9,22,0,0,2,23,2,48,38,1.81,2.3,1.0,17
DeAnte' Smith-Moore,120956,QB,MISS COL,1,21,1,0,0.0,0,0,55,0,0,1,51,11.6,2,3,990,3,9,23.1,66.0,76.7,81.6,,,53.2,60.0,11,0,0,0,0,54,0,0,0,21,0,55,51,2.43,2.6,,0
Rontavious Farmer,165493,HB,STTMFL,1,19,6,1,28.3,28,1,99,0,0,6,66,109.7,3,6,1477,0,0,76.5,71.4,0.0,,77.1,52.7,75.7,60.0,28,1,0,0,21,21,0,0,1,19,1,99,66,3.47,5.2,0.0,16
Marques Burgess,160936,HB,KEISER,1,19,9,0,0.0,0,0,87,0,0,9,72,148.3,2,4,1475,2,3,20.6,64.0,78.0,,79.9,29.2,76.9,47.2,13,0,41,4,28,19,0,0,5,23,0,87,72,3.79,4.6,1.46,15
Kaleb Monaco,161780,HB,BLMSBG,1,19,2,0,0.0,0,0,47,0,0,2,37,18.5,2,4,766,0,18,35.4,54.9,0.0,,73.2,64.2,54.9,63.8,14,1,12,2,8,40,0,0,2,21,0,47,37,1.95,2.5,1.5,1
Bruno Prosper-Kanam,168836,HB,VA LYNCHBU,6,18,0,0,0.0,0,0,5,0,0,0,28,0.0,0,1,406,0,10,76.5,57.4,75.6,,72.9,57.5,55.4,62.8,5,0,0,0,3,21,0,0,0,18,0,5,28,1.56,0.3,0.0,7
Ernest Davis III,167984,HB,MHMRTI,1,17,1,2,40.0,36,0,90,0,0,1,36,11.8,3,5,999,0,5,76.2,63.9,76.5,,40.1,61.5,65.7,59.6,21,0,25,1,15,24,0,0,2,18,0,90,36,2.12,5.3,1.67,11
William Marano,154899,HB,MITECH,1,16,2,2,85.4,41,0,48,0,0,2,37,27.2,3,2,980,0,13,75.5,53.8,76.8,,0.0,68.2,61.7,60.0,25,1,7,1,7,20,0,0,1,17,0,48,37,2.31,3.0,1.0,2
Brendan Lamb,52868,HB,TAYLOR,1,16,2,0,0.0,0,0,60,0,0,2,25,18.4,3,4,402,0,9,75.5,66.1,77.9,,78.4,63.9,64.6,59.0,13,0,7,1,3,24,0,0,1,17,1,60,25,1.56,3.8,2.33,7
Jordan Terrell,165923,HB,BARCOL,1,15,2,2,57.7,60,0,104,0,0,2,53,47.1,3,4,1473,0,7,75.2,62.3,77.8,,80.9,52.3,64.4,56.6,43,0,0,0,21,24,0,0,0,15,0,104,53,3.53,6.9,0.0,8
Jaquan Lynch,165877,QB,BARCOL,1,15,2,0,0.0,0,0,22,0,0,0,20,0.0,2,3,1473,1,3,72.3,55.8,76.4,46.7,,54.3,67.3,60.0,17,0,0,0,1,30,48,5,0,10,0,70,32,2.13,4.7,0.0,0
Patrick Shegog,151786,QB,DELTAST,1,15,3,1,27.8,15,0,25,0,0,1,11,7.7,2,3,841,1,4,42.2,56.6,77.2,64.0,,,49.6,60.0,16,0,-11,2,0,34,29,4,2,13,1,54,19,1.27,3.6,,3
KJ Riley,161797,QB,BLMSBG,1,15,4,0,0.0,0,0,35,0,0,4,21,42.9,1,4,766,1,11,36.2,51.0,77.2,48.7,,,56.4,60.0,10,0,0,0,0,59,10,1,0,14,0,45,21,1.4,3.0,,1
David Walker,155753,HB,LINCOK,5,15,2,0,0.0,0,0,50,0,0,2,29,24.2,2,1,1452,0,5,75.3,51.6,0.0,,55.8,58.0,65.2,37.4,13,1,6,1,8,83,0,0,2,16,0,50,29,1.93,3.3,0.75,9
