player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeShawn Washington,26020,ED,MISS COL,1,0,0,,0,0,990,0,0,60.0,44.3,76.8,49.1,46.1,23.2,0,1,0,0,,50.0,3,0,0,0.0,0,0,0,1,0,0,35,34,0,2,28,4,0,1,15,20,0,1,3,0,0,1,0,0,0,
Darius Wise,52023,CB,EDNBFS,1,1,0,66.7,0,0,860,0,0,69.3,67.0,0.0,61.4,71.0,59.2,0,1,0,0,11,25.0,1,1,1,77.1,2,0,0,5,42,17,51,2,0,0,2,0,0,49,1,33,2,1,2,0,3,1,0,14,7,7.0
Tyler Gardner,54970,LB,AMRINT,1,1,0,100.0,0,0,737,0,0,47.0,58.1,73.9,56.4,70.5,49.4,0,0,0,0,12,20.0,1,0,0,116.7,1,0,0,29,0,10,29,0,0,0,0,0,0,29,3,16,0,2,3,0,1,0,0,12,14,12.0
Amir Riep,55672,S,LINCOK,6,11,1,87.5,0,0,1452,0,0,62.9,70.2,83.1,60.8,80.4,73.8,0,2,0,0,26,10.8,4,1,2,134.4,7,0,0,112,1,139,308,7,0,0,7,0,115,301,8,161,73,6,22,0,8,2,1,54,27,7.7
Olalere Oladipo,56639,ED,FERRIS,2,3,1,,0,0,868,0,0,,79.2,79.3,62.2,87.3,55.4,1,2,0,0,,20.0,2,0,0,0.0,0,1,0,1,0,0,95,94,0,0,51,43,0,1,50,45,0,5,5,2,0,4,0,0,0,
Deron Irving-Bey,56716,DI,FERRIS,2,0,0,,0,0,868,0,0,,71.5,76.2,58.5,74.2,48.9,0,1,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,53,53,0,53,0,0,0,0,21,32,0,4,4,1,0,1,0,0,0,
Jaohne Duggan,56813,DI,EDNBFS,2,0,0,,0,0,860,0,0,60.0,65.5,79.1,62.0,64.9,29.0,1,3,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,79,79,40,39,0,0,0,0,45,34,0,2,2,0,0,4,0,0,0,
Dezmond Lance,56949,ED,FERRIS,2,2,0,,0,0,868,0,0,60.0,65.0,77.2,58.6,76.4,61.3,1,1,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,57,57,0,0,34,23,0,0,29,28,0,3,4,0,0,2,0,0,0,
James Newsome Jr.,58103,DI,VIRSTA,1,1,0,,0,0,1164,0,0,,62.8,71.3,58.1,63.2,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,
Daniel Nienaber,63912,DI,CARSON,1,1,0,,0,0,799,0,0,60.0,64.8,73.7,64.0,60.8,72.1,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,5,6,0,1,0,0,6,6,0,1,1,0,0,1,0,0,0,
Dylan Brookins,64016,DI,MHMRTI,1,1,0,,0,0,999,0,0,,32.3,0.0,57.6,38.3,22.6,0,0,0,0,,50.0,1,0,1,0.0,0,0,0,0,0,0,22,22,17,5,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,
Kaleb Niumata,71532,S,COMESA,1,1,0,,0,0,1281,0,0,63.9,68.7,73.1,59.2,69.7,77.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,11,16,1,0,0,1,0,8,15,1,4,3,1,1,0,0,0,0,0,0,
Treverren Mack,71794,ED,SWMINN,1,1,0,,0,0,1108,0,0,,72.1,72.0,59.2,74.4,28.8,0,2,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,15,15,0,1,3,11,0,0,7,8,0,0,0,0,0,2,0,0,0,
Mark Person,73136,DI,SWMINN,1,0,0,,0,0,1108,0,0,,82.3,71.3,78.6,68.7,75.7,0,0,0,0,,0.0,0,0,0,0.0,0,2,1,0,0,0,10,10,0,2,3,5,0,0,5,5,0,4,2,0,0,2,0,0,0,
Joshua Sekiyoba,74116,S,LANECOL,1,1,0,100.0,0,0,942,0,0,80.4,77.5,78.9,58.0,67.2,64.7,0,0,0,0,6,12.5,1,0,0,80.6,3,0,0,8,0,18,43,8,0,0,8,0,0,35,3,22,27,4,6,0,3,0,0,10,16,3.3
Dauson Booker,75726,S,FERRIS,2,1,0,60.0,0,0,868,0,0,66.8,66.5,78.3,59.4,63.2,69.6,0,1,0,0,7,11.1,1,0,0,64.6,3,0,0,7,0,26,45,2,0,0,2,0,1,43,1,18,35,4,7,2,5,1,0,7,4,2.3
Rodney McGraw II,75730,CB,WESTFL,1,0,0,100.0,0,0,1269,0,0,72.4,72.2,72.9,56.5,62.8,77.9,0,1,0,0,0,0.0,0,0,0,79.2,1,0,0,19,0,18,25,1,0,0,1,0,0,24,4,3,5,1,3,0,1,1,0,0,3,0.0
Elijah Miranda,75749,DI,TUSKEGEE,2,1,0,,0,0,405,0,0,,70.3,74.9,56.6,73.3,72.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,27,27,9,18,0,0,0,0,12,15,0,0,0,0,0,1,0,0,0,
John Gregory,76593,CB,LIMEST,1,1,0,40.0,0,0,1283,0,0,80.2,69.9,78.1,,40.2,27.1,0,0,0,1,24,40.0,2,0,0,28.3,2,0,0,19,0,28,54,0,0,0,0,0,15,54,0,26,20,0,2,0,5,0,0,39,17,19.5
Curtis Ryans,76884,DI,N GREENVLE,2,4,0,,0,0,390,0,0,61.3,66.0,79.6,50.8,71.1,61.0,0,2,0,0,,15.4,2,0,0,0.0,0,1,0,0,0,0,99,99,0,2,66,31,0,0,43,56,0,6,7,0,0,3,0,0,0,
Davonchae Bryant,76900,ED,W ALABAMA,1,0,0,,0,0,408,0,0,60.0,41.9,75.6,60.7,43.8,16.6,1,0,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,0,41,40,0,39,1,0,0,1,17,24,0,0,0,0,0,1,0,0,0,
Tyquilo Moore,77020,DI,LIMEST,1,1,0,,0,0,1283,0,0,,81.2,73.1,82.5,68.0,69.7,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,1,18,0,1,0,0,12,8,0,0,0,0,0,2,0,0,0,
Mychale Salahuddin,77702,LB,BOWIE ST,1,2,0,66.7,1,0,365,0,0,62.9,60.0,0.0,66.4,69.0,83.2,0,0,0,0,14,0.0,0,0,2,85.4,2,1,0,27,0,32,58,6,0,0,6,0,0,52,5,21,25,3,3,2,3,1,0,20,7,10.0
Cejai Parrish,78704,S,SW BAPTIST,1,2,0,0.0,0,0,1492,0,0,68.8,75.6,78.7,,83.3,86.2,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,11,0,38,71,3,0,0,3,0,51,68,0,33,6,2,6,0,1,0,0,0,0,
Brandon Cross,79001,S,WESTFL,2,0,0,41.7,0,0,1269,0,0,46.2,42.3,0.0,55.3,46.5,73.5,0,0,0,0,59,0.0,0,0,1,128.5,5,0,0,4,71,52,79,0,0,0,0,0,0,79,2,25,4,0,1,0,12,0,2,150,70,30.0
Willie Drew Jr.,79117,CB,VIRSTA,1,1,0,44.4,0,0,1164,0,0,73.1,73.2,81.4,,66.2,37.7,0,0,0,1,30,33.3,1,2,1,23.1,4,0,0,0,69,35,70,0,0,0,0,0,0,70,0,35,0,1,1,0,9,0,0,51,21,12.8
Kermit Solomon,79120,S,BARCOL,1,0,0,0.0,0,0,1473,0,0,76.8,67.0,76.4,,51.0,74.8,0,0,0,1,,0.0,0,0,0,0.0,0,0,0,5,2,6,21,1,0,0,1,0,2,20,0,15,11,0,1,0,1,0,0,0,0,
DaVonta Jackson,79308,ED,W ALABAMA,1,0,0,,0,0,408,0,0,60.0,68.1,77.1,53.2,74.7,77.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,0,0,33,16,0,0,25,24,0,3,6,1,0,0,0,0,0,
Jeremy Hudson,79321,DI,LIMEST,1,1,0,,0,0,1283,0,0,,66.1,74.5,64.8,63.5,33.1,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,19,19,0,0,16,3,0,0,6,13,0,2,2,0,0,0,0,0,0,
Jomier Augustine,79463,LB,CARSON,1,0,0,,0,0,799,0,0,50.7,60.9,73.1,,68.8,79.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,13,0,3,16,3,0,0,3,0,0,13,0,13,0,2,5,0,0,0,0,0,0,
Christopher Smith,81385,ED,TUSCUL,1,1,0,,0,0,1149,0,0,60.0,62.3,77.3,57.9,62.6,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,1,22,19,0,0,18,1,0,3,5,16,0,0,1,0,0,0,0,0,0,
Timaje Porter,82313,DI,DELTAST,2,1,1,,0,0,841,0,0,59.5,70.6,77.4,71.2,67.5,35.4,0,2,0,0,,33.3,2,0,0,0.0,0,1,0,0,0,1,79,79,2,75,0,2,0,0,36,42,0,3,3,1,0,3,0,0,0,
Jesson Walker,83213,CB,STTMFL,1,2,0,33.3,0,0,1477,0,0,73.2,73.6,78.0,60.0,69.5,64.0,0,0,0,0,7,12.5,1,0,0,42.4,1,0,0,1,79,40,80,0,0,0,0,0,0,80,1,39,0,3,5,1,3,0,0,7,0,7.0
Tony Gilbert II,84053,DI,MISS COL,1,0,0,,0,0,990,0,0,,61.1,74.8,55.9,64.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,35,35,0,35,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,
Emmanuel White,84554,ED,WSRAMS,1,1,0,,1,0,1206,0,0,60.0,59.4,0.0,59.2,70.2,74.1,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,1,19,19,0,0,18,1,0,0,11,7,0,1,1,0,0,0,0,0,0,
Prince Ukpai,87173,LB,LINCOK,3,3,0,33.3,0,0,1452,0,0,56.4,57.0,76.3,56.3,59.5,65.7,0,0,0,0,3,14.3,1,0,0,42.4,1,0,0,49,1,34,75,4,0,0,4,0,0,71,4,37,21,0,3,0,3,0,0,3,3,3.0
Marteise Phipps,87199,ED,VIRSTA,1,0,0,,0,0,1164,0,0,,61.3,73.6,57.0,63.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,12,12,0,0,9,3,0,0,7,5,0,0,0,0,0,0,0,0,0,
Delvin Olawumi Jr.,89306,S,MHMRTI,1,0,0,,0,0,999,0,0,,58.9,66.3,59.7,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,2,0,0,2,0,0,3,1,4,1,0,0,0,0,0,0,0,0,
Georell Kidd,97975,ED,WESTFL,1,0,0,,0,0,1269,0,0,,56.7,71.5,55.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,
Stan Livingstone,98614,S,TUSKEGEE,2,2,0,100.0,0,0,405,0,0,41.7,49.8,80.4,60.0,68.4,79.7,0,0,0,0,28,0.0,0,0,0,158.3,3,0,0,26,1,31,64,6,0,0,6,0,11,58,1,32,20,0,1,0,3,0,1,59,8,19.7
Bryce Nelms,99815,DI,MHMRTI,1,0,0,,0,0,999,0,0,,57.2,72.3,55.2,61.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,20,20,0,0,1,19,0,0,14,6,0,0,0,0,0,0,0,0,0,
Major Williams,99828,S,CARSON,1,0,0,66.7,0,0,799,1,0,49.0,51.4,79.9,,58.0,57.5,0,0,0,0,32,20.0,1,0,1,149.3,2,0,0,8,2,25,56,6,0,0,6,0,12,50,0,31,28,1,4,0,3,0,1,44,8,22.0
Tenyeh Dixon,99834,S,VIRSTA,1,0,0,,1,0,1164,0,0,62.6,55.1,0.0,,62.1,,0,0,0,0,,,0,0,1,0.0,0,0,0,5,0,8,17,1,0,0,1,0,6,16,0,9,5,0,0,0,0,0,0,0,0,
Zachary Hammann,100741,LB,MISS COL,1,2,0,100.0,0,0,990,0,0,64.0,45.5,73.6,65.6,28.2,29.8,0,1,0,0,12,33.3,2,0,0,116.7,1,0,0,29,0,17,40,4,0,0,4,0,0,36,4,19,7,0,2,0,1,1,0,12,9,12.0
Alefosio Saipaia,101014,DI,FERRIS,2,1,0,,0,0,868,0,0,,58.1,0.0,67.8,60.1,74.5,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,30,30,1,29,0,0,0,0,13,17,0,3,3,1,0,1,0,0,0,
Simon Thompson,101222,ED,W OREGON,1,0,0,,0,0,411,0,0,,51.3,71.3,,55.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,6,4,0,0,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,
Jaylen Encarnacion,101228,DI,AMRINT,1,1,0,,0,0,737,0,0,60.0,72.2,78.5,63.2,71.3,77.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,34,8,0,0,0,0,19,23,0,4,7,0,0,1,0,0,0,
Kameron Blount,101494,ED,BOWIE ST,1,0,0,,0,0,365,0,0,,59.8,73.7,53.9,65.3,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,0,0,13,0,0,0,9,4,0,1,1,1,0,0,0,0,0,
Christian McDowell,101771,S,SHPHRD,1,0,0,100.0,0,0,1095,0,0,49.4,49.9,72.9,,60.1,22.3,0,0,0,0,49,50.0,2,0,0,118.8,2,0,0,0,19,13,19,0,0,0,0,0,0,19,0,6,0,0,2,0,2,0,0,69,28,34.5
Elijah King,101876,CB,W OREGON,1,0,0,,0,0,411,0,0,53.4,52.9,71.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,6,8,0,0,0,0,0,0,8,0,2,8,0,0,0,0,0,0,0,0,
