player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jacob Newman,196968,HB,VA LYNCHBU,6,71,10,3,33.8,54,0,160,0,0,10,180,32.9,5,7,406,0,26,84.8,66.2,29.8,,90.1,56.6,64.2,49.1,20,1,8,6,60,92,0,0,9,77,1,160,180,2.54,2.3,0.13,39
Johnny Morris,168550,HB,TUSKEGEE,2,28,11,1,13.9,19,0,137,1,3,11,99,159.7,8,9,405,0,10,78.6,73.7,79.7,71.9,80.2,49.5,74.6,57.8,19,0,27,3,29,38,0,0,7,31,1,137,99,3.54,4.9,0.93,17
Dominique Loggins,152426,HB,W OREGON,2,28,6,2,46.3,62,0,134,0,1,6,82,68.3,4,6,411,1,13,45.4,57.7,79.7,,68.0,55.6,58.6,54.6,44,0,11,2,30,37,0,0,2,30,2,134,82,2.93,4.8,0.37,15
Brandon Marshall,105605,HB,FRTVLY,1,28,9,5,53.4,94,0,176,0,0,9,128,128.6,8,10,874,1,18,45.2,69.0,76.3,,78.4,62.4,69.0,59.8,21,0,-3,4,26,30,0,0,4,32,0,176,128,4.57,6.3,-0.12,9
Bryan Stiemke,152541,HB,AVEMAR,2,28,10,1,40.4,36,0,89,0,1,10,84,110.0,2,4,1450,0,10,78.7,65.1,77.2,,31.8,61.8,66.1,59.2,36,0,13,2,26,31,0,0,3,30,0,89,84,3.0,3.2,0.5,18
Jada Byers,154631,HB,VIRUNI,1,21,4,1,29.5,31,0,105,0,0,4,31,28.1,2,4,1165,0,20,77.8,66.5,76.4,,16.1,54.9,69.3,58.0,31,0,0,0,13,26,0,0,0,21,2,105,31,1.48,5.0,0.0,1
Jimmyll Williams,179890,HB,VIRSTA,1,21,6,0,0.0,0,0,77,0,0,6,43,51.2,3,6,1164,0,11,77.0,65.8,75.9,,82.0,65.6,64.8,58.5,13,0,15,3,22,27,0,0,4,24,1,77,43,2.05,3.7,0.68,10
Carlos Mann,197378,HB,SHORTER,1,19,2,2,60.0,57,0,95,0,1,2,75,56.4,3,3,396,0,11,76.5,67.8,75.5,,77.4,63.9,66.9,59.7,30,0,30,2,18,22,0,0,2,21,0,95,75,3.95,5.0,1.67,8
Anastacio Prado,196995,HB,LINCOK,1,19,3,0,0.0,0,1,60,0,0,3,39,32.4,1,0,1452,0,8,76.5,56.5,0.0,,17.2,54.9,60.7,,10,1,0,0,11,19,0,0,1,19,0,60,39,2.05,3.2,0.0,11
Rashad Luckey,194026,HB,ERSKIN,1,19,2,0,0.0,0,0,58,0,0,2,42,22.1,0,1,1526,0,16,76.5,71.3,79.4,,82.5,59.1,69.3,60.0,7,0,0,1,11,20,0,0,1,20,0,58,42,2.21,3.1,0.0,3
