player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Deiontae Jones,24779,LB,WSRAMS,1,1,0,100.0,0,0,1206,0,0,55.2,57.5,77.0,59.5,59.9,67.0,0,1,0,0,25,18.2,2,0,0,118.8,2,0,0,36,3,19,67,11,0,0,11,0,11,56,8,40,6,3,8,0,2,1,0,45,10,22.5
DeShawn Washington,26020,ED,MISS COL,1,1,0,,0,0,990,0,0,,48.1,75.9,56.6,48.1,25.5,0,0,0,0,,75.0,3,0,0,0.0,0,0,0,0,0,0,27,27,0,0,26,1,0,0,4,23,0,0,0,0,0,0,0,0,0,
Kai Gray,42518,S,LINCOLN,1,6,0,,0,1,380,0,0,66.5,66.9,0.0,87.6,63.1,68.3,1,0,0,0,,11.1,1,0,1,0.0,0,1,0,43,2,23,64,6,0,0,6,0,3,58,2,39,10,2,2,0,0,2,0,0,0,
Antonio Leroy,43129,LB,ALBANY ST,1,0,0,0.0,0,0,360,0,0,58.0,59.2,74.9,62.5,59.1,32.9,0,0,0,0,,33.3,1,0,0,39.6,0,0,0,41,0,21,44,0,0,0,0,0,0,44,5,18,3,0,2,0,2,0,0,0,0,
Malachi Brown,43243,S,ALBANY ST,1,0,0,50.0,0,0,360,0,0,66.7,65.5,72.1,55.7,60.0,77.1,0,0,0,0,5,0.0,0,0,0,56.3,1,0,0,7,1,12,19,2,0,0,2,0,0,17,3,4,9,0,2,0,2,0,0,5,0,5.0
Logan Wakefield,43860,ED,KEISER,1,0,0,,0,0,1475,0,0,61.9,48.5,77.9,55.8,42.7,34.2,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,3,0,7,33,30,0,0,29,1,0,3,12,14,0,0,1,0,0,0,0,0,0,
Davir Hamilton,44407,ED,TUSKEGEE,1,0,0,,0,0,405,0,0,60.8,65.5,76.8,58.9,67.1,74.8,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,28,28,0,0,20,8,0,0,11,14,0,2,2,0,0,2,0,0,0,
Jack Milton,51844,ED,THMORE,1,0,0,,0,0,1296,0,0,,65.3,74.0,60.8,65.1,73.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,18,18,0,0,14,4,0,0,11,7,0,1,2,0,0,1,0,0,0,
Vuk Sajlovic,51913,ED,THMORE,1,0,0,,0,0,1296,0,0,,45.1,75.1,53.1,45.3,18.2,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,31,31,0,1,17,13,0,0,17,14,0,0,0,0,0,0,0,0,0,
Del Thomas,52593,LB,THMORE,1,1,0,75.0,0,0,1296,0,0,73.1,60.7,0.0,75.3,41.8,29.3,0,1,0,1,11,40.0,2,0,1,44.8,3,1,0,52,0,31,58,2,0,0,2,0,0,56,3,24,4,2,2,0,4,2,0,19,15,6.3
