player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Evan Dickens,170066,HB,LIBERTY,11,229,38,17,41.3,552,0,1336,0,0,38,840,59.6,32,67,206,1,120,86.8,84.9,56.1,,49.7,58.3,86.9,48.5,95,1,61,5,136,310,0,0,6,234,16,1336,840,3.67,5.8,0.45,109,2025_this_team
Terron Kellman,158048,HB,WYOMING,10,67,23,7,48.2,160,0,332,0,1,23,198,98.5,12,17,351,0,19,84.3,72.9,3.6,,47.0,59.7,75.1,58.9,33,1,52,5,47,73,0,0,7,72,4,332,198,2.96,5.0,1.11,48,arrival_2025_at_WYOMING
Caden Williams,184698,HB,LIBERTY,7,57,7,2,19.4,48,0,248,0,0,7,169,36.4,6,9,206,2,25,40.0,60.2,81.3,,82.4,49.6,61.1,52.5,25,0,0,0,45,87,0,0,0,57,0,248,169,2.96,4.4,0.0,32,2025_this_team
Kanye Udoh,171024,HB,ARIZONA ST,11,57,13,3,26.4,65,0,246,1,0,13,141,55.4,8,16,110,0,36,83.4,65.4,82.3,,73.4,41.0,70.0,31.4,25,0,6,1,34,79,0,0,2,58,2,246,141,2.47,4.3,0.18,20,arrival_2025_at_ARIZONA ST
Justin Marshall,173460,HB,COLO STATE,10,49,21,2,35.4,91,0,257,2,8,21,207,214.9,7,11,144,1,18,60.1,73.1,79.9,,22.6,58.1,76.9,70.1,73,0,74,8,61,61,0,0,12,57,1,257,207,4.22,5.2,1.21,31,arrival_2025_at_COLO STATE
Vaughn Blue,174921,HB,LIBERTY,10,47,4,4,29.8,71,0,238,1,0,4,94,14.5,7,12,206,0,30,82.0,65.3,22.5,,37.3,61.8,71.1,49.4,22,1,119,8,56,133,0,0,12,55,2,238,94,2.0,5.1,2.13,16,2025_this_team
Julian Gray,143994,HB,LIBERTY,8,17,2,0,0.0,0,0,102,2,4,2,43,43.4,4,5,206,0,10,78.1,66.9,83.7,,39.8,71.0,65.6,55.5,14,0,218,18,74,127,0,0,23,35,1,102,43,2.53,6.0,2.95,7,2025_this_team
Jaylon Coleman,204998,HB,LIBERTY,7,11,4,2,48.1,38,0,79,0,2,4,45,116.9,2,4,206,0,6,74.1,77.3,80.9,,41.9,91.7,70.1,56.2,23,0,100,10,25,69,0,0,10,21,0,79,45,4.09,7.2,4.0,5,2025_this_team
Peyton Jones,170051,HB,DUKE,3,10,2,0,0.0,0,0,34,1,0,2,22,33.8,0,2,154,0,3,74.0,60.0,74.9,,53.1,49.0,63.6,,8,0,23,3,21,10,0,0,5,13,1,34,22,2.2,3.4,1.1,7,arrival_2025_at_DUKE
Kam Davis,183297,HB,FLORIDA ST,3,8,2,1,47.1,24,0,51,0,0,2,33,75.0,2,4,167,0,0,72.2,70.1,74.8,,71.7,66.6,68.1,71.1,24,0,46,3,12,12,0,0,3,11,1,51,33,4.13,6.4,3.83,6,arrival_2025_at_FLORIDA ST
Malachi Fannin-Render,198660,HB,LIBERTY,1,2,0,0,0.0,0,0,6,0,0,0,4,0.0,0,0,206,0,1,65.5,57.3,66.5,,71.0,,57.8,60.0,3,0,0,0,0,3,0,0,0,2,0,6,4,2.0,3.0,,1,2025_this_team
Jaylin Belford,157382,HB,LIBERTY,1,2,0,0,0.0,0,0,2,0,0,0,5,0.0,0,0,206,0,2,65.5,54.2,68.8,,72.7,,56.4,60.0,2,0,0,0,0,4,0,0,0,2,0,2,5,2.5,1.0,,0,2025_this_team
