year,school,norm_key,conference
2022,Air Force,airforce,Mountain West
2022,Akron,akron,Mid-American
2022,Alabama,alabama,SEC
2022,App State,appalachianstate,Sun Belt
2022,Arizona,arizona,Pac-12
2022,Arizona State,arizonastate,Pac-12
2022,Arkansas,arkansas,SEC
2022,Arkansas State,arkansasstate,Sun Belt
2022,Army,army,FBS Independents
2022,Auburn,auburn,SEC
2022,Ball State,ballstate,Mid-American
2022,Baylor,baylor,Big 12
2022,Boise State,boisestate,Mountain West
2022,Boston College,bostoncollege,ACC
2022,Bowling Green,bowlinggreen,Mid-American
2022,Buffalo,buffalo,Mid-American
2022,BYU,byu,FBS Independents
2022,California,california,Pac-12
2022,Central Michigan,centralmichigan,Mid-American
2022,Charlotte,charlotte,Conference USA
2022,Cincinnati,cincinnati,American Athletic
2022,Clemson,clemson,ACC
2022,Coastal Carolina,coastalcarolina,Sun Belt
2022,Colorado,colorado,Pac-12
2022,Colorado State,coloradostate,Mountain West
2022,Duke,duke,ACC
2022,East Carolina,eastcarolina,American Athletic
2022,Eastern Michigan,easternmichigan,Mid-American
2022,Florida,florida,SEC
2022,Florida Atlantic,floridaatlantic,Conference USA
2022,Florida International,floridainternational,Conference USA
2022,Florida State,floridastate,ACC
2022,Fresno State,fresnostate,Mountain West
2022,Georgia,georgia,SEC
2022,Georgia Southern,georgiasouthern,Sun Belt
2022,Georgia State,georgiastate,Sun Belt
2022,Georgia Tech,georgiatech,ACC
2022,Hawai'i,hawaii,Mountain West
2022,Houston,houston,American Athletic
2022,Illinois,illinois,Big Ten
2022,Indiana,indiana,Big Ten
2022,Iowa,iowa,Big Ten
2022,Iowa State,iowastate,Big 12
2022,James Madison,jamesmadison,Sun Belt
2022,Kansas,kansas,Big 12
2022,Kansas State,kansasstate,Big 12
2022,Kent State,kentstate,Mid-American
2022,Kentucky,kentucky,SEC
2022,Liberty,liberty,FBS Independents
2022,Louisiana,louisiana,Sun Belt
2022,Louisiana Tech,louisianatech,Conference USA
2022,Louisville,louisville,ACC
2022,LSU,lsu,SEC
2022,Marshall,marshall,Sun Belt
2022,Maryland,maryland,Big Ten
2022,Massachusetts,massachusetts,FBS Independents
2022,Memphis,memphis,American Athletic
2022,Miami,miamifl,ACC
2022,Miami (OH),miamioh,Mid-American
2022,Michigan,michigan,Big Ten
2022,Michigan State,michiganstate,Big Ten
2022,Middle Tennessee,middletennessee,Conference USA
2022,Minnesota,minnesota,Big Ten
2022,Mississippi State,mississippistate,SEC
2022,Missouri,missouri,SEC
2022,Navy,navy,American Athletic
2022,NC State,ncstate,ACC
2022,Nebraska,nebraska,Big Ten
2022,Nevada,nevada,Mountain West
2022,New Mexico,newmexico,Mountain West
2022,New Mexico State,newmexicostate,FBS Independents
2022,North Carolina,northcarolina,ACC
2022,Northern Illinois,northernillinois,Mid-American
2022,North Texas,northtexas,Conference USA
2022,Northwestern,northwestern,Big Ten
2022,Notre Dame,notredame,FBS Independents
2022,Ohio,ohio,Mid-American
2022,Ohio State,ohiostate,Big Ten
2022,Oklahoma,oklahoma,Big 12
2022,Oklahoma State,oklahomastate,Big 12
2022,Old Dominion,olddominion,Sun Belt
2022,Ole Miss,olemiss,SEC
2022,Oregon,oregon,Pac-12
2022,Oregon State,oregonstate,Pac-12
2022,Penn State,pennstate,Big Ten
2022,Pittsburgh,pittsburgh,ACC
2022,Purdue,purdue,Big Ten
2022,Rice,rice,Conference USA
2022,Rutgers,rutgers,Big Ten
2022,San Diego State,sandiegostate,Mountain West
2022,San José State,sanjosestate,Mountain West
2022,SMU,smu,American Athletic
2022,South Alabama,southalabama,Sun Belt
2022,South Carolina,southcarolina,SEC
2022,Southern Miss,southernmiss,Sun Belt
2022,South Florida,southflorida,American Athletic
2022,Stanford,stanford,Pac-12
2022,Syracuse,syracuse,ACC
2022,TCU,tcu,Big 12
2022,Temple,temple,American Athletic
2022,Tennessee,tennessee,SEC
2022,Texas,texas,Big 12
2022,Texas A&M,texasam,SEC
2022,Texas State,texasstate,Sun Belt
2022,Texas Tech,texastech,Big 12
2022,Toledo,toledo,Mid-American
2022,Troy,troy,Sun Belt
2022,Tulane,tulane,American Athletic
2022,Tulsa,tulsa,American Athletic
2022,UAB,uab,Conference USA
2022,UCF,ucf,American Athletic
2022,UCLA,ucla,Pac-12
2022,UConn,connecticut,FBS Independents
2022,UL Monroe,louisianamonroe,Sun Belt
2022,UNLV,unlv,Mountain West
2022,USC,usc,Pac-12
2022,Utah,utah,Pac-12
2022,Utah State,utahstate,Mountain West
2022,UTEP,utep,Conference USA
2022,UTSA,utsa,Conference USA
2022,Vanderbilt,vanderbilt,SEC
2022,Virginia,virginia,ACC
2022,Virginia Tech,virginiatech,ACC
2022,Wake Forest,wakeforest,ACC
2022,Washington,washington,Pac-12
2022,Washington State,washingtonstate,Pac-12
2022,Western Kentucky,westernkentucky,Conference USA
2022,Western Michigan,westernmichigan,Mid-American
2022,West Virginia,westvirginia,Big 12
2022,Wisconsin,wisconsin,Big Ten
2022,Wyoming,wyoming,Mountain West
