year,team,conference,norm_key,final_overall
2022,Georgia,SEC,georgia,35.3
2022,Michigan,Big Ten,michigan,32
2022,Ohio State,Big Ten,ohiostate,31.1
2022,Alabama,SEC,alabama,30.3
2022,Tennessee,SEC,tennessee,25.2
2022,TCU,Big 12,tcu,24.3
2022,Texas,SEC,texas,23.1
2022,Penn State,Big Ten,pennstate,22.4
2022,Kansas State,Big 12,kansasstate,21.4
2022,Utah,Big 12,utah,19.2
2022,Oregon,Big Ten,oregon,18.9
2022,USC,Big Ten,usc,18.9
2022,Clemson,ACC,clemson,17.6
2022,LSU,SEC,lsu,16.2
2022,Ole Miss,SEC,olemiss,16.2
2022,Minnesota,Big Ten,minnesota,16
2022,Illinois,Big Ten,illinois,15.9
2022,Washington,Big Ten,washington,15.7
2022,Oklahoma,SEC,oklahoma,15.4
2022,Mississippi State,SEC,mississippistate,15.4
2022,UCLA,Big Ten,ucla,15
2022,Oregon State,Pac-12,oregonstate,14.3
2022,Florida State,ACC,floridastate,13.2
2022,Cincinnati,Big 12,cincinnati,13.1
2022,Kentucky,SEC,kentucky,13
2022,South Carolina,SEC,southcarolina,12.7
2022,Iowa,Big Ten,iowa,12.7
2022,Tulane,American Athletic,tulane,12.4
2022,Arkansas,SEC,arkansas,12
2022,Baylor,Big 12,baylor,11.7
2022,Oklahoma State,Big 12,oklahomastate,11.3
2022,Maryland,Big Ten,maryland,11.2
2022,South Alabama,Sun Belt,southalabama,10.8
2022,Florida,SEC,florida,10.4
2022,Notre Dame,FBS Independents,notredame,10.3
2022,UCF,Big 12,ucf,10.3
2022,Washington State,Pac-12,washingtonstate,9.5
2022,Texas A&M,SEC,texasam,9.1
2022,Louisville,ACC,louisville,9
2022,Pittsburgh,ACC,pittsburgh,8.6
2022,Texas Tech,Big 12,texastech,8.5
2022,Wisconsin,Big Ten,wisconsin,8.3
2022,Wake Forest,ACC,wakeforest,8.2
2022,Troy,Sun Belt,troy,8.1
2022,Missouri,SEC,missouri,8.1
2022,North Carolina,ACC,northcarolina,7.8
2022,Purdue,Big Ten,purdue,7.7
2022,UTSA,American Athletic,utsa,7.2
2022,Memphis,American Athletic,memphis,6.8
2022,NC State,ACC,ncstate,6.8
2022,James Madison,Sun Belt,jamesmadison,6.5
2022,Boise State,Pac-12,boisestate,5.7
2022,Iowa State,Big 12,iowastate,5.3
2022,Auburn,SEC,auburn,5.1
