year,school,norm_key,conference
2024,Air Force,airforce,Mountain West
2024,Akron,akron,Mid-American
2024,Alabama,alabama,SEC
2024,App State,appalachianstate,Sun Belt
2024,Arizona,arizona,Big 12
2024,Arizona State,arizonastate,Big 12
2024,Arkansas,arkansas,SEC
2024,Arkansas State,arkansasstate,Sun Belt
2024,Army,army,American Athletic
2024,Auburn,auburn,SEC
2024,Ball State,ballstate,Mid-American
2024,Baylor,baylor,Big 12
2024,Boise State,boisestate,Mountain West
2024,Boston College,bostoncollege,ACC
2024,Bowling Green,bowlinggreen,Mid-American
2024,Buffalo,buffalo,Mid-American
2024,BYU,byu,Big 12
2024,California,california,ACC
2024,Central Michigan,centralmichigan,Mid-American
2024,Charlotte,charlotte,American Athletic
2024,Cincinnati,cincinnati,Big 12
2024,Clemson,clemson,ACC
2024,Coastal Carolina,coastalcarolina,Sun Belt
2024,Colorado,colorado,Big 12
2024,Colorado State,coloradostate,Mountain West
2024,Duke,duke,ACC
2024,East Carolina,eastcarolina,American Athletic
2024,Eastern Michigan,easternmichigan,Mid-American
2024,Florida,florida,SEC
2024,Florida Atlantic,floridaatlantic,American Athletic
2024,Florida International,floridainternational,Conference USA
2024,Florida State,floridastate,ACC
2024,Fresno State,fresnostate,Mountain West
2024,Georgia,georgia,SEC
2024,Georgia Southern,georgiasouthern,Sun Belt
2024,Georgia State,georgiastate,Sun Belt
2024,Georgia Tech,georgiatech,ACC
2024,Hawai'i,hawaii,Mountain West
2024,Houston,houston,Big 12
2024,Illinois,illinois,Big Ten
2024,Indiana,indiana,Big Ten
2024,Iowa,iowa,Big Ten
2024,Iowa State,iowastate,Big 12
2024,Jacksonville State,jacksonvillestate,Conference USA
2024,James Madison,jamesmadison,Sun Belt
2024,Kansas,kansas,Big 12
2024,Kansas State,kansasstate,Big 12
2024,Kennesaw State,kennesawstate,Conference USA
2024,Kent State,kentstate,Mid-American
2024,Kentucky,kentucky,SEC
2024,Liberty,liberty,Conference USA
2024,Louisiana,louisiana,Sun Belt
2024,Louisiana Tech,louisianatech,Conference USA
2024,Louisville,louisville,ACC
2024,LSU,lsu,SEC
2024,Marshall,marshall,Sun Belt
2024,Maryland,maryland,Big Ten
2024,Massachusetts,massachusetts,FBS Independents
2024,Memphis,memphis,American Athletic
2024,Miami,miamifl,ACC
2024,Miami (OH),miamioh,Mid-American
2024,Michigan,michigan,Big Ten
2024,Michigan State,michiganstate,Big Ten
2024,Middle Tennessee,middletennessee,Conference USA
2024,Minnesota,minnesota,Big Ten
2024,Mississippi State,mississippistate,SEC
2024,Missouri,missouri,SEC
2024,Navy,navy,American Athletic
2024,NC State,ncstate,ACC
2024,Nebraska,nebraska,Big Ten
2024,Nevada,nevada,Mountain West
2024,New Mexico,newmexico,Mountain West
2024,New Mexico State,newmexicostate,Conference USA
2024,North Carolina,northcarolina,ACC
2024,Northern Illinois,northernillinois,Mid-American
2024,North Texas,northtexas,American Athletic
2024,Northwestern,northwestern,Big Ten
2024,Notre Dame,notredame,FBS Independents
2024,Ohio,ohio,Mid-American
2024,Ohio State,ohiostate,Big Ten
2024,Oklahoma,oklahoma,SEC
2024,Oklahoma State,oklahomastate,Big 12
2024,Old Dominion,olddominion,Sun Belt
2024,Ole Miss,olemiss,SEC
2024,Oregon,oregon,Big Ten
2024,Oregon State,oregonstate,Pac-12
2024,Penn State,pennstate,Big Ten
2024,Pittsburgh,pittsburgh,ACC
2024,Purdue,purdue,Big Ten
2024,Rice,rice,American Athletic
2024,Rutgers,rutgers,Big Ten
2024,Sam Houston,samhouston,Conference USA
2024,San Diego State,sandiegostate,Mountain West
2024,San José State,sanjosestate,Mountain West
2024,SMU,smu,ACC
2024,South Alabama,southalabama,Sun Belt
2024,South Carolina,southcarolina,SEC
2024,Southern Miss,southernmiss,Sun Belt
2024,South Florida,southflorida,American Athletic
2024,Stanford,stanford,ACC
2024,Syracuse,syracuse,ACC
2024,TCU,tcu,Big 12
2024,Temple,temple,American Athletic
2024,Tennessee,tennessee,SEC
2024,Texas,texas,SEC
2024,Texas A&M,texasam,SEC
2024,Texas State,texasstate,Sun Belt
2024,Texas Tech,texastech,Big 12
2024,Toledo,toledo,Mid-American
2024,Troy,troy,Sun Belt
2024,Tulane,tulane,American Athletic
2024,Tulsa,tulsa,American Athletic
2024,UAB,uab,American Athletic
2024,UCF,ucf,Big 12
2024,UCLA,ucla,Big Ten
2024,UConn,connecticut,FBS Independents
2024,UL Monroe,louisianamonroe,Sun Belt
2024,UNLV,unlv,Mountain West
2024,USC,usc,Big Ten
2024,Utah,utah,Big 12
2024,Utah State,utahstate,Mountain West
2024,UTEP,utep,Conference USA
2024,UTSA,utsa,American Athletic
2024,Vanderbilt,vanderbilt,SEC
2024,Virginia,virginia,ACC
2024,Virginia Tech,virginiatech,ACC
2024,Wake Forest,wakeforest,ACC
2024,Washington,washington,Big Ten
2024,Washington State,washingtonstate,Pac-12
2024,Western Kentucky,westernkentucky,Conference USA
2024,Western Michigan,westernmichigan,Mid-American
2024,West Virginia,westvirginia,Big 12
2024,Wisconsin,wisconsin,Big Ten
2024,Wyoming,wyoming,Mountain West
