year,school,norm_key,conference
2025,Air Force,airforce,Mountain West
2025,Akron,akron,Mid-American
2025,Alabama,alabama,SEC
2025,App State,appalachianstate,Sun Belt
2025,Arizona,arizona,Big 12
2025,Arizona State,arizonastate,Big 12
2025,Arkansas,arkansas,SEC
2025,Arkansas State,arkansasstate,Sun Belt
2025,Army,army,American Athletic
2025,Auburn,auburn,SEC
2025,Ball State,ballstate,Mid-American
2025,Baylor,baylor,Big 12
2025,Boise State,boisestate,Mountain West
2025,Boston College,bostoncollege,ACC
2025,Bowling Green,bowlinggreen,Mid-American
2025,Buffalo,buffalo,Mid-American
2025,BYU,byu,Big 12
2025,California,california,ACC
2025,Central Michigan,centralmichigan,Mid-American
2025,Charlotte,charlotte,American Athletic
2025,Cincinnati,cincinnati,Big 12
2025,Clemson,clemson,ACC
2025,Coastal Carolina,coastalcarolina,Sun Belt
2025,Colorado,colorado,Big 12
2025,Colorado State,coloradostate,Mountain West
2025,Delaware,delaware,Conference USA
2025,Duke,duke,ACC
2025,East Carolina,eastcarolina,American Athletic
2025,Eastern Michigan,easternmichigan,Mid-American
2025,Florida,florida,SEC
2025,Florida Atlantic,floridaatlantic,American Athletic
2025,Florida International,floridainternational,Conference USA
2025,Florida State,floridastate,ACC
2025,Fresno State,fresnostate,Mountain West
2025,Georgia,georgia,SEC
2025,Georgia Southern,georgiasouthern,Sun Belt
2025,Georgia State,georgiastate,Sun Belt
2025,Georgia Tech,georgiatech,ACC
2025,Hawai'i,hawaii,Mountain West
2025,Houston,houston,Big 12
2025,Illinois,illinois,Big Ten
2025,Indiana,indiana,Big Ten
2025,Iowa,iowa,Big Ten
2025,Iowa State,iowastate,Big 12
2025,Jacksonville State,jacksonvillestate,Conference USA
2025,James Madison,jamesmadison,Sun Belt
2025,Kansas,kansas,Big 12
2025,Kansas State,kansasstate,Big 12
2025,Kennesaw State,kennesawstate,Conference USA
2025,Kent State,kentstate,Mid-American
2025,Kentucky,kentucky,SEC
2025,Liberty,liberty,Conference USA
2025,Louisiana,louisiana,Sun Belt
2025,Louisiana Tech,louisianatech,Conference USA
2025,Louisville,louisville,ACC
2025,LSU,lsu,SEC
2025,Marshall,marshall,Sun Belt
2025,Maryland,maryland,Big Ten
2025,Massachusetts,massachusetts,Mid-American
2025,Memphis,memphis,American Athletic
2025,Miami,miamifl,ACC
2025,Miami (OH),miamioh,Mid-American
2025,Michigan,michigan,Big Ten
2025,Michigan State,michiganstate,Big Ten
2025,Middle Tennessee,middletennessee,Conference USA
2025,Minnesota,minnesota,Big Ten
2025,Mississippi State,mississippistate,SEC
2025,Missouri,missouri,SEC
2025,Missouri State,missouristate,Conference USA
2025,Navy,navy,American Athletic
2025,NC State,ncstate,ACC
2025,Nebraska,nebraska,Big Ten
2025,Nevada,nevada,Mountain West
2025,New Mexico,newmexico,Mountain West
2025,New Mexico State,newmexicostate,Conference USA
2025,North Carolina,northcarolina,ACC
2025,Northern Illinois,northernillinois,Mid-American
2025,North Texas,northtexas,American Athletic
2025,Northwestern,northwestern,Big Ten
2025,Notre Dame,notredame,FBS Independents
2025,Ohio,ohio,Mid-American
2025,Ohio State,ohiostate,Big Ten
2025,Oklahoma,oklahoma,SEC
2025,Oklahoma State,oklahomastate,Big 12
2025,Old Dominion,olddominion,Sun Belt
2025,Ole Miss,olemiss,SEC
2025,Oregon,oregon,Big Ten
2025,Oregon State,oregonstate,Pac-12
2025,Penn State,pennstate,Big Ten
2025,Pittsburgh,pittsburgh,ACC
2025,Purdue,purdue,Big Ten
2025,Rice,rice,American Athletic
2025,Rutgers,rutgers,Big Ten
2025,Sam Houston,samhouston,Conference USA
2025,San Diego State,sandiegostate,Mountain West
2025,San José State,sanjosestate,Mountain West
2025,SMU,smu,ACC
2025,South Alabama,southalabama,Sun Belt
2025,South Carolina,southcarolina,SEC
2025,Southern Miss,southernmiss,Sun Belt
2025,South Florida,southflorida,American Athletic
2025,Stanford,stanford,ACC
2025,Syracuse,syracuse,ACC
2025,TCU,tcu,Big 12
2025,Temple,temple,American Athletic
2025,Tennessee,tennessee,SEC
2025,Texas,texas,SEC
2025,Texas A&M,texasam,SEC
2025,Texas State,texasstate,Sun Belt
2025,Texas Tech,texastech,Big 12
2025,Toledo,toledo,Mid-American
2025,Troy,troy,Sun Belt
2025,Tulane,tulane,American Athletic
2025,Tulsa,tulsa,American Athletic
2025,UAB,uab,American Athletic
2025,UCF,ucf,Big 12
2025,UCLA,ucla,Big Ten
2025,UConn,connecticut,FBS Independents
2025,UL Monroe,louisianamonroe,Sun Belt
2025,UNLV,unlv,Mountain West
2025,USC,usc,Big Ten
2025,Utah,utah,Big 12
2025,Utah State,utahstate,Mountain West
2025,UTEP,utep,Conference USA
2025,UTSA,utsa,American Athletic
2025,Vanderbilt,vanderbilt,SEC
2025,Virginia,virginia,ACC
2025,Virginia Tech,virginiatech,ACC
2025,Wake Forest,wakeforest,ACC
2025,Washington,washington,Big Ten
2025,Washington State,washingtonstate,Pac-12
2025,Western Kentucky,westernkentucky,Conference USA
2025,Western Michigan,westernmichigan,Mid-American
2025,West Virginia,westvirginia,Big 12
2025,Wisconsin,wisconsin,Big Ten
2025,Wyoming,wyoming,Mountain West
