year,school,norm_key,conference
2021,Air Force,airforce,Mountain West
2021,Akron,akron,Mid-American
2021,Alabama,alabama,SEC
2021,App State,appalachianstate,Sun Belt
2021,Arizona,arizona,Pac-12
2021,Arizona State,arizonastate,Pac-12
2021,Arkansas,arkansas,SEC
2021,Arkansas State,arkansasstate,Sun Belt
2021,Army,army,FBS Independents
2021,Auburn,auburn,SEC
2021,Ball State,ballstate,Mid-American
2021,Baylor,baylor,Big 12
2021,Boise State,boisestate,Mountain West
2021,Boston College,bostoncollege,ACC
2021,Bowling Green,bowlinggreen,Mid-American
2021,Buffalo,buffalo,Mid-American
2021,BYU,byu,FBS Independents
2021,California,california,Pac-12
2021,Central Michigan,centralmichigan,Mid-American
2021,Charlotte,charlotte,Conference USA
2021,Cincinnati,cincinnati,American Athletic
2021,Clemson,clemson,ACC
2021,Coastal Carolina,coastalcarolina,Sun Belt
2021,Colorado,colorado,Pac-12
2021,Colorado State,coloradostate,Mountain West
2021,Duke,duke,ACC
2021,East Carolina,eastcarolina,American Athletic
2021,Eastern Michigan,easternmichigan,Mid-American
2021,Florida,florida,SEC
2021,Florida Atlantic,floridaatlantic,Conference USA
2021,Florida International,floridainternational,Conference USA
2021,Florida State,floridastate,ACC
2021,Fresno State,fresnostate,Mountain West
2021,Georgia,georgia,SEC
2021,Georgia Southern,georgiasouthern,Sun Belt
2021,Georgia State,georgiastate,Sun Belt
2021,Georgia Tech,georgiatech,ACC
2021,Hawai'i,hawaii,Mountain West
2021,Houston,houston,American Athletic
2021,Illinois,illinois,Big Ten
2021,Indiana,indiana,Big Ten
2021,Iowa,iowa,Big Ten
2021,Iowa State,iowastate,Big 12
2021,Kansas,kansas,Big 12
2021,Kansas State,kansasstate,Big 12
2021,Kent State,kentstate,Mid-American
2021,Kentucky,kentucky,SEC
2021,Liberty,liberty,FBS Independents
2021,Louisiana,louisiana,Sun Belt
2021,Louisiana Tech,louisianatech,Conference USA
2021,Louisville,louisville,ACC
2021,LSU,lsu,SEC
2021,Marshall,marshall,Conference USA
2021,Maryland,maryland,Big Ten
2021,Massachusetts,massachusetts,FBS Independents
2021,Memphis,memphis,American Athletic
2021,Miami,miamifl,ACC
2021,Miami (OH),miamioh,Mid-American
2021,Michigan,michigan,Big Ten
2021,Michigan State,michiganstate,Big Ten
2021,Middle Tennessee,middletennessee,Conference USA
2021,Minnesota,minnesota,Big Ten
2021,Mississippi State,mississippistate,SEC
2021,Missouri,missouri,SEC
2021,Navy,navy,American Athletic
2021,NC State,ncstate,ACC
2021,Nebraska,nebraska,Big Ten
2021,Nevada,nevada,Mountain West
2021,New Mexico,newmexico,Mountain West
2021,New Mexico State,newmexicostate,FBS Independents
2021,North Carolina,northcarolina,ACC
2021,Northern Illinois,northernillinois,Mid-American
2021,North Texas,northtexas,Conference USA
2021,Northwestern,northwestern,Big Ten
2021,Notre Dame,notredame,FBS Independents
2021,Ohio,ohio,Mid-American
2021,Ohio State,ohiostate,Big Ten
2021,Oklahoma,oklahoma,Big 12
2021,Oklahoma State,oklahomastate,Big 12
2021,Old Dominion,olddominion,Conference USA
2021,Ole Miss,olemiss,SEC
2021,Oregon,oregon,Pac-12
2021,Oregon State,oregonstate,Pac-12
2021,Penn State,pennstate,Big Ten
2021,Pittsburgh,pittsburgh,ACC
2021,Purdue,purdue,Big Ten
2021,Rice,rice,Conference USA
2021,Rutgers,rutgers,Big Ten
2021,San Diego State,sandiegostate,Mountain West
2021,San José State,sanjosestate,Mountain West
2021,SMU,smu,American Athletic
2021,South Alabama,southalabama,Sun Belt
2021,South Carolina,southcarolina,SEC
2021,Southern Miss,southernmiss,Conference USA
2021,South Florida,southflorida,American Athletic
2021,Stanford,stanford,Pac-12
2021,Syracuse,syracuse,ACC
2021,TCU,tcu,Big 12
2021,Temple,temple,American Athletic
2021,Tennessee,tennessee,SEC
2021,Texas,texas,Big 12
2021,Texas A&M,texasam,SEC
2021,Texas State,texasstate,Sun Belt
2021,Texas Tech,texastech,Big 12
2021,Toledo,toledo,Mid-American
2021,Troy,troy,Sun Belt
2021,Tulane,tulane,American Athletic
2021,Tulsa,tulsa,American Athletic
2021,UAB,uab,Conference USA
2021,UCF,ucf,American Athletic
2021,UCLA,ucla,Pac-12
2021,UConn,connecticut,FBS Independents
2021,UL Monroe,louisianamonroe,Sun Belt
2021,UNLV,unlv,Mountain West
2021,USC,usc,Pac-12
2021,Utah,utah,Pac-12
2021,Utah State,utahstate,Mountain West
2021,UTEP,utep,Conference USA
2021,UTSA,utsa,Conference USA
2021,Vanderbilt,vanderbilt,SEC
2021,Virginia,virginia,ACC
2021,Virginia Tech,virginiatech,ACC
2021,Wake Forest,wakeforest,ACC
2021,Washington,washington,Pac-12
2021,Washington State,washingtonstate,Pac-12
2021,Western Kentucky,westernkentucky,Conference USA
2021,Western Michigan,westernmichigan,Mid-American
2021,West Virginia,westvirginia,Big 12
2021,Wisconsin,wisconsin,Big Ten
2021,Wyoming,wyoming,Mountain West
