year,team,conference,norm_key,final_overall
2025,Indiana,Big Ten,indiana,32.4
2025,Ohio State,Big Ten,ohiostate,30.1
2025,Texas Tech,Big 12,texastech,27.6
2025,Oregon,Big Ten,oregon,25.9
2025,Notre Dame,FBS Independents,notredame,24.4
2025,Georgia,SEC,georgia,24.1
2025,Ole Miss,SEC,olemiss,24
2025,Utah,Big 12,utah,22.2
2025,Miami,ACC,miamifl,20.7
2025,Texas A&M,SEC,texasam,20.7
2025,Vanderbilt,SEC,vanderbilt,20.3
2025,Iowa,Big Ten,iowa,19.7
2025,Washington,Big Ten,washington,18.4
2025,Oklahoma,SEC,oklahoma,18.3
2025,Penn State,Big Ten,pennstate,18.1
2025,USC,Big Ten,usc,16.9
2025,Texas,SEC,texas,16.2
2025,BYU,Big 12,byu,15.9
2025,Tennessee,SEC,tennessee,15
2025,Alabama,SEC,alabama,14.8
2025,Missouri,SEC,missouri,14.4
2025,North Texas,American Athletic,northtexas,13.8
2025,SMU,ACC,smu,13.4
2025,Illinois,Big Ten,illinois,12.9
2025,Michigan,Big Ten,michigan,12.4
2025,Louisville,ACC,louisville,12.4
2025,James Madison,Sun Belt,jamesmadison,12.3
2025,Arizona,Big 12,arizona,12
2025,Auburn,SEC,auburn,11.6
2025,South Florida,American Athletic,southflorida,11.6
2025,Virginia,ACC,virginia,11.1
2025,LSU,SEC,lsu,10.3
2025,Iowa State,Big 12,iowastate,9.9
2025,Clemson,ACC,clemson,9.5
2025,Georgia Tech,ACC,georgiatech,9.3
2025,Pittsburgh,ACC,pittsburgh,8.4
2025,TCU,Big 12,tcu,8.3
2025,East Carolina,American Athletic,eastcarolina,8
2025,Memphis,American Athletic,memphis,7.6
2025,Houston,Big 12,houston,7.4
2025,Florida State,ACC,floridastate,7.2
2025,Kansas State,Big 12,kansasstate,7
2025,San Diego State,Pac-12,sandiegostate,6.7
2025,Duke,ACC,duke,6.6
2025,Tulane,American Athletic,tulane,6.3
2025,Nebraska,Big Ten,nebraska,6.2
2025,Navy,American Athletic,navy,6.2
2025,Toledo,Mid-American,toledo,6
2025,Old Dominion,Sun Belt,olddominion,5.9
2025,South Carolina,SEC,southcarolina,5.9
2025,Northwestern,Big Ten,northwestern,5.8
2025,Wake Forest,ACC,wakeforest,5.7
2025,UConn,FBS Independents,connecticut,5.1
2025,Arkansas,SEC,arkansas,5.1
2025,NC State,ACC,ncstate,4.8
2025,Cincinnati,Big 12,cincinnati,4.5
2025,UNLV,Mountain West,unlv,4.3
2025,Kansas,Big 12,kansas,4.1
2025,Mississippi State,SEC,mississippistate,4.1
2025,Arizona State,Big 12,arizonastate,3.9
2025,Washington State,Pac-12,washingtonstate,3.8
2025,UTSA,American Athletic,utsa,3.7
2025,Florida,SEC,florida,3.5
2025,Boise State,Pac-12,boisestate,3.1
2025,Texas State,Pac-12,texasstate,2.3
2025,Fresno State,Pac-12,fresnostate,1.8
2025,Kentucky,SEC,kentucky,1.8
2025,Hawai'i,Mountain West,hawaii,1.7
2025,Western Kentucky,Conference USA,westernkentucky,1.6
2025,Minnesota,Big Ten,minnesota,1.5
2025,Baylor,Big 12,baylor,1.4
2025,Rutgers,Big Ten,rutgers,1
2025,New Mexico,Mountain West,newmexico,0.9
2025,Army,American Athletic,army,0.8
2025,Maryland,Big Ten,maryland,0.6
2025,UCF,Big 12,ucf,-1.2
2025,Louisiana Tech,Sun Belt,louisianatech,-1.3
2025,Western Michigan,Mid-American,westernmichigan,-1.4
2025,Utah State,Pac-12,utahstate,-3.1
2025,California,ACC,california,-3.2
2025,Air Force,Mountain West,airforce,-3.2
2025,Michigan State,Big Ten,michiganstate,-3.4
2025,Miami (OH),Mid-American,miamioh,-3.4
2025,Ohio,Mid-American,ohio,-4
2025,Wisconsin,Big Ten,wisconsin,-4.4
2025,Marshall,Sun Belt,marshall,-4.5
