year,school,norm_key,conference
2023,Air Force,airforce,Mountain West
2023,Akron,akron,Mid-American
2023,Alabama,alabama,SEC
2023,App State,appalachianstate,Sun Belt
2023,Arizona,arizona,Pac-12
2023,Arizona State,arizonastate,Pac-12
2023,Arkansas,arkansas,SEC
2023,Arkansas State,arkansasstate,Sun Belt
2023,Army,army,FBS Independents
2023,Auburn,auburn,SEC
2023,Ball State,ballstate,Mid-American
2023,Baylor,baylor,Big 12
2023,Boise State,boisestate,Mountain West
2023,Boston College,bostoncollege,ACC
2023,Bowling Green,bowlinggreen,Mid-American
2023,Buffalo,buffalo,Mid-American
2023,BYU,byu,Big 12
2023,California,california,Pac-12
2023,Central Michigan,centralmichigan,Mid-American
2023,Charlotte,charlotte,American Athletic
2023,Cincinnati,cincinnati,Big 12
2023,Clemson,clemson,ACC
2023,Coastal Carolina,coastalcarolina,Sun Belt
2023,Colorado,colorado,Pac-12
2023,Colorado State,coloradostate,Mountain West
2023,Duke,duke,ACC
2023,East Carolina,eastcarolina,American Athletic
2023,Eastern Michigan,easternmichigan,Mid-American
2023,Florida,florida,SEC
2023,Florida Atlantic,floridaatlantic,American Athletic
2023,Florida International,floridainternational,Conference USA
2023,Florida State,floridastate,ACC
2023,Fresno State,fresnostate,Mountain West
2023,Georgia,georgia,SEC
2023,Georgia Southern,georgiasouthern,Sun Belt
2023,Georgia State,georgiastate,Sun Belt
2023,Georgia Tech,georgiatech,ACC
2023,Hawai'i,hawaii,Mountain West
2023,Houston,houston,Big 12
2023,Illinois,illinois,Big Ten
2023,Indiana,indiana,Big Ten
2023,Iowa,iowa,Big Ten
2023,Iowa State,iowastate,Big 12
2023,Jacksonville State,jacksonvillestate,Conference USA
2023,James Madison,jamesmadison,Sun Belt
2023,Kansas,kansas,Big 12
2023,Kansas State,kansasstate,Big 12
2023,Kent State,kentstate,Mid-American
2023,Kentucky,kentucky,SEC
2023,Liberty,liberty,Conference USA
2023,Louisiana,louisiana,Sun Belt
2023,Louisiana Tech,louisianatech,Conference USA
2023,Louisville,louisville,ACC
2023,LSU,lsu,SEC
2023,Marshall,marshall,Sun Belt
2023,Maryland,maryland,Big Ten
2023,Massachusetts,massachusetts,FBS Independents
2023,Memphis,memphis,American Athletic
2023,Miami,miamifl,ACC
2023,Miami (OH),miamioh,Mid-American
2023,Michigan,michigan,Big Ten
2023,Michigan State,michiganstate,Big Ten
2023,Middle Tennessee,middletennessee,Conference USA
2023,Minnesota,minnesota,Big Ten
2023,Mississippi State,mississippistate,SEC
2023,Missouri,missouri,SEC
2023,Navy,navy,American Athletic
2023,NC State,ncstate,ACC
2023,Nebraska,nebraska,Big Ten
2023,Nevada,nevada,Mountain West
2023,New Mexico,newmexico,Mountain West
2023,New Mexico State,newmexicostate,Conference USA
2023,North Carolina,northcarolina,ACC
2023,Northern Illinois,northernillinois,Mid-American
2023,North Texas,northtexas,American Athletic
2023,Northwestern,northwestern,Big Ten
2023,Notre Dame,notredame,FBS Independents
2023,Ohio,ohio,Mid-American
2023,Ohio State,ohiostate,Big Ten
2023,Oklahoma,oklahoma,Big 12
2023,Oklahoma State,oklahomastate,Big 12
2023,Old Dominion,olddominion,Sun Belt
2023,Ole Miss,olemiss,SEC
2023,Oregon,oregon,Pac-12
2023,Oregon State,oregonstate,Pac-12
2023,Penn State,pennstate,Big Ten
2023,Pittsburgh,pittsburgh,ACC
2023,Purdue,purdue,Big Ten
2023,Rice,rice,American Athletic
2023,Rutgers,rutgers,Big Ten
2023,Sam Houston,samhouston,Conference USA
2023,San Diego State,sandiegostate,Mountain West
2023,San José State,sanjosestate,Mountain West
2023,SMU,smu,American Athletic
2023,South Alabama,southalabama,Sun Belt
2023,South Carolina,southcarolina,SEC
2023,Southern Miss,southernmiss,Sun Belt
2023,South Florida,southflorida,American Athletic
2023,Stanford,stanford,Pac-12
2023,Syracuse,syracuse,ACC
2023,TCU,tcu,Big 12
2023,Temple,temple,American Athletic
2023,Tennessee,tennessee,SEC
2023,Texas,texas,Big 12
2023,Texas A&M,texasam,SEC
2023,Texas State,texasstate,Sun Belt
2023,Texas Tech,texastech,Big 12
2023,Toledo,toledo,Mid-American
2023,Troy,troy,Sun Belt
2023,Tulane,tulane,American Athletic
2023,Tulsa,tulsa,American Athletic
2023,UAB,uab,American Athletic
2023,UCF,ucf,Big 12
2023,UCLA,ucla,Pac-12
2023,UConn,connecticut,FBS Independents
2023,UL Monroe,louisianamonroe,Sun Belt
2023,UNLV,unlv,Mountain West
2023,USC,usc,Pac-12
2023,Utah,utah,Pac-12
2023,Utah State,utahstate,Mountain West
2023,UTEP,utep,Conference USA
2023,UTSA,utsa,American Athletic
2023,Vanderbilt,vanderbilt,SEC
2023,Virginia,virginia,ACC
2023,Virginia Tech,virginiatech,ACC
2023,Wake Forest,wakeforest,ACC
2023,Washington,washington,Pac-12
2023,Washington State,washingtonstate,Pac-12
2023,Western Kentucky,westernkentucky,Conference USA
2023,Western Michigan,westernmichigan,Mid-American
2023,West Virginia,westvirginia,Big 12
2023,Wisconsin,wisconsin,Big Ten
2023,Wyoming,wyoming,Mountain West
