unit,pos,depth,player,class,origin,note
QB,QB,1,Devon Dampier,SR,RETURNING STARTER,"B12 Newcomer of the Year: 2,490 (64%, 24-5) + 835 rush (5.7, #2 rusher); PFF 83.1/391; 'most elusive pocket scrambler in America' (P6); battled injuries; new OC ran the similar Utah St offense"
QB,QB,2,Byrd Ficklin,SO,returner,"PFF 90.5/44; 301 pass (60%, 3-0) + 10 rush TD @ 8.4; started vs Colorado; package/tag-team role explicit in all three books. DEPARTED: Wilson -> Colorado"
RB,RB,1,Wayshawn Parker,JR,RETURNING STARTER,"981 @ 6.6 - #2 in P4 (min 100 att) behind Love; PFF 81.4; 'the bellcow' (PS)"
RB,RB,2,Daniel Bray / Steve Chavez-Soto,SO / SR,returner + San Jose State transfer,"Bray 272 @ 6.8 true-FR speed (67.7). Chavez-Soto 446 @ 5.1 'short-yardage bulldozer' (81.4/8gm). + 5* FR Bell (PS#28). DEPARTED: Rogers (70.1; 387)"
WRTE,WR,1,Braden Pegan,JR,Utah State transfer,"All-MW, 4* transfer grade: 60-926/929 @ 15.4 WITH new OC McGiven; PFF 73.7"
WRTE,WR,1,Kyri Shoels,SR,San Jose State transfer,"All-MW, 4* transfer grade: 768 @ 13.0; PFF 63.9"
WRTE,WR,2,Larry Simmons / Nate Johnson / Creed Whittemore / Tobias Merriweather,SR / SR / JR / JR,returners,"Simmons 280 @ 18.7 top returnee (66.8). N.Johnson 73.8/9gm. Whittemore slot + KR (70.2/5gm). Merriweather PS#17 ex-Cal ('25 roster). Scalley: 'best WR crew we've ever had at Utah.' DEPARTED: Davis (75.3; 725), TE Bentley (76.9; 620, #7 DC DEN), Buchanan (64.2; 427) -> Michigan"
WRTE,TE,1,Hunter Andrews,SO,returner (2025 injury),"back from the missed season; Athlon TE1; + Noah Bennee (Weber St) + Monney (OkSt) [cross-ref]"
OL,G,1,Solatoa Moea'i,SR,returner (6th lineman '25),"jumbo-package vet; PFF 62.2/336"
OL,G,1,Keith Olson,SR,returner (7th lineman '25),"jumbo-package vet; PFF 64.6/295"
OL,C,1,Alex Harrison / Isaiah Kema,SR / FR,returner (yr4 BONUS ELIGIBILITY - override) + Ohio State transfer,"Harrison 'should start at center' (P6; 68.2/143). Kema = Athlon C1 (68.2/31 OSU). Battle noted"
OL,T,1,Zereoue Williams / Cedric Jefferson / Kelvin Obot,SR / JR / FR,returner (yr4 bonus - override) + Montana State transfer + 5* FR,"Williams = LT1 on BOTH May prints (60.7/156; 21 gm L2Y; yr4-return override). Jefferson FCS champ RT (PS#39: 13 st, HM Big Sky). Obot 5* (PS#9 FR) 'could start right away' - PS starts him at LG. Alderman depth. DEPARTED: ALL FIVE STARTERS - consensus-AA LT Fano (83.9/822, 1st RD) + Lomu (68.4/823, 1st RD) [NFL declares], Kump (66.3/844), Togiai (60.4/896), Mokofisi (55.9/815) expired; + line coach Harding. '25: #2 Run Push, 266 (6.0) rush, 14 sacks, school records"
DL,ED,1,Lance Holtzclaw,SR,returner (moves up),"PFF 73.8/341 - best returning DL tape"
DL,ED,1,Kash Dillon,SO,returner (moves up),"PFF 61.9/341; + Day (NT starter: 75.4/654) joins the end rotation"
DL,DT,1,Jireh Moe,SO,San Jose State transfer,"PFF 83.1/213 - best incoming tape; w/ Samsula (61.8/344 Wyoming)"
DL,DT,2,Karson Kaufusi / Pupu Sepulona,SO / SO,returners (130+ snaps each),"Kaufusi 62.1/177, Sepulona 59.5/137. DEPARTED: both starting DEs + top 3 DTs - Daley (92.0/513, led P4 sacks/gm) -> Michigan, L.Fano (78.8/515) NFL declare, Lea'ea (66.1/623) -> Michigan, Vimahi (55.3/574) expired, Vakalahi -> PSU. '25 rush D: 181 (4.8) allowed = worst since 1996; 'as the DL goes, so goes the entire defense' (PS)"
LB,LB,1,Johnathan Hall,SR,RETURNING STARTER,"#1 tackler; PFF 70.1/642"
LB,LB,2,Cyrus Polu / Trey Reynolds / Elijah Elliss,SO / SR / SO,returners,"Polu 68.6/96 (Athlon LB2 starter), Reynolds 65.2/239, Elliss 68.0/114; NO transfers signed. DEPARTED: Barton (61.7/637, #3 tklr) + Damuni (78.7/313) + NB Snowden (69.3/632, #9 tklr) -> Michigan; Anae (77.8/57) expired. PS: 'less experienced and talented'"
DB,S,1,Jackson Bennee,JR,RETURNING STARTER,"'a play-maker': 4 INT, All-B12 hype; PFF 74.1/676"
DB,S,2,Rabbit Evans / Nate Ritchie,SR / SR,returners (BOTH back from 2025 injuries),"Evans = original starter, yr4 medical-case return (override; Athlon May S2 + P6 + PS). Ritchie 6th-yr vet (57.0/219). DEPARTED: Tao Johnson (68.9/802) -> UCLA"
DB,CB,1,Elijah Davis,SR,RETURNING STARTER,"'Scooby' - lone returning corner; PFF 58.2/627; Athlon bold"
DB,CB,1,Elijah Reed / James Chenault,SR / JR,Akron + South Florida transfers,"battle for the other corner: Reed 12 st, 47 tkl (77.3/580 - real tape); Chenault 66.2/434 [USF completed - 2026 departure from their side]. NB: JUCO Rock Caldwell (82.7/106) w/ Brown (Lamar). DEPARTED: Snowden (-> Michigan), Cotton (64.8/664) expired, Saunders -> Purdue, Stokes -> Colorado, Moa -> Michigan, Thompson/Moson out. PDR #3 -> #2 the last two years; 'remain one of the nation's best (as always)' (PS)"
ST,K,1,Dillon Curtis,SO,RETURNING,"'Legatron' (60+ leg): 10-14 (L54), 60 TB on 83 KO"
ST,P,1,Orion Phillips,JR,RETURNING,"42.9 avg (40.4 net). KR Whittemore, PR Carvalho (75-yd PR TD) also back - 'with everyone back will move up even more' (PS); '25 #29 STR / SPEC 81st pctile"
