nk,wr_ret_share,te_ret_share
airforce,0.1976,0.0
akron,0.5905,0.7462
alabama,0.4099,0.3479
appstate,0.1467,0.0187
arizona,0.432,0.5642
arizonastate,0.4047,0.0673
arkansas,0.2662,0.3349
arkansasstate,0.5847,0.3333
army,1.0,
auburn,0.0126,0.1581
ballstate,0.3657,0.1281
baylor,0.0383,0.0912
boisestate,0.1905,0.4269
bostoncollege,0.2057,0.3815
bowlinggreen,0.2423,0.0323
buffalo,0.0822,0.0
byu,0.6111,0.0252
california,0.2995,0.7573
centralmichigan,0.4299,0.0318
charlotte,0.0883,0.029
cincinnati,0.1096,0.1115
clemson,0.6758,0.6765
coastalcarolina,0.2735,0.0
colorado,0.346,1.0
coloradostate,0.4594,0.0436
delaware,0.4801,0.1523
duke,0.0148,0.7001
eastcarolina,0.2639,0.0
easternmichigan,0.3045,0.9726
florida,0.495,0.0
floridaatlantic,0.5411,0.0
floridainternational,0.507,0.264
floridastate,0.7333,0.022
fresnostate,0.4972,0.0202
georgia,0.204,0.5158
georgiasouthern,0.0757,0.0395
georgiastate,0.1777,0.5814
georgiatech,0.1253,0.0
hawaii,0.3916,1.0
houston,0.8189,0.0215
illinois,0.4205,0.1266
indiana,0.2523,0.0
iowa,0.3064,0.8947
iowastate,0.0557,0.0098
jacksonvillestate,0.5438,0.0
jamesmadison,0.0744,0.1064
kansas,0.3498,0.0827
kansasstate,0.4515,0.7601
kennesawstate,0.1463,0.0
kentstate,0.3874,0.7565
kentucky,0.1795,0.6615
liberty,0.2688,0.2358
louisiana,0.5128,0.7682
louisianatech,0.4115,1.0
louisville,0.0,0.4647
lsu,0.1975,0.6006
marshall,0.5074,1.0
maryland,0.1641,0.9007
massachusetts,0.1103,0.674
memphis,0.151,0.0254
miami,0.4711,0.573
miamioh,0.2401,0.0
michigan,0.5126,0.5712
michiganstate,0.0044,0.028
middletennessee,0.4426,0.0616
minnesota,0.5525,0.0576
mississippistate,0.4815,0.0958
missouri,0.3825,1.0
missouristate,0.2398,0.1012
navy,0.7434,0.1688
ncstate,0.3055,0.0373
nebraska,0.757,0.8613
nevada,0.2042,0.0671
newmexico,0.3362,0.345
newmexicostate,0.4588,0.0
northcarolina,0.5437,0.0852
northernillinois,0.2664,
northtexas,0.0364,0.0
northwestern,1.0,0.0
notredame,0.4338,0.1172
ohio,0.1018,0.0
ohiostate,0.5711,0.0402
oklahoma,0.5864,0.0
oklahomastate,0.0,0.0
olddominion,0.0574,0.0
olemiss,0.2062,0.2435
oregon,0.474,0.4653
oregonstate,0.166,0.0
pennstate,0.0877,0.2889
pittsburgh,0.2741,0.082
purdue,0.1668,0.5064
rice,0.1149,0.1786
rutgers,0.4803,0.0479
sandiegostate,0.9213,0.7885
sanjosestate,0.0833,0.0
smu,0.4123,0.0
southalabama,0.2606,0.2185
southcarolina,0.6041,0.129
southernmiss,0.0314,0.0158
southflorida,0.0829,0.6007
stanford,0.2864,0.2092
syracuse,0.1457,0.1038
tcu,0.3897,0.0632
temple,0.6121,0.949
tennessee,0.6269,0.5333
texas,0.5718,0.1063
texasam,0.6261,0.0
texasstate,0.94,0.6194
texastech,0.3558,0.8902
toledo,0.1257,0.1023
troy,0.0,0.1129
tulane,0.3412,0.0
tulsa,0.464,0.024
uab,0.1106,0.3433
ucf,0.5594,0.779
ucla,0.2275,0.0185
uconn,0.0,0.0
unlv,0.3305,0.5697
usc,0.2373,0.0799
utah,0.302,0.0937
utahstate,0.1664,0.0352
utep,0.0731,1.0
utsa,0.6235,0.0
vanderbilt,0.4597,0.0675
virginia,0.0407,0.2275
virginiatech,0.5023,1.0
wakeforest,0.2834,0.3613
washington,0.3396,0.8151
washingtonstate,0.0199,0.8982
westernkentucky,0.328,0.0214
westernmichigan,0.8423,0.1282
westvirginia,0.0,0.1213
wisconsin,0.1239,0.1551
wyoming,0.3638,0.1058
