player_id,name,season,pos,grp,team,conf,p4,grade,vol,games
60396,Bailey Zappe,2021,QB,QB,westernkentucky,Conference USA,0,87.8,730.0,14.0
124184,Will Rogers,2021,QB,QB,mississippistate,SEC,1,88.4,740.0,13.0
123943,Bryce Young,2021,QB,QB,alabama,SEC,1,92.1,624.0,15.0
83524,Carson Strong,2021,QB,QB,nevada,Mountain West,0,89.1,580.0,12.0
77618,Sam Hartman,2021,QB,QB,wakeforest,ACC,1,91.8,601.0,14.0
77696,Brennan Armstrong,2021,QB,QB,virginia,ACC,1,91.8,571.0,11.0
60515,Kenny Pickett,2021,QB,QB,pittsburgh,ACC,1,92.2,581.0,13.0
60596,Jake Haener,2021,QB,QB,fresnostate,Mountain West,0,78.9,550.0,13.0
97271,Taulia Tagovailoa,2021,QB,QB,maryland,Big Ten,1,90.8,519.0,13.0
77656,Tanner Mordecai,2021,QB,QB,smu,American Athletic,0,87.2,502.0,12.0
97784,Grant Wells,2021,QB,QB,marshall,Conference USA,0,74.9,475.0,13.0
129759,C.J. Stroud,2021,QB,QB,ohiostate,Big Ten,1,92.2,466.0,12.0
60516,Aidan O'Connell,2021,QB,QB,purdue,Big Ten,1,90.6,464.0,12.0
39990,Logan Bonner,2021,QB,QB,utahstate,Mountain West,0,81.1,473.0,14.0
51708,Sean Clifford,2021,QB,QB,pennstate,Big Ten,1,70.5,492.0,13.0
77628,Devin Leary,2021,QB,QB,ncstate,ACC,1,84.6,472.0,12.0
77652,Clayton Tune,2021,QB,QB,houston,American Athletic,0,90.8,503.0,14.0
60353,Jarret Doege,2021,QB,QB,westvirginia,Big 12,1,70.2,476.0,13.0
77651,Holton Ahlers,2021,QB,QB,eastcarolina,American Athletic,0,73.9,479.0,12.0
77642,Davis Brin,2021,QB,QB,tulsa,American Athletic,0,74.2,465.0,13.0
39879,Drew Plitt,2021,QB,QB,ballstate,Mid-American,0,66.6,466.0,13.0
77655,Ben Bryant,2021,QB,QB,easternmichigan,Mid-American,0,82.7,475.0,13.0
77672,Brock Purdy,2021,QB,QB,iowastate,Big 12,1,79.3,467.0,13.0
101284,Hank Bachmeier,2021,QB,QB,boisestate,Mountain West,0,83.7,448.0,12.0
60586,Frank Harris,2021,QB,QB,utsa,Conference USA,0,86.2,448.0,14.0
60350,Matt McDonald,2021,QB,QB,bowlinggreen,Mid-American,0,69.8,465.0,12.0
144267,Seth Henigan,2021,QB,QB,memphis,American Athletic,0,68.8,458.0,11.0
40316,Anthony Brown Jr.,2021,QB,QB,oregon,Pac-12,1,75.0,448.0,14.0
60363,Chase Brice,2021,QB,QB,appstate,Sun Belt,0,78.9,441.0,14.0
83517,Matt Corral,2021,QB,QB,olemiss,SEC,1,86.1,472.0,13.0
77660,Spencer Sanders,2021,QB,QB,oklahomastate,Big 12,1,84.5,452.0,13.0
60428,Levi Lewis,2021,QB,QB,louisiana,Sun Belt,0,78.5,446.0,14.0
101629,Payton Thorne,2021,QB,QB,michiganstate,Big Ten,1,77.6,430.0,13.0
55086,Desmond Ridder,2021,QB,QB,cincinnati,American Athletic,0,90.7,435.0,14.0
60613,Jack Coan,2021,QB,QB,notredame,FBS Independents,1,83.5,434.0,13.0
60552,Todd Centeio,2021,QB,QB,coloradostate,Mountain West,0,78.5,459.0,12.0
60418,Dustin Crum,2021,QB,QB,kentstate,Mid-American,0,91.2,462.0,14.0
99135,Connor Bazelak,2021,QB,QB,missouri,SEC,1,67.8,401.0,11.0
122162,DJ Uiagalelei,2021,QB,QB,clemson,ACC,1,66.3,410.0,13.0
124099,Max Johnson,2021,QB,QB,lsu,SEC,1,67.8,441.0,12.0
100570,Dylan Morris,2021,QB,QB,washington,Pac-12,1,68.0,397.0,11.0
77686,Kaleb Eleby,2021,QB,QB,westernmichigan,Mid-American,0,73.9,434.0,13.0
131928,Jayden de Laura,2021,QB,QB,washingtonstate,Pac-12,1,77.2,392.0,12.0
100827,Gavin Hardison,2021,QB,QB,utep,Conference USA,0,59.1,393.0,13.0
75886,Chevan Cordeiro,2021,QB,QB,hawaii,Mountain West,0,80.6,435.0,10.0
60446,N'Kosi Perry,2021,QB,QB,floridaatlantic,Conference USA,0,72.2,406.0,12.0
83542,Will Levis,2021,QB,QB,kentucky,SEC,1,90.6,412.0,13.0
97599,Sam Howell,2021,QB,QB,northcarolina,ACC,1,91.1,462.0,12.0
60356,Chase Garbers,2021,QB,QB,california,Pac-12,1,81.8,417.0,11.0
82111,Emory Jones,2021,QB,QB,florida,SEC,1,80.6,386.0,13.0
82068,Layne Hatcher,2021,QB,QB,arkansasstate,Sun Belt,0,69.9,389.0,11.0
60452,Rocky Lombardi,2021,QB,QB,northernillinois,Mid-American,0,71.7,367.0,13.0
60436,Malik Cunningham,2021,QB,QB,louisville,ACC,1,91.5,413.0,13.0
46500,Max Bortenschlager,2021,QB,QB,floridainternational,Conference USA,0,59.8,391.0,12.0
60361,Chris Reynolds,2021,QB,QB,charlotte,Conference USA,0,78.7,375.0,11.0
123229,Michael Pratt,2021,QB,QB,tulane,American Athletic,0,56.2,399.0,11.0
101620,Cade McNamara,2021,QB,QB,michigan,Big Ten,1,77.4,352.0,14.0
98006,Zach Calzada,2021,QB,QB,texasam,SEC,1,80.8,357.0,12.0
97790,Bo Nix,2021,QB,QB,auburn,SEC,1,78.5,357.0,10.0
77625,Gunnar Holmberg,2021,QB,QB,duke,ACC,1,72.2,361.0,11.0
122225,Tyler Van Dyke,2021,QB,QB,miami,ACC,1,75.5,370.0,10.0
97103,Daniel Richardson,2021,QB,QB,centralmichigan,Mid-American,0,73.9,339.0,13.0
77663,Cameron Rising,2021,QB,QB,utah,Pac-12,1,84.7,352.0,13.0
78493,Chance Nolan,2021,QB,QB,oregonstate,Pac-12,1,84.7,364.0,13.0
131770,Tanner McKee,2021,QB,QB,stanford,Pac-12,1,69.0,358.0,10.0
83522,Adrian Martinez,2021,QB,QB,nebraska,Big Ten,1,76.8,365.0,11.0
40788,Jake Bentley,2021,QB,QB,southalabama,Sun Belt,0,83.2,345.0,10.0
60593,Hendon Hooker,2021,QB,QB,tennessee,SEC,1,84.4,402.0,13.0
97993,Jayden Daniels,2021,QB,QB,arizonastate,Pac-12,1,83.2,385.0,13.0
55406,Noah Vedral,2021,QB,QB,rutgers,Big Ten,1,63.1,349.0,13.0
97404,Brett Gabbert,2021,QB,QB,miamioh,Mid-American,0,82.9,349.0,10.0
100580,Kedon Slovis,2021,QB,QB,usc,Pac-12,1,79.2,319.0,9.0
83528,Austin Aune,2021,QB,QB,northtexas,Conference USA,0,71.2,325.0,13.0
99129,KJ Jefferson,2021,QB,QB,arkansas,SEC,1,87.0,350.0,13.0
60387,Stetson Bennett,2021,QB,QB,georgia,SEC,1,84.0,320.0,14.0
82136,Spencer Petras,2021,QB,QB,iowa,Big Ten,1,73.9,319.0,12.0
97994,Graham Mertz,2021,QB,QB,wisconsin,Big Ten,1,65.5,308.0,13.0
83574,Dorian Thompson-Robinson,2021,QB,QB,ucla,Pac-12,1,85.2,367.0,11.0
70961,Mikey Keene,2021,QB,QB,ucf,American Athletic,0,63.4,300.0,11.0
77636,Gerry Bohanon,2021,QB,QB,baylor,Big 12,1,80.3,296.0,12.0
131592,Will Plummer,2021,QB,QB,arizona,Pac-12,1,64.2,321.0,10.0
144488,Timmy McClain,2021,QB,QB,southflorida,American Athletic,0,54.5,324.0,11.0
77677,Casey Thompson,2021,QB,QB,texas,Big 12,1,78.3,301.0,12.0
55029,Kyle Vantrease,2021,QB,QB,buffalo,Mid-American,0,63.2,277.0,10.0
97998,Kurtis Rourke,2021,QB,QB,ohio,Mid-American,0,77.1,302.0,10.0
131687,Brendon Lewis,2021,QB,QB,colorado,Pac-12,1,69.7,315.0,12.0
60513,Braxton Burmeister,2021,QB,QB,virginiatech,ACC,1,78.1,330.0,12.0
55239,Tanner Morgan,2021,QB,QB,minnesota,Big Ten,1,74.0,300.0,13.0
97804,Dequan Finn,2021,QB,QB,toledo,Mid-American,0,72.4,305.0,13.0
98362,Hayden Wolff,2021,QB,QB,olddominion,Conference USA,0,78.0,266.0,10.0
40326,Nick Starkel,2021,QB,QB,sanjosestate,Mountain West,0,64.7,261.0,7.0
40056,Austin Kendall,2021,QB,QB,louisianatech,Conference USA,0,70.2,290.0,7.0
77641,Brady McBride,2021,QB,QB,texasstate,Sun Belt,0,63.9,296.0,7.0
98002,Grayson McCall,2021,QB,QB,coastalcarolina,Sun Belt,0,91.0,294.0,11.0
60417,Skylar Thompson,2021,QB,QB,kansasstate,Big 12,1,81.0,266.0,10.0
83571,Dylan Hopkins,2021,QB,QB,uab,Conference USA,0,74.7,293.0,13.0
98212,Garrett Shrader,2021,QB,QB,syracuse,ACC,1,73.9,308.0,12.0
77650,Steven Krajewski,2021,QB,QB,uconn,FBS Independents,1,55.1,260.0,9.0
78496,Devin Grainger,2021,QB,QB,georgiastate,Sun Belt,0,82.0,274.0,12.0
99470,Max Duggan,2021,QB,QB,tcu,Big 12,1,76.4,282.0,10.0
83570,Gunnar Watson,2021,QB,QB,troy,Sun Belt,0,74.8,247.0,8.0
146195,Cameron Friel,2021,QB,QB,unlv,Mountain West,0,56.7,265.0,9.0
124359,Ken Seals,2021,QB,QB,vanderbilt,SEC,1,55.0,243.0,8.0
40551,Lucas Johnson,2021,QB,QB,sandiegostate,Mountain West,0,71.7,249.0,12.0
147415,Brady Olson,2021,QB,QB,massachusetts,FBS Independents,1,36.8,236.0,8.0
144622,Caleb Williams,2021,QB,QB,oklahoma,Big 12,1,91.3,251.0,10.0
40166,Jake Constantine,2021,QB,QB,rice,Conference USA,0,65.2,233.0,8.0
99130,D'Wan Mathis,2021,QB,QB,temple,American Athletic,0,52.2,227.0,7.0
77615,Jordan Travis,2021,QB,QB,floridastate,ACC,1,85.2,271.0,10.0
60351,Dennis Grosel,2021,QB,QB,bostoncollege,ACC,1,70.4,219.0,8.0
146409,Jaxson Dart,2021,QB,QB,usc,Pac-12,1,70.9,200.0,6.0
97408,Spencer Rattler,2021,QB,QB,oklahoma,Big 12,1,86.1,219.0,9.0
60459,Taylor Powell,2021,QB,QB,troy,Sun Belt,0,76.9,206.0,6.0
122496,Jeff Sims,2021,QB,QB,georgiatech,ACC,1,69.0,216.0,7.0
60382,James Blackman,2021,QB,QB,arkansasstate,Sun Belt,0,71.0,214.0,6.0
83529,Jason Bean,2021,QB,QB,kansas,Big 12,1,59.5,216.0,9.0
75888,Sean Chambers,2021,QB,QB,wyoming,Mountain West,0,58.0,212.0,8.0
78533,Chase Cunningham,2021,QB,QB,middletennessee,Conference USA,0,73.7,199.0,8.0
71295,Ryan Hilinski,2021,QB,QB,northwestern,Big Ten,1,49.0,188.0,9.0
