player_id,name,grp,season_t,team_t,conf_t,p4_t,grade_t,vol_t,team_t1,conf_t1,p4_t1,grade_t1,vol_t1,moved,jump,stars
124184,Will Rogers,QB,2021,mississippistate,SEC,1,88.4,740.0,mississippistate,SEC,1,72.8,655.0,0,stay,
123943,Bryce Young,QB,2021,alabama,SEC,1,92.1,624.0,alabama,SEC,1,91.5,429.0,0,stay,
77618,Sam Hartman,QB,2021,wakeforest,ACC,1,91.8,601.0,wakeforest,ACC,1,88.4,504.0,0,stay,
77696,Brennan Armstrong,QB,2021,virginia,ACC,1,91.8,571.0,virginia,ACC,1,58.3,411.0,0,stay,
60596,Jake Haener,QB,2021,fresnostate,Mountain West,0,78.9,550.0,fresnostate,Mountain West,0,87.9,393.0,0,stay,
97271,Taulia Tagovailoa,QB,2021,maryland,Big Ten,1,90.8,519.0,maryland,Big Ten,1,79.9,451.0,0,stay,
77656,Tanner Mordecai,QB,2021,smu,American Athletic,0,87.2,502.0,smu,American Athletic,0,77.6,484.0,0,stay,
97784,Grant Wells,QB,2021,marshall,Conference USA,0,74.9,475.0,virginiatech,ACC,1,66.1,384.0,1,G5>P4,3
129759,C.J. Stroud,QB,2021,ohiostate,Big Ten,1,92.2,466.0,ohiostate,Big Ten,1,89.1,423.0,0,stay,
60516,Aidan O'Connell,QB,2021,purdue,Big Ten,1,90.6,464.0,purdue,Big Ten,1,67.2,533.0,0,stay,
39990,Logan Bonner,QB,2021,utahstate,Mountain West,0,81.1,473.0,utahstate,Mountain West,0,59.1,115.0,0,stay,
51708,Sean Clifford,QB,2021,pennstate,Big Ten,1,70.5,492.0,pennstate,Big Ten,1,81.3,393.0,0,stay,
77628,Devin Leary,QB,2021,ncstate,ACC,1,84.6,472.0,ncstate,ACC,1,68.4,208.0,0,stay,
77652,Clayton Tune,QB,2021,houston,American Athletic,0,90.8,503.0,houston,American Athletic,0,92.0,579.0,0,stay,
60353,Jarret Doege,QB,2021,westvirginia,Big 12,1,70.2,476.0,troy,Sun Belt,0,72.9,76.0,1,P4>G5,3
77651,Holton Ahlers,QB,2021,eastcarolina,American Athletic,0,73.9,479.0,eastcarolina,American Athletic,0,85.4,509.0,0,stay,
77642,Davis Brin,QB,2021,tulsa,American Athletic,0,74.2,465.0,tulsa,American Athletic,0,71.4,294.0,0,stay,
77655,Ben Bryant,QB,2021,easternmichigan,Mid-American,0,82.7,475.0,cincinnati,American Athletic,0,81.6,386.0,1,within,3
101284,Hank Bachmeier,QB,2021,boisestate,Mountain West,0,83.7,448.0,boisestate,Mountain West,0,48.5,106.0,0,stay,
60586,Frank Harris,QB,2021,utsa,Conference USA,0,86.2,448.0,utsa,Conference USA,0,90.0,551.0,0,stay,
60350,Matt McDonald,QB,2021,bowlinggreen,Mid-American,0,69.8,465.0,bowlinggreen,Mid-American,0,73.9,439.0,0,stay,
144267,Seth Henigan,QB,2021,memphis,American Athletic,0,68.8,458.0,memphis,American Athletic,0,80.5,546.0,0,stay,
60363,Chase Brice,QB,2021,appstate,Sun Belt,0,78.9,441.0,appstate,Sun Belt,0,74.6,402.0,0,stay,
77660,Spencer Sanders,QB,2021,oklahomastate,Big 12,1,84.5,452.0,oklahomastate,Big 12,1,69.3,421.0,0,stay,
