team,player,pos,slot,fcs_grade,fcs_games,origin_ctr,proj_fbs,proj_sd
TCU,Jaden Craig,QB,1,91.3,11,2.8,73.4,2.4
Oregon_State,Braden Atkinson,QB,2,90.8,11,3.0,73.3,2.4
Minnesota,Mekhai Smith,S,2,89.8,13,5.0,72.2,0.8
Toledo,Andrew Zock,ED,1,90.5,13,3.0,72.0,0.8
Miami_(OH),Rodney Nelson,HB,1,90.3,11,3.2,71.7,0.8
Wyoming,Thaddeus Gianaris,ED,3,89.2,10,2.9,71.5,0.8
North_Dakota_State,Keenan Wilson,DI,1,88.2,13,5.3,71.4,0.8
Syracuse,Ahmad Miller,HB,2,89.9,12,2.3,71.4,0.8
Washington,DeSean Watts,DI,2,88.9,11,1.7,71.3,0.7
Arkansas,Ja'Quavion Smith,LB,2,88.2,12,-0.5,71.2,0.6
Rutgers,Sean Allison,LB,2,87.8,12,1.5,71.2,0.6
Iowa_State,Caden Crawford,ED,1,88.1,15,2.7,71.1,0.7
Ohio,Matt Vezza,QB,1,84.9,13,-1.3,70.9,2.3
Wyoming,Tyler Hughes,QB,1,83.9,12,1.4,70.8,2.3
Washington_State,Caden Pinnick,QB,1,83.6,13,1.8,70.7,2.3
Cincinnati,Larenzo Fenner,WR,1,87.3,15,2.7,70.6,0.7
App_State,Chris Lofton,WR,1,87.3,12,1.8,70.5,0.7
Michigan_State,Tyran Chappell,CB,2,86.2,11,-0.4,70.5,0.5
Syracuse,Keyshawn Johnson,ED,1,86.0,12,0.2,70.2,0.6
Wyoming,Logan Mackey,CB,1,85.7,10,-3.2,70.1,0.5
Georgia_Southern,Rashon Myles Jr.,LB,2,84.2,14,1.5,70.0,0.5
Texas_State,Phillip Bradford,ED,3,85.2,12,1.6,70.0,0.6
Coastal_Carolina,Jalen Lee,S,3,83.5,13,3.3,69.9,0.6
Georgia_Tech,Chris Corbo,TE,5,85.3,10,2.9,69.9,0.7
Rutgers,Mikey Munn,CB,2,83.3,15,2.7,69.8,0.5
Iowa,Evan James,WR,2,85.3,9,0.3,69.7,0.6
Middle_Tennessee,Ashton Taylor,LB,2,82.5,11,2.3,69.5,0.5
Wyoming,Markell Holman,HB,3,85.5,12,-3.1,69.5,0.5
