year,team,sp_pre,sp_final,miss,D,D_pts,D_t,D_r,p4,n_units
2022,kentstate,-11.1,-13.1,-2.0,-0.5823153438453265,-7.403765366521039,-0.6710286022723556,-0.5136009779326568,0,7
2022,mississippistate,14.7,15.4,0.7000000000000011,0.6491124691108949,8.253047886467387,0.5177676247668073,0.6770582825549545,1,7
2022,alabama,32.2,30.3,-1.9000000000000021,-0.6315795008884515,-8.030127463247146,-0.7109020950322773,-0.6290789371350705,1,7
2022,rice,-16.7,-15.2,1.5,0.07021260918592742,0.8927082030006146,0.37167259847134493,-0.04258277500548302,0,7
2022,temple,-19.4,-12.9,6.499999999999998,0.9291777759656235,11.813898276502611,1.1263774646537783,0.8519059550370501,0,7
2022,marshall,1.0,3.0,2.0,-0.27893175519947233,-3.5464380092263514,-0.4767463391005776,-0.18371908601463746,0,7
2022,michigan,21.4,32.0,10.600000000000001,-0.6922782604966019,-8.801873183031887,-0.6814557579716016,-0.7140131900826686,1,7
2022,akron,-22.0,-23.4,-1.3999999999999986,-0.00976308385005864,-0.12413133681516879,-0.019209042925704356,0.028125880369441747,0,7
2022,indiana,-5.0,-7.1,-2.0999999999999996,0.8395963690906721,10.674928258427384,0.8805020839449497,0.8142172098709174,1,7
2022,westernkentucky,1.3,1.7,0.3999999999999999,-0.9831393616000946,-12.4999851589207,-0.9270708397079437,-0.9909268017018404,0,6
2022,cincinnati,16.1,13.1,-3.0000000000000018,-1.2787286292936577,-16.258212734401205,-1.6368089259239922,-1.1140339423113217,0,7
2022,washingtonstate,0.4,9.5,9.1,0.29637196041328767,3.768179010406913,0.5544969791121841,0.17430767374054335,1,7
2022,navy,-10.8,-7.2,3.6000000000000005,0.26401494540731263,3.356780359148168,0.38893443279427686,0.21943565323771963,0,7
2022,syracuse,1.8,2.5,0.7,0.5882596653380512,7.4793435941265125,0.1807004503884348,0.7617774518095289,1,7
2022,fresnostate,7.9,3.3,-4.6000000000000005,-1.0704127464165407,-13.609610159794274,-1.3693555266941193,-0.9245781181954599,0,7
2022,eastcarolina,-0.7,1.1,1.8,-0.4935040477429965,-6.274586812000708,-0.7269933268453466,-0.37562594134464156,0,7
2022,sanjosestate,-7.6,-4.3,3.3,-0.015195089496264913,-0.1931957976767929,0.2180351261288116,-0.10856640384125216,0,7
2022,centralmichigan,-4.0,-14.0,-10.0,-0.8865004043516496,-11.271282923448105,-0.7575655726312585,-0.9215451822577816,0,7
2022,olemiss,17.9,16.2,-1.6999999999999993,0.1940516134947523,2.4672415564780152,0.11812970553137925,0.20052367898923817,1,7
2022,byu,13.9,-1.4,-15.3,-2.2286723151669827,-28.336136209971514,-2.739084727211222,-1.9739163733520904,1,5
2022,arizona,-10.5,-3.2,7.3,1.5039504190344264,19.121763050038265,1.4997282706542343,1.4948349582222114,1,7
2022,northernillinois,-4.3,-18.8,-14.5,-1.1322492852160928,-14.395822010793111,-0.9116510864882743,-1.2040460431844693,0,7
2022,duke,-16.0,5.0,21.0,1.6020955085838293,20.369614789787345,1.9914236039266953,1.4200188887095724,1,7
2022,usc,7.2,18.9,11.7,0.7693945747959042,9.78235755981757,0.6939708997124242,0.7805529107239361,1,7
2022,kansas,-10.4,2.9,13.3,1.3825912588204048,17.578759320530988,1.4632708198520334,1.336925398686602,1,7
2022,georgiastate,-1.5,-3.3,-1.7999999999999998,-0.27779975221304143,-3.532045318746326,-0.059889241760077566,-0.36820568960721667,0,7
2022,coastalcarolina,-0.3,0.6,0.8999999999999999,-0.14991322974870958,-1.906050373097541,-0.49306711007812415,0.01095974330774456,0,7
2022,minnesota,12.4,16.0,3.5999999999999996,0.08262950515135636,1.05058105536522,0.15768050949267698,0.03042225508854124,1,7
2022,southflorida,-5.7,-17.0,-11.3,0.24869706283674003,3.1620233264456856,-0.025688834976423047,0.37875056218362424,0,7
2022,utsa,5.8,7.2,1.4000000000000004,-1.2177999713593999,-15.483544005146346,-1.3244572280246922,-1.15372027371708,0,7
2022,purdue,9.9,7.7,-2.2,-0.06486875284623539,-0.8247645039213322,-0.32056106110553323,0.039819739457176206,1,7
2022,westernmichigan,-7.7,-17.3,-9.600000000000001,-0.6849185797599111,-8.708299572233411,-0.42275979332201863,-0.7789528164483264,0,7
2022,utahstate,-1.8,-13.3,-11.5,-0.6516727064320537,-8.285599658645152,-0.8137328439329793,-0.5617916024069487,0,7
2022,ohiostate,29.7,31.1,1.4000000000000021,-1.0284076110568894,-13.075541858694482,-0.9243242600063339,-1.0984363521349643,1,7
2022,georgiasouthern,-14.0,-6.4,7.6,0.18319769834608135,2.3292410007340587,0.08374880972583032,0.24688072900979996,0,7
2022,wakeforest,7.0,8.2,1.1999999999999993,0.5114604266574794,6.502890630061338,0.3302855130384433,0.5758040924371952,1,7
2022,texasstate,-18.8,-11.5,7.300000000000001,1.1164381544481214,14.19479364425133,1.5051216158889003,0.9476816228134172,0,7
2022,missouri,5.9,8.1,2.1999999999999993,0.9910502370615002,12.600566856413412,1.1657619894868527,0.8861503188825071,1,7
2022,jamesmadison,-7.5,6.5,14.0,0.3409686253993506,4.335196945235463,-0.029687848783146786,0.5157516059335209,0,5
2022,tulsa,-4.3,-6.1,-1.7999999999999998,0.04108012895839663,0.5223074391719654,0.10201496743040195,0.02030445530719105,0,7
2022,memphis,1.8,6.8,5.0,-0.32481535204488055,-4.129818455587526,-0.5545308043007329,-0.21539671997742427,0,7
2022,auburn,14.4,5.1,-9.3,0.5506143180712741,7.000707196768497,0.556907238492454,0.5181644600723181,1,7
2022,oregon,14.3,18.9,4.599999999999998,-0.13165771300036722,-1.67394320972315,0.19579519601828999,-0.2975544502642552,1,7
2022,miamioh,-4.4,-12.7,-8.299999999999999,-0.7932115662872175,-10.085175300414406,-0.8436513071670013,-0.7477510869791495,0,7
2022,ballstate,-11.4,-14.9,-3.5,-0.5644678325773826,-7.176845730621328,-0.484729275995498,-0.5723219279093548,0,7
2022,easternmichigan,-8.4,-7.1,1.3000000000000007,-0.5894950779932597,-7.495051072087843,-0.721817619057938,-0.5047174577042168,0,7
2022,wisconsin,15.6,8.3,-7.299999999999999,-0.4082123307050146,-5.190157443392733,0.06767933316569552,-0.6384574552957715,1,7
2022,arkansasstate,-17.0,-13.0,4.0,0.5912166470773111,7.516939716608875,0.39413335503043134,0.6961647405539646,0,7
2022,nebraska,8.3,-1.2,-9.5,-0.1424016443778252,-1.810545392498246,-0.2821979773246531,-0.086712565837051,1,7
2022,ucf,8.5,10.3,1.8000000000000007,-0.5994379713051476,-7.621468570653917,-0.49467066338394283,-0.6469233158094156,0,7
2022,oregonstate,3.8,14.3,10.5,0.7533949971079855,9.578933211795857,0.5488386973226512,0.8285611334562063,1,7
2022,baylor,12.9,11.7,-1.200000000000001,0.19350476822995155,2.4602887703713634,0.4670224262483651,0.0481891911773602,1,7
2022,newmexicostate,-27.4,-15.4,11.999999999999998,0.7243263958890584,9.209344628509154,0.3913249638736398,0.9037794081274939,1,6
2022,northwestern,-5.6,-13.4,-7.800000000000001,0.804157688839441,10.224348214036572,1.2797642156424849,0.5824398126593864,1,7
2022,illinois,-2.4,15.9,18.3,0.6175799724833142,7.852132456505379,0.955124422849887,0.45750257326513244,1,7
2022,connecticut,-24.9,-14.6,10.299999999999999,0.5351018174867332,6.803475721091518,0.4154931577332621,0.6172878048034895,1,7
