team,N,Q,clust_max
akron,3,16.51,1
alabama,2,12.52,1
appalachianstate,12,82.18,2
arizona,4,36.47,1
arizonastate,5,37.35,1
arkansas,2,16.91,1
arkansasstate,9,33.31,2
auburn,4,6.6,1
ballstate,5,17.76,2
baylor,2,6.51,1
boisestate,3,15.63,1
bostoncollege,6,31.98,1
bowlinggreen,8,36.86,2
buffalo,7,31.21,1
california,3,11.06,1
centralmichigan,8,36.78,2
charlotte,4,16.72,1
cincinnati,5,55.09,1
clemson,2,16.57,1
coastalcarolina,19,87.65,4
colorado,11,74.8,4
coloradostate,4,31.19,1
connecticut,3,20.2,1
delaware,1,9.75,1
duke,7,48.65,1
eastcarolina,4,16.99,1
easternmichigan,3,13.52,1
florida,3,2.49,1
floridaatlantic,4,18.69,1
floridainternational,3,11.95,2
floridastate,3,23.44,1
fresnostate,4,20.61,2
georgia,1,3.28,1
georgiasouthern,4,35.35,2
georgiastate,9,33.39,1
georgiatech,3,35.12,1
hawaii,3,14.66,2
houston,2,0.0,1
illinois,4,21.01,1
indiana,1,7.54,1
iowa,10,49.4,2
iowastate,11,81.23,3
jacksonvillestate,6,27.36,2
jamesmadison,10,55.06,2
kansasstate,3,15.49,1
kennesawstate,9,43.33,2
kentstate,3,15.59,1
kentucky,3,23.93,1
liberty,2,5.88,1
louisiana,3,19.3,1
louisianamonroe,3,6.5,1
louisianatech,4,22.02,1
louisville,8,34.35,3
lsu,5,20.76,1
marshall,5,28.37,1
maryland,2,15.65,1
massachusetts,10,57.52,2
memphis,6,33.47,1
miamifl,1,2.77,1
miamioh,2,13.48,1
michigan,1,10.19,1
michiganstate,6,40.4,1
middletennessee,4,28.53,1
minnesota,2,13.85,1
mississippistate,2,11.08,1
missouri,4,19.11,1
missouristate,3,8.48,1
ncstate,3,15.38,1
nebraska,1,6.59,1
nevada,5,24.56,1
newmexico,3,9.2,1
newmexicostate,13,66.45,1
northcarolina,5,35.67,2
northdakotastate,1,0.0,1
northernillinois,2,11.16,1
northtexas,7,64.11,1
northwestern,2,12.04,1
ohio,7,43.18,1
ohiostate,1,3.08,1
oklahoma,2,8.38,1
oklahomastate,7,15.51,1
olddominion,2,6.39,1
olemiss,1,13.65,1
oregon,1,8.37,1
oregonstate,11,64.77,2
pennstate,2,6.15,1
pittsburgh,4,12.18,1
purdue,5,36.79,1
rice,5,34.36,1
rutgers,6,51.19,1
sacramentostate,6,30.35,2
samhouston,5,13.94,1
sandiegostate,10,73.01,3
sanjosestate,5,16.43,1
southalabama,6,30.78,1
southcarolina,4,12.11,1
southernmiss,11,54.15,1
southflorida,7,36.04,2
stanford,3,22.5,1
syracuse,4,25.62,1
tcu,1,15.24,1
temple,3,16.63,1
tennessee,3,4.84,1
texas,1,4.15,1
texasam,1,5.74,1
texasstate,3,20.34,1
texastech,1,13.25,1
toledo,21,122.62,11
troy,2,14.66,1
tulane,2,12.26,1
tulsa,5,17.39,2
uab,8,58.18,1
ucf,8,59.38,1
ucla,15,21.19,10
unlv,2,11.0,1
usc,1,9.2,1
utah,3,20.84,1
utahstate,6,43.75,1
utep,11,57.35,1
utsa,3,27.76,1
vanderbilt,3,5.45,1
virginia,3,23.04,1
wakeforest,7,53.07,2
washington,4,13.26,1
washingtonstate,6,57.69,2
westernkentucky,5,12.82,1
westernmichigan,3,17.12,1
westvirginia,5,6.45,3
wisconsin,2,4.73,1
wyoming,12,81.54,1
