team,nk,coach,pm,n_prior,new_hc
Ohio State,ohiostate,Ryan Day,0.96,5,N
Oregon,oregon,Dan Lanning,3.17,4,N
Notre Dame,notredame,Marcus Freeman,-1.9,4,N
Georgia,georgia,Kirby Smart,0.68,5,N
Indiana,indiana,Curt Cignetti,19.5,3,N
Texas,texas,Steve Sarkisian,-1.8,5,N
Texas Tech,texastech,Joey McGuire,2.42,4,N
Miami,miami,Mario Cristobal,,0,N
Ole Miss,olemiss,,,0,Y
LSU,lsu,,,0,Y
Oklahoma,oklahoma,Brent Venables,-5.1,4,N
Texas A&M,texasam,Mike Elko,7.07,3,N
USC,usc,Lincoln Riley,0.48,4,N
Michigan,michigan,,,0,Y
Alabama,alabama,Kalen DeBoer,-0.55,4,N
Penn State,pennstate,,,0,Y
BYU,byu,Kalani Sitake,-0.86,5,N
Tennessee,tennessee,Josh Heupel,1.86,5,N
Washington,washington,Jedd Fisch,3.34,5,N
Missouri,missouri,Eli Drinkwitz,0.26,5,N
Florida,florida,,,0,Y
Auburn,auburn,,,0,Y
Utah,utah,,,0,Y
Iowa,iowa,Kirk Ferentz,-1.12,5,N
Louisville,louisville,Jeff Brohm,0.58,5,N
South Carolina,southcarolina,Shane Beamer,-0.2,5,N
SMU,smu,Rhett Lashlee,1.0,4,N
Clemson,clemson,Dabo Swinney,-8.46,5,N
Vanderbilt,vanderbilt,Clark Lea,3.3,5,N
Arizona,arizona,Brent Brennan,0.98,5,N
TCU,tcu,Sonny Dykes,2.0,4,N
Kansas State,kansasstate,,,0,Y
Houston,houston,Willie Fritz,4.2,3,N
Kentucky,kentucky,,,0,Y
Virginia,virginia,Tony Elliott,-1.0,4,N
Pittsburgh,pittsburgh,Pat Narduzzi,-0.98,5,N
Virginia Tech,virginiatech,,,0,Y
Mississippi State,mississippistate,Jeff Lebby,-0.9,2,N
Nebraska,nebraska,Matt Rhule,-3.13,3,N
Florida State,floridastate,Mike Norvell,-3.72,5,N
Illinois,illinois,Bret Bielema,4.38,5,N
Minnesota,minnesota,P.J. Fleck,-1.86,5,N
