team,line
Alabama,9.5
Arizona,8.0
Arizona State,4.5
Arkansas,4.5
Auburn,7.5
Baylor,5.5
Boston College,5.0
BYU,4.5
California,6.0
Cincinnati,5.0
Clemson,9.5
Colorado,5.5
Duke,5.5
Florida,4.5
Florida State,9.5
Georgia,10.5
Georgia Tech,5.0
Houston,3.5
Illinois,5.5
Indiana,5.5
Iowa,8.0
Iowa State,7.5
Kansas,8.0
Kansas State,9.5
Kentucky,6.5
Louisville,8.5
LSU,9.0
Maryland,6.5
Miami,9.0
Michigan,9.0
Michigan State,5.0
Minnesota,5.0
Mississippi State,4.0
Missouri,9.5
Nebraska,7.5
North Carolina,7.5
NC State,8.5
Northwestern,4.5
Notre Dame,10.0
Ohio State,10.5
Oklahoma,7.5
Oklahoma State,8.0
Ole Miss,9.5
Oregon,10.5
Oregon State,7.5
Penn State,10.5
Pittsburgh,5.5
Purdue,4.5
Rutgers,4.5
South Carolina,5.5
Stanford,3.5
Syracuse,7.0
TCU,7.5
Tennessee,8.5
Texas,10.5
Texas A&M,8.5
Texas Tech,7.5
UCF,7.5
UCLA,5.0
USC,7.0
Utah,9.5
Vanderbilt,3.0
Virginia,4.5
Virginia Tech,8.5
Wake Forest,4.5
Washington,6.5
Washington State,7.5
West Virginia,6.5
Wisconsin,7.0
