team,line
Air Force,6.5
Alabama,11.5
Appalachian State,9.0
Arizona,2.5
Arizona State,9.0
Arkansas,6.0
Army,8.0
Auburn,7.0
Baylor,5.5
Boise State,9.0
Boston College,7.0
BYU,6.5
California,6.0
Cincinnati,10.0
Clemson,11.5
Coastal Carolina,10.0
Colorado,4.5
Duke,3.5
Florida,9.0
Florida State,5.5
Fresno State,6.0
Georgia,10.5
Georgia Tech,5.0
Houston,8.0
Illinois,3.5
Indiana,8.0
Iowa,8.5
Iowa State,9.5
Kansas,1.0
Kansas State,5.5
Kentucky,7.0
Liberty,9.0
Louisiana,9.5
Louisville,7.0
LSU,8.5
Marshall,8.0
Maryland,6.0
Memphis,8.0
Miami,9.5
Michigan,7.5
Michigan State,4.5
Minnesota,7.0
Mississippi State,6.0
Missouri,7.0
NC State,6.0
Nebraska,6.0
North Carolina,10.0
Northwestern,6.0
Notre Dame,9.0
Ohio State,11.0
Oklahoma,11.0
Oklahoma State,7.5
Ole Miss,7.5
Oregon,9.0
Oregon State,4.5
Penn State,9.0
Pittsburgh,7.0
Purdue,5.0
San Diego State,6.5
SMU,6.0
South Carolina,3.5
Stanford,4.0
Syracuse,3.0
TCU,7.5
Tennessee,6.0
Texas,8.0
Texas A&M,9.5
Texas Tech,4.5
UCF,9.5
UCLA,7.0
USC,8.5
Utah,8.5
Vanderbilt,3.0
Virginia,6.0
Virginia Tech,7.0
Wake Forest,6.5
Washington,9.0
Washington State,6.0
West Virginia,6.5
Wisconsin,9.5
