team,line
Air Force,8.5
Alabama,10.5
Appalachian State,8.5
Arizona,2.5
Arizona State,6.5
Arkansas,7.5
Army,8.0
Auburn,6.5
Baylor,7.5
Boise State,9.5
Boston College,6.5
BYU,8.5
California,5.5
Cincinnati,9.0
Clemson,10.5
Coastal Carolina,8.0
Colorado,3.5
Duke,3.0
Florida,7.0
Florida State,6.5
Fresno State,8.5
Georgia,10.5
Georgia Tech,3.5
Houston,9.0
Illinois,4.5
Indiana,4.0
Iowa,7.5
Iowa State,6.5
Kansas,2.5
Kansas State,6.5
Kentucky,7.5
Liberty,6.5
Louisiana,8.5
Louisville,6.5
LSU,7.0
Marshall,6.5
Maryland,6.0
Memphis,7.5
Miami,8.5
Michigan,9.5
Michigan State,7.5
Minnesota,7.5
Mississippi State,6.5
Missouri,5.5
NC State,8.5
Nebraska,7.5
North Carolina,7.5
Northwestern,4.0
Notre Dame,8.5
Ohio State,10.5
Oklahoma,9.5
Oklahoma State,8.5
Ole Miss,7.5
Oregon,8.5
Oregon State,6.5
Penn State,8.5
Pittsburgh,8.5
Purdue,7.5
Rutgers,4.0
SMU,7.0
South Carolina,6.0
Stanford,4.5
Syracuse,5.0
TCU,6.5
Tennessee,7.5
Texas,8.0
Texas A&M,8.5
Texas Tech,5.5
UCF,8.5
UCLA,8.5
USC,9.5
Utah,9.0
Vanderbilt,2.5
Virginia,7.5
Virginia Tech,6.5
Wake Forest,8.5
Washington,7.5
Washington State,5.5
West Virginia,5.5
Wisconsin,8.5
