away,home,bucket,books,posted,ours,edge,value_side,value_number,team_read,opp_other_games,identified
East Carolina,Alabama,Week 1,8,-28.5,-19.31,9.19,East Carolina,28.5,7.54,3,yes
Ohio State,Texas,Game of the Year,8,-1.5,5.16,6.66,Ohio State,1.5,3.86,2,yes
North Texas,Indiana,Week 1,8,-40.5,-34.84,5.66,North Texas,40.5,5.49,2,yes
Coastal Carolina,West Virginia,Week 1,8,-21.0,-15.7,5.3,Coastal Carolina,21.0,5.3,0,no
Ohio,Nebraska,Week 1,8,-24.0,-19.63,4.37,Ohio,24.0,4.37,0,no
Oklahoma State,Tulsa,Week 1,8,13.5,8.08,4.22,Tulsa,13.5,2.86,1,partial
San José State,USC,Week 0,8,-38.5,-34.35,4.15,San José State,38.5,3.47,2,yes
Liberty,James Madison,Week 1,8,-6.5,-11.73,4.03,James Madison,-6.5,5.23,0,no
Jacksonville State,North Dakota State,Week 0,8,-7.5,-12.69,3.99,North Dakota State,-7.5,5.19,0,no
Memphis,UNLV,Week 0,8,-5.5,-1.53,3.97,Memphis,5.5,5.02,1,partial
Ball State,Ohio State,Week 1,8,-50.5,-55.47,3.77,Ohio State,-50.5,4.97,0,no
Arkansas,Utah,Game of the Year,2,-7.5,-12.43,3.73,Utah,-7.5,4.93,0,no
New Mexico State,Florida State,Week 0,8,-30.5,-26.89,3.61,New Mexico State,30.5,3.86,1,partial
Missouri State,Texas A&M,Week 1,8,-39.0,-35.73,3.27,Missouri State,39.0,5.04,1,partial
Arkansas State,Memphis,Week 1,8,-10.5,-14.95,3.25,Memphis,-10.5,4.45,0,no
Texas State,Texas,Week 1,8,-30.5,-27.61,2.89,Texas State,30.5,-1.8,2,yes
Texas,Oklahoma,Game of the Year,1,6.5,3.79,2.71,Oklahoma,6.5,-2.07,2,yes
BYU,Utah,Game of the Year,1,-3.0,-0.37,2.63,BYU,3.0,7.56,1,partial
Wisconsin,Notre Dame,Week 1,8,-20.5,-23.07,2.57,Notre Dame,-20.5,2.57,0,no
Oregon,Oklahoma State,Game of the Year,5,17.5,20.06,2.56,Oregon,-17.5,-2.86,1,partial
