dest_team_dir,player,from_team,note,status,added,closed_by
Utah_State,Markie Grant,Wyoming,CB 64.4/316 departed Wyoming - verify in-feed + grade as arrival,closed,2026-07-17,usu-build-2026-07-17 (in-feed verified)
San_Diego_State,Oliver,Sacramento_State,SacSt exit (MAC-round flag) - verify in-feed,closed,2026-07-17,sdsu-build-2026-07-17 (in-feed verified)
Fresno_State,Mosley,Sacramento_State,SacSt exit - verify in-feed,closed,2026-07-17,fresno-build-2026-07-17 (both-sided verified)
Fresno_State,Hampsten,Sacramento_State,SacSt exit - verify in-feed,closed,2026-07-17,fresno-build-2026-07-17 (both-sided verified)
Oregon_State,Jones,MAC-round origin,origin check parked at MAC wrap - see mac_wrap_2026-07-16.md,closed,2026-07-17,osu-build-2026-07-17 (Brady Jones in WMU out-feed)
Middle_Tennessee,Lee,Sacramento_State,SacSt exit - verify in-feed,open,2026-07-17,
Mississippi_State,Jaden Rashada,Sacramento_State,QB exit - verify in-feed,open,2026-07-17,
LSU,Jackson Harris,Hawai'i,WR 83.9/345 (963 @ 19.7) - verify in-feed + expect featured arrival,open,2026-07-17,
Wake_Forest,Wondame Davis Jr.,UTEP,WR 62.8/322 (the 23.5-ypc leader) - verify in-feed,closed,2026-07-17,wake-build-2026-07-18 (in-feed verified: Wondame Davis WR<-UTEP)
Kentucky,Mark Robinson,UTEP,OT 53.0/813 starter - verify in-feed,open,2026-07-17,
California,Ashten Emory,UTEP,RB 71.5/119 team rushing leader - verify in-feed,closed,2026-07-17,cal-build-2026-07-18 (in-feed verified: Ashten Emory RB<-UTEP)
Syracuse,Malachi Nelson,UTEP,QB 55.6/222 (ex-PS#1 recruit) - verify in-feed,closed,2026-07-17,syracuse-build-2026-07-18 (in-feed verified: Nelson QB<-UTEP)
Syracuse,Snowden,MAC-round,MAC wrap parked flag - see mac_wrap_2026-07-16.md,closed,2026-07-17,syracuse-build-2026-07-18 (in-feed verified: Amare Snowden CB<-Toledo)
Syracuse,D'Appolonia,MAC-round,MAC wrap parked flag - see mac_wrap_2026-07-16.md,closed,2026-07-17,syracuse-build-2026-07-18 (in-feed verified: Chris D'Appolonia LB<-Toledo)
Vanderbilt,Beau Johnson,North_Dakota_State,OT departed NDSU - verify in-feed,open,2026-07-17,
Liberty,Terron Kellman,Wyoming,RB 72.9/67 - verify in-feed,open,2026-07-17,
New_Mexico_State,James Williams,UTEP,IOL 60.3/807 starter - verify in-feed,open,2026-07-17,
New_Mexico_State,Parks,MAC-round,arrival-ORIGIN verify (Parks left NMSU for a MAC team) - see mac_wrap,open,2026-07-17,
Delaware,Jaquise Alexander,North_Dakota_State,CB departed NDSU - verify in-feed,open,2026-07-17,
Missouri_State,Skyler Locklear,UTEP,QB 64.5/274 - verify in-feed,open,2026-07-17,
Missouri_State,Stratton Shufelt,UTEP,LB 59.0/113 - verify in-feed,open,2026-07-17,
UConn,SEVENTEEN Toledo exits,Toledo,Candle-pipeline bulk flag: verify all 17 at UConn build - list in Toledo news.md/mac_wrap,open,2026-07-17,
Virginia_Tech,Caleb Brown,Hawai'i,arrival-ORIGIN verify: UH CB1 boomerang - confirm VT out-feed carries him,closed,2026-07-17,vt-build-2026-07-18 (in VT out-feed -> Hawai'i; origin verified)
Virginia_Tech,Devin Alves,Hawai'i,arrival-ORIGIN verify: UH WR - confirm VT out-feed,closed,2026-07-17,vt-build-2026-07-18 (in VT out-feed -> Hawai'i; origin verified)
Virginia,Christian Ellis,Virginia_Tech,S (64.1/94) departed VT for UVA - verify UVA in-feed,closed,2026-07-18,uva-build-2026-07-18 (in UVA in-feed: Christian Ellis S<-VT)
Virginia,Bjorn Jurgensen,Hawai'i,arrival-ORIGIN verify: UH QB2 (rFr DNP) - confirm UVA out-feed,closed,2026-07-17,uva-build-2026-07-18 (in UVA out-feed -> Hawai'i; origin verified)
Missouri,Tavorus Jones,UTEP,arrival-ORIGIN verify: UTEP RB1 - confirm Mizzou out-feed,open,2026-07-17,
Western_Kentucky,Ezirim,MAC-round,MAC wrap parked flag (CUSA) - see mac_wrap_2026-07-16.md,open,2026-07-17,
Texas_State,Cunanan,MAC-round,MAC wrap parked flag (SBC) - see mac_wrap_2026-07-16.md,closed,2026-07-17,txst-build-2026-07-17 (in-feed verified)
James_Madison,Kelly,MAC-round,MAC wrap parked flag (SBC) - see mac_wrap_2026-07-16.md,open,2026-07-17,
Georgia_State,D.Johnson,MAC-round,arrival-ORIGIN verify (D.Johnson left GaSt for a MAC team) - see mac_wrap,open,2026-07-17,
VARIOUS_P4,"Senda, Green, Anes, Alexander, McCullough, Littlejohn, Doyle",MAC-round,SEC/ACC origin-check bulk flag - resolve each at the named origin's build (see mac_wrap_2026-07-16.md),open,2026-07-17,
UAB,Anta'Veon McKenzie,Sacramento_State,SacSt-log flag; VERIFIED 2026-07-17: present in UAB in-feed (built before SacSt - feed both-sided),closed,2026-07-17,audit-2026-07-17
Oregon_State,Jayden Tuia,Colorado_State,arrival-ORIGIN verify: CSU OL (66 snaps) from Oregon State - confirm OSU out-feed carries him,closed,2026-07-17,osu-build-2026-07-17 (in OSU out-feed)
San_Diego_State,Javion Kinnard,Colorado_State,RB departed CSU for SDSU (had 91-yd PR TD '25) - verify SDSU in-feed,closed,2026-07-17,sdsu-build-2026-07-17 (in-feed verified)
Texas_State,John Smith,Colorado_State,S departed CSU for Texas State - verify TXST in-feed,closed,2026-07-17,txst-build-2026-07-17 (in-feed verified)
San_Diego_State,Kai Wallin,Oregon_State,EDGE (69.2/260) departed OSU for SDSU - verify SDSU in-feed,closed,2026-07-17,sdsu-build-2026-07-17 (in-feed verified)
Washington_State,Jalil Tucker,Oregon_State,CB (56.8/506) departed OSU for Wazzu - verify in-feed,closed,2026-07-17,wsu-build-2026-07-17 (in-feed verified)
Washington_State,Darrius Clemons,Oregon_State,WR departed OSU for Wazzu - verify in-feed,closed,2026-07-17,wsu-build-2026-07-17 (in-feed verified)
Utah_State,L.J. Johnson Jr.,Texas_State,WR departed TXST for Utah State - verify in-feed,closed,2026-07-17,usu-build-2026-07-17 (in-feed verified)
Washington_State,Khamari Terrell,Texas_State,CB (64.3/606) departed TXST for Wazzu - verify in-feed,closed,2026-07-17,wsu-build-2026-07-17 (in-feed verified)
NC_State,Joshisa Trader,Miami,WR (58.3/118) departed Miami for NC State - verify NCST in-feed,closed,2026-07-18,ncst-build-2026-07-18 (in-feed + Athlon verified)
NC_State,Raul Aguirre Jr.,Miami,"LB ""Popo"" (63.1/304) departed Miami for NC State (nickname feed-miss at Miami) - verify NCST in-feed",closed,2026-07-18,ncst-build-2026-07-18 (in-feed + Athlon verified)
NC_State,Chance Robinson,Miami,WR departed Miami for NC State - verify NCST in-feed,closed,2026-07-18,ncst-build-2026-07-18 (in-feed + Athlon verified)
UL_Monroe,(PFF-alias),LA MONROE,"TOOLING: PFF team row uses 'LA MONROE' but roster feed uses 'UL Monroe' - team_dump reported NO percentile row + all-None shadow proxy. Per-player PFF grades present + used; team-level percentiles unavailable. FIX: add 'LA MONROE'->'UL Monroe' to the PFF alias/name map, then re-dump.",open,2026-07-18,
