team,conf,unit,v1_pct,v2_pct,delta,dossier,cov
Air Force,Mountain West,DB,10.2,10.9,0.7,18,0.9
Air Force,Mountain West,DL,38.1,39.6,1.5,14,0.9
Air Force,Mountain West,LB,21.5,35.6,14.1,20,1.0
Air Force,Mountain West,OL,38.6,25.0,-13.6,26,1.0
Air Force,Mountain West,QB,49.6,27.2,-22.4,32,1.0
Air Force,Mountain West,RB,13.2,17.6,4.4,22,1.0
Air Force,Mountain West,WRTE,17.2,23.1,6.0,14,0.8
Akron,Mid-American,DB,8.8,19.0,10.2,22,0.8
Akron,Mid-American,DL,5.2,8.2,3.0,12,0.6
Akron,Mid-American,LB,40.7,19.3,-21.5,12,0.5
Akron,Mid-American,OL,5.3,8.3,3.0,14,0.8
Akron,Mid-American,QB,21.6,3.2,-18.4,34,1.0
Akron,Mid-American,RB,5.1,3.7,-1.5,16,1.0
Akron,Mid-American,WRTE,6.7,6.7,0.0,28,0.8
Alabama,SEC,DB,99.3,100.0,0.7,76,1.0
Alabama,SEC,DL,86.6,76.9,-9.7,46,1.0
Alabama,SEC,LB,80.7,81.5,0.7,48,1.0
Alabama,SEC,OL,93.2,96.2,3.0,46,0.8
Alabama,SEC,QB,88.0,87.2,-0.8,48,1.0
Alabama,SEC,RB,71.3,80.9,9.6,48,0.8
Alabama,SEC,WRTE,60.4,85.8,25.4,54,1.0
App State,Sun Belt,DB,51.8,29.2,-22.6,40,1.0
App State,Sun Belt,DL,37.3,32.1,-5.2,42,1.0
App State,Sun Belt,LB,69.6,53.3,-16.3,54,1.0
App State,Sun Belt,OL,97.0,54.5,-42.4,40,1.0
App State,Sun Belt,QB,54.4,54.4,0.0,40,0.5
App State,Sun Belt,RB,50.0,41.2,-8.8,48,1.0
App State,Sun Belt,WRTE,97.8,34.3,-63.4,38,0.7
Arizona,Big 12,DB,98.5,73.0,-25.5,46,0.5
Arizona,Big 12,DL,53.7,55.2,1.5,48,0.8
Arizona,Big 12,LB,77.8,72.6,-5.2,60,0.7
Arizona,Big 12,OL,76.5,84.8,8.3,58,1.0
Arizona,Big 12,QB,97.6,99.2,1.6,88,1.0
Arizona,Big 12,RB,52.9,69.1,16.2,55,1.0
Arizona,Big 12,WRTE,56.7,66.4,9.7,52,0.5
Arizona State,Big 12,DB,75.2,62.0,-13.1,48,0.8
Arizona State,Big 12,DL,71.6,65.7,-6.0,51,0.6
Arizona State,Big 12,LB,53.3,66.7,13.3,50,0.7
Arizona State,Big 12,OL,78.8,76.5,-2.3,36,0.7
Arizona State,Big 12,QB,43.2,52.0,8.8,48,0.5
Arizona State,Big 12,RB,80.1,77.2,-2.9,45,0.5
Arizona State,Big 12,WRTE,57.5,75.4,17.9,56,0.8
Arkansas,SEC,DB,72.3,78.8,6.6,48,1.0
Arkansas,SEC,DL,79.1,82.1,3.0,48,1.0
Arkansas,SEC,LB,57.0,74.8,17.8,44,0.8
Arkansas,SEC,OL,80.3,88.6,8.3,44,0.8
Arkansas,SEC,QB,81.6,86.4,4.8,42,1.0
Arkansas,SEC,RB,73.5,86.8,13.2,46,1.0
Arkansas,SEC,WRTE,56.0,77.6,21.6,44,1.0
Arkansas State,Sun Belt,DB,9.5,3.6,-5.8,44,1.0
Arkansas State,Sun Belt,DL,8.2,11.2,3.0,40,0.7
Arkansas State,Sun Belt,LB,31.9,30.4,-1.5,42,1.0
Arkansas State,Sun Belt,OL,81.1,72.7,-8.3,54,1.0
Arkansas State,Sun Belt,QB,75.2,46.4,-28.8,44,1.0
Arkansas State,Sun Belt,RB,34.6,35.3,0.7,52,1.0
Arkansas State,Sun Belt,WRTE,51.5,49.3,-2.2,50,1.0
Army,American Athletic,DB,48.2,24.8,-23.4,22,1.0
Army,American Athletic,DL,11.2,17.2,6.0,25,0.8
Army,American Athletic,LB,34.8,15.6,-19.3,15,0.5
Army,American Athletic,OL,90.9,78.8,-12.1,84,1.0
Army,American Athletic,QB,79.2,70.4,-8.8,62,0.5
Army,American Athletic,RB,11.0,48.5,37.5,38,0.3
Army,American Athletic,WRTE,66.4,61.9,-4.5,40,1.0
Auburn,SEC,DB,79.6,76.6,-2.9,50,1.0
Auburn,SEC,DL,97.0,98.5,1.5,54,1.0
Auburn,SEC,LB,94.8,88.1,-6.7,54,1.0
Auburn,SEC,OL,75.8,97.7,22.0,48,1.0
Auburn,SEC,QB,91.2,98.4,7.2,60,1.0
Auburn,SEC,RB,83.8,89.0,5.1,54,1.0
Auburn,SEC,WRTE,70.9,84.3,13.4,48,1.0
BYU,Big 12,DB,88.3,75.9,-12.4,70,0.8
BYU,Big 12,DL,52.2,60.4,8.2,52,0.8
BYU,Big 12,LB,47.4,60.7,13.3,50,0.8
BYU,Big 12,OL,92.4,87.9,-4.5,68,0.8
BYU,Big 12,QB,84.8,89.6,4.8,72,1.0
BYU,Big 12,RB,95.6,94.1,-1.5,82,1.0
BYU,Big 12,WRTE,40.3,69.4,29.1,48,0.8
Ball State,Mid-American,DB,32.1,22.6,-9.5,14,0.5
Ball State,Mid-American,DL,6.0,5.2,-0.7,8,0.9
Ball State,Mid-American,LB,22.2,8.1,-14.1,8,0.7
Ball State,Mid-American,OL,3.0,4.5,1.5,12,0.7
Ball State,Mid-American,QB,72.0,12.0,-60.0,18,0.3
Ball State,Mid-American,RB,5.9,2.9,-2.9,8,1.0
Ball State,Mid-American,WRTE,16.4,5.2,-11.2,12,0.7
Baylor,Big 12,DB,82.5,67.2,-15.3,52,0.8
Baylor,Big 12,DL,56.7,57.5,0.7,47,0.7
Baylor,Big 12,LB,33.3,59.3,25.9,38,0.7
Baylor,Big 12,OL,73.5,75.8,2.3,40,0.7
Baylor,Big 12,QB,70.4,79.2,8.8,52,1.0
Baylor,Big 12,RB,89.7,85.3,-4.4,44,0.5
Baylor,Big 12,WRTE,28.4,60.4,32.1,44,0.6
Boise State,Pac-12,DB,38.0,46.0,8.0,46,0.8
Boise State,Pac-12,DL,47.8,45.5,-2.2,50,0.9
Boise State,Pac-12,LB,40.0,41.5,1.5,30,1.0
Boise State,Pac-12,OL,15.2,13.6,-1.5,20,0.9
Boise State,Pac-12,QB,9.6,11.2,1.6,32,1.0
Boise State,Pac-12,RB,47.8,29.4,-18.4,50,1.0
Boise State,Pac-12,WRTE,20.1,16.4,-3.7,14,0.9
Boston College,ACC,DB,29.2,49.6,20.4,48,1.0
Boston College,ACC,DL,34.3,44.0,9.7,40,1.0
Boston College,ACC,LB,44.4,57.8,13.3,42,1.0
Boston College,ACC,OL,52.3,68.2,15.9,46,1.0
Boston College,ACC,RB,61.0,79.4,18.4,50,1.0
Boston College,ACC,WRTE,64.2,62.7,-1.5,42,0.8
Bowling Green,Mid-American,DB,16.8,23.4,6.6,30,0.6
Bowling Green,Mid-American,DL,4.5,20.9,16.4,34,0.9
Bowling Green,Mid-American,LB,28.9,8.9,-20.0,30,0.9
Bowling Green,Mid-American,OL,0.8,6.8,6.1,10,0.6
Bowling Green,Mid-American,QB,10.4,1.6,-8.8,34,0.8
Bowling Green,Mid-American,RB,1.5,8.8,7.4,28,0.8
Bowling Green,Mid-American,WRTE,10.4,6.0,-4.5,18,0.6
Buffalo,Mid-American,DB,29.9,29.9,0.0,42,0.9
Buffalo,Mid-American,DL,1.5,6.0,4.5,14,0.5
Buffalo,Mid-American,LB,20.0,1.5,-18.5,12,0.3
Buffalo,Mid-American,OL,17.4,9.8,-7.6,16,0.6
Buffalo,Mid-American,RB,18.4,4.4,-14.0,16,1.0
Buffalo,Mid-American,WRTE,11.2,1.5,-9.7,22,0.4
California,ACC,DB,68.6,55.5,-13.1,48,1.0
California,ACC,DL,49.3,53.0,3.7,42,1.0
California,ACC,LB,72.6,54.8,-17.8,38,1.0
California,ACC,OL,49.2,61.4,12.1,44,1.0
California,ACC,QB,63.2,69.6,6.4,58,1.0
California,ACC,RB,63.2,75.7,12.5,46,1.0
California,ACC,WRTE,63.4,83.6,20.1,54,1.0
Central Michigan,Mid-American,DB,36.5,10.2,-26.3,22,0.7
Central Michigan,Mid-American,DL,14.2,14.2,0.0,24,0.6
Central Michigan,Mid-American,LB,19.3,4.4,-14.8,14,0.7
Central Michigan,Mid-American,OL,12.1,7.6,-4.5,28,0.7
Central Michigan,Mid-American,QB,37.6,16.0,-21.6,38,0.8
Central Michigan,Mid-American,RB,0.7,1.5,0.7,28,0.6
Central Michigan,Mid-American,WRTE,33.6,10.4,-23.1,28,0.6
