team,conference,QB,RB,WRTE,OL,DL,LB,DB,ST,sum,L_count,final,rank,band,coach_change,snapshot_rev,corrections
Ohio State,Big Ten,91,74,82,80,71,64,72,64,598,0,26.36,2,6.0,False,frozen 2026-07-16 (b0c0d89),0
Oregon,Big Ten,89,78,80,56,88,66,73,62,592,0,24.48,5,6.0,False,frozen 2026-07-16 (236ad69),0
Notre Dame,FBS Independents,84,64,74,74,80,76,80,62,594,0,23.57,5,6.0,False,frozen 2026-07-18T21:50:00Z (Notre Dame),0
Indiana,Big Ten,74,62,65,74,77,75,72,65,564,0,21.65,7,6.0,False,frozen 2026-07-16 (1fd56c8),0
Georgia,SEC,68,70,54,60,54,62,66,60,494,0,21.2,8,6.0,False,frozen 2026-07-18T03:39:34Z (31badf0),0
Texas Tech,Big 12,50,72,62,60,73,62,70,65,514,0,17.75,10,6.0,False,frozen 2026-07-15,0
Texas,SEC,64,60,62,56,62,58,56,52,470,0,17.71,11,6.6,False,frozen 2026-07-18T05:20:00Z (Texas),0
Miami,ACC,72,70,76,52,60,44,60,58,492,0,17.57,12,6.0,False,frozen 2026-07-18 (913011b),0
USC,Big Ten,80,72,68,52,67,62,67,50,518,0,15.56,17,6.0,False,frozen 2026-07-16 (03d3d96),0
Ole Miss,SEC,70,68,56,54,60,58,56,62,484,0,15.4,16,6.78,True,frozen 2026-07-18T04:37:20Z (5e5111f),0
Penn State,Big Ten,72,65,58,58,57,68,70,66,514,0,14.96,18,6.78,True,frozen 2026-07-16 (5cceb68),0
Michigan,Big Ten,56,71,56,64,76,45,68,55,491,0,14.91,18,6.98,True,frozen 2026-07-16 (ec6341a),0
LSU,SEC,60,56,60,54,62,50,62,54,458,0,14.77,18,7.46,True,frozen 2026-07-18T04:00:26Z (ea9e814),0
Oklahoma,SEC,54,52,58,54,62,56,60,62,458,0,14.73,18,6.0,False,frozen 2026-07-18T04:27:58Z (087d8c0),0
Alabama,SEC,48L,48,54,46L,46,48,75,48,413,2,14.63,18,6.36,False,frozen 2026-07-18T02:24:39Z,0
Texas A&M,SEC,56,54,58,52,56,57,58,56,447,0,14.56,18,6.0,False,frozen 2026-07-18T05:34:00Z (Texas A&M),0
BYU,Big 12,72,80,46,62,50,48,70,42,470,0,13.03,21,6.0,False,frozen 2026-07-15,0
Washington,Big Ten,72,50,54,62,62,69,72,58,499,0,13.03,22,6.0,False,frozen 2026-07-16 (8dd0641),0
Tennessee,SEC,46L,60,56,58,50,56,57,54,437,1,12.55,21,6.18,False,frozen 2026-07-18T05:05:00Z (Tennessee),0
Iowa,Big Ten,32L,68,42,87,48L,58L,80,60L,475,4,12.42,21,6.72,,c091163 (frozen 2026-07-14),0
Utah,Big 12,72,65,52,46,46,46,56,62,445,0,10.51,28,7.46,"Whittingham -> Michigan (21 yrs); Scalley promoted (HC-in-waiting since '23, won the bowl) - x1.13 w/ maximal continuity mitigants",frozen 2026-07-15,0
Missouri,SEC,50,72,54,58,53,57,47,56,447,0,10.45,28,6.0,False,frozen 2026-07-18T04:19:08Z (6f14031),0
Florida,SEC,48L,62,50,44L,56,56,54,56,426,2,9.89,29,7.19,True,frozen 2026-07-18T03:04:34Z (2443754),0
Clemson,ACC,40,52,56,48L,61,54,54,56,421,1,9.5,29,6.36,False,frozen 2026-07-18 (3bec049),0
Louisville,ACC,46L,72,53,50,65,52,52,44L,434,2,9.41,29,6.36,False,frozen 2026-07-18 (7ef9e64),0
SMU,ACC,64,54,52,62,55,56,52,50,445,0,9.39,30,6.0,False,frozen 2026-07-18 (647ccd9),0
Auburn,SEC,62,54,48,50,59,54,50,56,433,0,9.08,29,6.78,True,frozen 2026-07-18T02:54:00Z (09136c4),0
South Carolina,SEC,58,48,52,44L,56,48,52,48,406,1,8.47,32,6.18,False,frozen 2026-07-18T04:46:58Z (bd6d1a0),0
Vanderbilt,SEC,48,58,54,44,48,50,58,60,420,0,7.9,35,6.18,False,frozen 2026-07-18T05:44:00Z (Vanderbilt),0
Arizona,Big 12,84,52,45,56,45,60,46,42,430,0,7.73,35,6.0,False,frozen 2026-07-15,0
Kansas State,Big 12,63,48,52,47,45,44,52,55,406,0,7.34,35,6.78,Klieman retired -> Collin Klein (alum; OC here 22-23; A&M OC) - x1.13 w/ continuity mitigants,frozen 2026-07-15,0
TCU,Big 12,46,56,51,52,58,42,52,55,412,0,6.99,35,6.0,False,frozen 2026-07-15,0
Nebraska,Big Ten,62,42,52,66,46,64,65,62,459,0,6.96,35,6.0,False,frozen 2026-07-16 (adac096),0
Houston,Big 12,65,52,62,48,53,48,60,42,430,0,6.15,40,6.0,False,frozen 2026-07-15,0
Virginia,ACC,56,56,42,58,50,54,52,54,422,0,5.98,41,6.36,False,frozen 2026-07-18 (246e11f),0
Pittsburgh,ACC,45,56,36L,54,58,54,54,46,403,1,5.83,41,6.18,False,frozen 2026-07-18 (ae53f6c),0
Illinois,Big Ten,70,38,52,42,45,48,62,30,387,0,5.75,41,6.18,False,frozen 2026-07-16 (511c1b2),0
Florida State,ACC,48L,58,63,40L,46,48,48,44L,395,3,5.74,41,6.54,False,frozen 2026-07-18 (84b681b),0
Virginia Tech,ACC,48L,60,46,38,50,42,62,50,396,1,5.52,42,7.91,True,frozen 2026-07-18 (d9a92fa),0
Wisconsin,Big Ten,57,55,44,48,52,71,62,48,437,0,5.49,42,6.0,False,frozen 2026-07-16 (abf95f8),0
Minnesota,Big Ten,58,54,44,60,64,55,64,56,455,0,5.25,44,6.0,False,frozen 2026-07-16 (056d942),0
UCLA,Big Ten,63,60,49,42,61,60,66,56,457,0,4.7,50,6.78,True,frozen 2026-07-16 (f032e11),0
Georgia Tech,ACC,46L,66,41,48,40L,50,48,62,401,2,4.66,49,6.54,False,frozen 2026-07-17 (b5ffbfc),0
Kentucky,SEC,50,46,48,54,60,44L,50,48,400,1,4.5,49,6.98,True,frozen 2026-07-18T03:50:29Z (f2a50a9),0
Arizona State,Big 12,42L,45,52,36,51,50,48,40,364,1,4.27,50,6.0,False,frozen 2026-07-15,0
Northwestern,Big Ten,52,58,64,46,52,52,68,40,432,0,4.13,50,6.0,False,frozen 2026-07-16 (78722de),0
Mississippi State,SEC,56,52,50,46,44,46,58,54,406,0,4.0,51,6.18,False,frozen 2026-07-18T04:09:05Z (cd01f52),0
Oklahoma State,Big 12,62,67,62,44,45,52,48,45,425,0,3.73,51,7.46,Gundy fired Sept '25 -> Eric Morris (from North Texas 12-2) - x1.13; brought OC Brophy + DC Cassity + 18 NT players,frozen 2026-07-15,0
Duke,ACC,46,67,52,52,42L,46,44,50,399,1,3.72,51,6.54,False,frozen 2026-07-18 (c4edefa),0
NC State,ACC,54,56,44,46,38,42L,46,48,374,1,3.5,53,6.54,False,frozen 2026-07-18 (3e24366),0
Baylor,Big 12,52,48,44,40,47,38L,52,52,373,1,3.29,53,6.18,False,frozen 2026-07-15,0
Arkansas,SEC,44,48,44,44,48,44,48,44,364,0,3.02,54,6.98,True,frozen 2026-07-18T02:42:15Z (7b57cb1),0
Wake Forest,ACC,56,46L,42,44,58,48,50,54,398,1,2.98,54,6.36,False,frozen 2026-07-18 (f4e0779),0
Cincinnati,Big 12,40,50,40L,71,28,55,48,52,384,1,2.95,55,6.18,False,frozen 2026-07-15,1
Kansas,Big 12,42,48,44,45,50,52,42,40,363,0,2.64,56,6.0,False,frozen 2026-07-15,0
Maryland,Big Ten,56,41,40,43,63,53,60,36,392,0,2.54,56,6.0,False,frozen 2026-07-16 (fcc394e),0
UCF,Big 12,46L,46,52,42,50,52,58,45,391,1,2.05,58,6.0,False,frozen 2026-07-15,0
Rutgers,Big Ten,55,74,58,52,61,54,42,44,440,0,2.01,59,6.0,False,frozen 2026-07-16 (2d49954),0
Boise State,Pac-12,32,49,14L,20,46,30,45,44,280,1,1.6,60,6.18,False,frozen 2026-07-17 (958082e),0
North Carolina,ACC,48L,48,50,44,54,40L,48,46,378,2,1.58,59,6.36,False,frozen 2026-07-18 (2c6d867),0
California,ACC,60,51,57,44,42L,38L,48,42,382,2,1.27,60,7.39,True,frozen 2026-07-18 (7f3723b),0
Colorado,Big 12,49,48,56,40,57,50,46,42,388,0,0.36,61,6.0,False,frozen 2026-07-15,0
West Virginia,Big 12,44,58,44,46,42,40,40,42,356,0,0.36,62,6.0,False,frozen 2026-07-15,0
Memphis,American Athletic,40L,42,45,38L,52,34,74,50L,375,3,0.05,63,7.59,Huff (SM) in for Silverfield (Arkansas) Dec 2025 - variance multiplier 1.13 applies,frozen 2026-07-14 (post c091163),0
Michigan State,Big Ten,53,53,45,46,49,55,46,26,373,0,0.04,64,6.78,True,frozen 2026-07-16 (d4c47dc),0
Iowa State,Big 12,48,42,40L,32L,46,40L,40,52,340,3,-0.0,63,8.13,Campbell -> Penn State (Dec 5); Rogers (SDSU/Wazzu) hired - x1.13 applies,frozen 2026-07-15,0
James Madison,Sun Belt,44L,46,46,47,50,46,48,54,381,1,-0.39,65,6.98,True,frozen 2026-07-18T15:08:00Z (James Madison),0
Tulane,American Athletic,45L,54,46,30L,35,25,34,52,321,2,-0.4,66,7.39,Hall promoted after Sumrall -> Florida - x1.13 applies (internal-continuity mitigant noted),frozen 2026-07-15,0
East Carolina,American Athletic,44L,50,38L,30,54,21L,55,52,344,3,-1.1,71,6.36,False,frozen 2026-07-15,1
Purdue,Big Ten,46,48,40,38,58,46,46,54,376,0,-1.15,70,6.0,False,frozen 2026-07-16 (56798c9),0
Navy,American Athletic,45L,40,38,45,18,40,30,55,311,1,-1.34,71,6.18,False,frozen 2026-07-15,0
San Diego State,Pac-12,34,50,39,36,40,42,34L,36,311,1,-1.48,72,6.18,False,frozen 2026-07-17 (df956b8),0
Stanford,ACC,44,56,45,40L,44,54,50,52,385,1,-1.91,73,7.39,True,frozen 2026-07-18 (456ef48),0
Boston College,ACC,40L,55,42L,46,38,42,46,52,361,2,-2.15,75,6.54,False,frozen 2026-07-18 (e5b9dbc),0
Army,American Athletic,62,38,40,81,25,15L,23,65,349,1,-2.18,74,6.36,False,frozen 2026-07-15,0
Fresno State,Pac-12,30L,43,35,36,40,36,43,48,311,1,-2.31,75,6.18,False,frozen 2026-07-17 (13cba26),0
Syracuse,ACC,48,30L,32L,40,36,34,50,40,310,2,-2.34,76,6.36,False,frozen 2026-07-18 (e63329f),0
South Florida,American Athletic,48,38,45,32L,38,30L,33,48,312,2,-2.42,77,7.39,Hartline in for Golesh (Auburn) - x1.13 applies,frozen 2026-07-15,0
UTSA,American Athletic,55,61,51,26,18L,30L,23L,52,316,3,-2.96,80,6.72,False,frozen 2026-07-15,0
Old Dominion,Sun Belt,44,46,38,39,36,50,58,42,353,0,-3.12,82,6.0,False,frozen 2026-07-18T16:05:00Z (Old Dominion),0
Washington State,Pac-12,28L,40,42,21,30,25,32,32,250,1,-4.12,85,7.91,True,frozen 2026-07-17 (2490cde),0
Western Kentucky,Conference USA,50,46,52,42L,40,36L,58,48,372,2,-4.14,86,6.36,False,frozen 2026-07-18T21:20:00Z (Western Kentucky),0
Texas State,Pac-12,55,44,52,41,30L,30,36,42,330,1,-4.3,85,6.18,False,frozen 2026-07-17 (eff6e84),0
UNLV,Mountain West,36,34,16L,20,22,18,20,20,186,1,-4.59,86,6.36,False,frozen 2026-07-17 (779046e),0
Troy,Sun Belt,46,40,42,40,46,42,36,48,340,0,-5.34,89,6.0,False,frozen 2026-07-18T16:42:00Z (Troy),0
Marshall,Sun Belt,52,40,46,44,44,42,46,36,350,0,-5.7,91,6.0,False,frozen 2026-07-18T15:52:00Z (Marshall),0
North Texas,American Athletic,35L,52,40,38,13,40,35L,55,308,2,-6.12,91,8.35,Neal Brown in for Eric Morris (OkState) Dec 2025 - x1.13 applies,frozen 2026-07-15,0
Liberty,Conference USA,44L,42L,38L,51,42,40,42,38L,337,4,-6.49,92,6.54,False,frozen 2026-07-18T18:20:00Z (Liberty); post-freeze name corrections 2026-07-18 (see planned_vs_final_deviations),0
Utah State,Pac-12,34,36,34,32,32,32,36,38,274,0,-6.51,93,6.18,False,frozen 2026-07-17 (726aed5),0
Jacksonville State,Conference USA,52,42,42,46,47,46,50,48,373,0,-6.52,93,6.0,False,frozen 2026-07-18T17:58:00Z (Jacksonville State),0
New Mexico,Mountain West,36,16,22,24,28,44,26,18,214,0,-6.6,92,6.0,False,frozen 2026-07-17 (9e22a3d),0
Louisiana,Sun Belt,44,42,49,48,36,40,62,48,369,0,-6.62,94,6.0,False,frozen 2026-07-18T15:20:00Z (Louisiana),0
UConn,FBS Independents,44L,48,46,48,47,47,47L,44L,371,3,-6.9,95,7.39,True,frozen 2026-07-18T22:30:00Z (UConn),0
