player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Koi Freeman,19946,S,SAMFORD,3,3,0,100.0,0,0,282,0,0,72.8,72.7,76.6,,66.5,79.5,0,0,0,0,3,0.0,0,0,0,79.2,1,0,0,11,0,14,33,0,0,0,0,0,4,33,0,19,18,0,0,0,1,0,0,3,5,3.0
Raemo Trevino,22649,DI,IDAHO ST,2,0,0,,0,1,186,0,0,60.0,86.9,77.5,69.1,91.5,39.2,0,1,0,0,,20.0,1,0,0,0.0,0,1,0,0,0,0,67,67,9,53,0,5,0,0,32,35,0,4,4,1,0,2,0,0,0,
Isaiah Capoocia,23847,CB,SACRAMENTO,1,0,0,,0,0,279,0,0,,60.3,65.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,
Da'Quan Grimes,29665,LB,MONMOUTH,11,19,0,85.0,0,0,231,0,0,64.5,58.5,50.6,71.9,52.3,69.7,0,4,0,0,23,13.0,12,2,1,108.3,17,2,0,551,1,290,600,9,0,0,9,0,3,591,17,293,36,31,61,2,20,6,0,200,99,11.8
Landon Wolf,40906,WR,S DAK ST,1,0,0,,0,0,292,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Joshua Manchigiah,42649,S,S DAKOTA,7,4,0,40.0,0,0,291,1,0,42.4,45.5,82.8,,54.4,68.3,0,0,0,1,62,12.5,2,0,0,87.5,2,0,0,42,0,104,193,2,0,0,2,0,143,191,0,89,6,2,10,0,5,0,1,74,19,37.0
Broderick Harrell,42650,S,PORTLAND,8,8,0,64.3,1,0,269,0,0,75.3,69.4,39.0,47.8,59.1,43.9,0,1,0,0,32,25.0,17,3,2,110.7,9,0,1,82,1,333,533,2,0,0,2,0,430,531,2,198,17,9,43,3,14,1,1,105,32,11.7
Carlos Becker III,42759,CB,ALAB A&M,3,2,0,0.0,0,0,104,0,0,69.7,66.6,0.0,,66.9,79.6,0,0,0,0,,0.0,0,3,2,39.6,0,0,0,6,32,25,42,0,0,0,0,0,0,42,0,17,4,0,2,0,5,0,0,0,0,
Keeath Magee II,42816,LB,GARD-WEBB,10,8,0,100.0,0,0,171,0,0,69.9,64.4,78.7,65.3,52.9,61.0,0,0,0,0,8,20.0,3,0,0,79.2,4,2,0,103,0,57,119,4,0,0,4,0,3,115,13,49,9,4,4,1,4,2,0,12,25,3.0
Harvey Clayton Jr.,43045,S,MAINE,1,1,0,100.0,0,0,212,0,0,47.4,51.7,71.7,,64.4,80.3,0,0,0,0,16,0.0,0,0,0,154.2,2,0,0,2,0,6,15,0,0,0,0,0,5,15,0,9,8,0,2,0,2,0,1,23,20,11.5
