player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Phoenix Porter,52591,LB,E ILLINOIS,12,15,0,85.7,0,0,158,0,0,45.0,45.9,55.0,61.2,47.4,41.6,0,3,0,0,65,20.9,19,0,1,127.7,36,2,0,514,0,299,651,25,0,0,25,0,1,626,37,315,110,38,57,1,42,5,2,455,256,12.6
James Camden,53418,LB,MURRAY ST,7,17,0,82.6,0,0,236,0,0,41.9,54.3,33.9,60.4,66.6,51.8,2,5,0,0,34,21.4,15,2,1,127.7,19,0,0,321,0,168,371,11,0,0,11,0,1,360,20,183,36,22,38,0,23,7,1,257,180,13.5
Jakari Patterson,53555,ED,AUSTINPEAY,12,2,1,91.7,0,0,116,0,0,75.6,71.6,56.0,61.3,70.8,41.9,3,4,0,0,19,25.0,6,2,1,124.3,11,0,0,112,0,71,357,209,0,1,206,2,0,148,119,167,35,15,16,9,12,7,1,86,54,7.8
Shaun Myers,62235,LB,N ALABAMA,2,3,0,100.0,0,0,389,0,0,58.4,64.9,78.2,64.9,69.3,50.6,0,2,0,0,23,20.0,1,0,0,118.8,6,0,0,76,0,45,97,14,0,0,14,0,0,83,10,42,7,1,1,0,6,2,0,77,61,12.8
Diego Neri,62732,LB,W ILLINOIS,4,5,0,75.0,0,1,345,0,0,68.7,67.6,78.4,61.3,65.0,60.5,0,5,0,0,33,18.8,3,2,0,96.4,6,0,0,126,2,75,195,42,0,0,42,0,0,153,18,102,25,5,8,0,8,5,0,61,55,10.2
Jordan Montgomery,64332,S,MS VLY ST,12,25,0,78.3,0,0,228,0,0,59.4,57.0,85.9,54.4,53.6,37.2,1,0,0,1,43,25.3,22,2,0,122.7,18,0,0,340,1,305,675,20,0,0,20,0,181,655,14,356,130,11,40,1,23,1,4,191,115,10.6
Logan Nash,64572,CB,ROB MORRIS,7,1,0,66.7,0,0,277,0,0,52.3,46.6,76.8,,29.8,52.6,0,0,0,0,26,20.0,1,0,0,126.4,4,0,0,0,36,35,48,0,0,0,0,0,0,48,0,13,12,1,3,0,6,0,1,42,11,10.5
Shiloh Means,64602,S,PENN,10,15,0,62.3,0,0,267,0,0,80.9,80.9,88.6,59.9,76.6,82.9,0,0,0,3,41,8.3,6,12,0,107.6,38,0,0,221,7,442,723,3,0,0,2,1,283,720,2,279,209,15,51,0,61,0,8,505,141,13.3
Reggie Thomas,66271,LB,LAFAYETTE,12,17,2,69.6,0,0,203,0,0,51.9,51.8,48.2,49.3,57.3,29.9,3,7,0,1,27,26.8,19,1,1,72.2,16,0,0,499,0,215,534,18,0,0,18,0,0,516,54,265,17,17,35,5,23,10,0,167,111,10.4
Erich Osteen,70404,ED,MONTANA,1,0,0,,0,0,232,0,0,60.0,61.0,71.3,59.5,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,4,3,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,
