player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Reece Udinski,60592,QB,RICHMOND,13,81.6,489,520,6.8,2.51,7,25,4.7,72.5,377,0,142,5.5,575,22,0.13,198,276,54.5,90.2,90.0,62.5,3,5,590,3,49.0,19.0,106.0,4.7,27,25,3,18,29,11,1.9,3614,7.0
Tim Demorat,78498,QB,FORDHAM,12,72.0,483,503,13.5,2.62,1,53,10.0,64.8,326,0,114,6.3,534,22,0.38,212,168,55.5,92.6,92.4,53.6,4,10,563,2,51.9,13.2,125.4,2.8,15,16,0,15,56,18,3.2,4885,9.7
Shedeur Sanders,131396,QB,JACKSON ST,13,81.4,462,493,7.6,2.75,5,17,3.2,70.6,348,0,153,7.4,573,28,0.2,207,194,58.6,83.7,83.7,58.9,10,6,610,2,50.6,16.3,114.5,4.4,25,54,1,15,40,12,2.0,3743,7.6
Parker McKinney,82109,QB,E KENTUCKY,12,74.6,453,465,9.6,2.7,2,23,4.7,68.2,317,0,156,6.2,522,21,0.33,208,159,65.2,91.1,90.0,74.7,2,8,544,1,51.7,12.2,110.7,3.6,19,38,0,8,33,15,2.8,3947,8.5
RJ Martinez,147690,QB,N ARIZONA,11,75.5,416,461,7.4,2.56,11,23,4.8,64.4,297,0,144,5.4,492,17,0.02,151,252,53.3,89.7,84.6,78.9,4,8,511,4,42.7,9.0,86.3,2.6,13,17,2,28,16,15,2.9,2894,6.3
Michael Hiers,88636,QB,SAMFORD,13,80.1,452,458,6.5,2.66,3,26,5.4,76.2,349,0,134,3.6,511,13,0.23,159,282,41.8,84.7,84.6,63.0,1,4,534,1,48.1,23.1,120.1,6.1,31,19,0,2,36,18,3.4,3510,7.7
Lindsey Scott Jr.,40219,QB,INCAR WORD,14,75.6,442,457,10.8,2.46,2,42,8.8,70.0,320,0,86,4.2,506,14,0.53,211,189,47.8,91.5,92.0,63.0,0,8,528,2,55.7,17.4,135.4,3.0,15,32,0,13,59,17,3.2,4681,10.2
Pierce Holley,108981,QB,GEORGETOWN,11,74.1,433,451,8.6,2.33,6,21,4.5,65.9,297,0,123,7.5,479,24,0.01,151,172,55.6,72.4,72.8,47.4,1,11,499,1,44.9,16.3,87.1,4.2,20,8,2,9,18,17,3.4,2925,6.5
Nolan Henderson,63572,QB,DELAWARE,13,72.5,422,446,10.0,3.03,6,25,5.3,64.3,287,0,151,6.2,512,19,0.12,179,151,35.4,77.0,79.2,53.2,0,9,543,2,47.3,16.6,101.2,4.9,25,40,1,17,32,19,3.5,3214,7.2
Max Brosmer,105568,QB,NEW HAMP,13,71.0,396,422,9.7,2.78,7,23,5.2,62.1,262,0,145,6.8,475,19,0.06,157,240,39.3,82.4,83.5,55.4,4,8,503,0,45.5,17.2,98.4,5.3,25,26,1,14,27,14,2.8,3151,7.5
Zachary Clement,105561,QB,NWSTATE,10,68.4,374,410,8.3,2.4,8,19,4.5,53.9,221,0,113,13.7,435,35,-0.05,121,257,77.1,79.3,74.8,74.4,5,13,451,2,36.3,12.4,74.8,3.2,14,11,0,23,19,16,3.5,2513,6.1
Justin Fomby,103928,QB,HOUCHR,10,67.5,385,405,7.7,2.43,6,13,3.1,58.8,238,0,155,8.5,453,22,-0.4,99,183,33.1,48.5,49.0,46.8,4,16,472,0,35.5,21.3,71.7,7.3,33,13,0,10,16,24,5.1,2331,5.8
Jeremy Moussa,75887,QB,FL A&M,11,65.7,376,397,9.9,2.39,6,23,5.5,56.9,226,0,130,8.5,426,21,0.05,140,164,54.3,75.6,74.5,61.5,5,10,446,6,42.7,14.6,85.3,4.5,19,8,1,9,21,16,3.6,2733,6.9
Aidan Sayin,148974,QB,PENN,10,73.4,372,391,7.3,2.46,11,19,4.5,65.0,254,0,107,7.0,423,19,-0.05,126,267,47.3,73.1,76.4,45.2,1,7,452,7,45.9,14.0,89.2,3.5,15,17,0,7,18,16,3.5,2351,6.0
Zevi Eckhaus,148535,QB,BRYANT,10,66.0,377,385,11.4,2.54,2,27,6.5,60.0,231,1,119,7.2,431,18,0.11,158,124,35.1,74.1,69.5,75.7,2,15,462,1,48.7,18.5,87.3,5.1,22,24,1,3,22,24,5.2,2993,7.8
Dresser Winn,63583,QB,TENN MARTN,11,72.0,350,381,10.2,2.57,4,22,5.4,61.2,233,0,126,7.5,396,19,0.03,129,310,53.1,77.3,77.4,53.7,6,11,421,2,45.2,8.7,88.7,2.8,11,2,0,21,18,17,4.0,2924,7.7
Reese Poffenbarger,145346,QB,ALBANY,11,70.1,348,378,11.5,2.89,6,25,6.1,60.3,228,0,156,6.6,465,16,0.1,157,106,43.6,77.2,76.8,63.2,5,4,499,4,45.4,22.4,102.1,7.5,35,51,5,14,24,21,4.2,2989,7.9
Bailey Fisher,88643,QB,GARD-WEBB,13,71.4,357,374,9.4,2.54,4,17,4.2,64.4,241,0,127,5.5,429,14,0.08,148,171,50.5,74.0,73.3,63.1,2,11,458,3,46.4,21.3,93.1,6.3,27,28,0,11,19,20,4.4,2926,7.8
Tommy Schuster,108954,QB,N DAKOTA,12,77.9,335,371,7.4,3.1,10,11,2.9,67.9,252,0,125,3.4,433,9,0.15,154,249,60.8,79.2,77.4,63.5,1,5,450,1,48.7,20.8,102.0,6.0,26,36,3,22,20,13,2.9,2754,7.4
Joe Fagnano,104768,QB,MAINE,11,67.0,342,369,8.2,2.4,10,7,1.8,56.6,209,0,128,8.7,413,20,-0.05,118,212,50.5,59.4,55.6,68.8,9,6,430,5,41.2,18.8,81.5,5.8,24,20,0,8,15,16,3.7,2255,6.1
Justin Miller,103941,QB,SO UTAH,11,75.1,338,367,7.3,2.78,6,13,3.4,64.6,237,0,117,6.7,405,17,0.07,135,298,37.5,66.0,69.1,41.7,4,8,422,3,45.4,17.1,97.4,4.9,20,17,1,18,20,15,3.6,2852,7.8
Miles Hastings,103943,QB,UC DAVIS,11,76.8,349,366,6.6,2.38,1,13,3.4,69.4,254,0,66,5.2,387,14,0.15,142,322,64.0,81.2,83.3,31.8,4,6,403,0,48.1,12.1,105.9,2.1,8,6,0,12,20,17,4.2,3039,8.3
Mark Gronowski,138303,QB,S DAK ST,15,74.7,332,360,9.1,2.75,6,10,2.7,64.4,232,0,120,6.5,400,16,0.19,153,292,66.0,89.8,84.1,79.2,0,5,413,3,50.3,15.0,108.4,4.5,18,22,1,21,26,6,1.5,2967,8.2
Brock Bagozzi,149648,QB,MARIST,11,67.3,333,357,8.8,2.72,7,16,4.2,57.7,206,0,109,8.0,388,18,-0.19,98,213,37.5,64.5,64.3,53.3,2,11,410,0,37.4,11.9,73.1,3.4,13,17,1,14,11,15,3.7,2187,6.1
Dante Perri,143112,QB,LEHIGH,11,68.2,333,357,8.3,2.8,5,7,1.8,57.7,206,0,133,9.3,396,21,-0.03,118,205,54.2,60.3,63.0,47.6,2,9,423,5,41.9,11.3,76.7,3.8,15,23,0,17,12,19,4.5,2213,6.2
Blake Stenstrom,82106,QB,PRINCETON,10,79.9,333,351,7.7,2.6,7,23,6.3,68.9,242,0,109,9.0,404,24,0.11,129,272,30.1,90.4,90.8,62.0,2,5,420,1,46.5,25.7,101.4,6.9,28,21,1,8,16,8,1.9,2747,7.8
Nic Baker,87541,QB,S ILLINOIS,11,75.1,341,350,7.0,2.66,5,7,1.9,68.6,240,0,135,6.3,410,16,0.27,136,295,68.2,70.3,70.9,55.8,2,7,441,1,50.2,19.3,102.4,6.3,26,28,0,2,20,14,3.2,2729,7.8
Gunner Talkington,60371,QB,E WASHGTON,10,72.9,336,350,8.4,2.8,4,19,5.2,63.7,223,0,116,9.0,402,22,0.02,126,161,52.2,81.7,80.3,64.7,1,8,418,1,45.0,14.7,95.7,4.2,17,33,1,8,22,14,3.3,2446,7.0
Spencer Brasch,100574,QB,CAL POLY,9,69.3,339,348,9.0,2.32,4,21,5.9,59.2,206,1,101,12.3,383,29,-0.03,120,129,29.4,66.7,65.1,58.3,0,13,394,1,44.1,20.8,85.3,5.5,21,13,0,5,19,20,5.1,2614,7.5
Paxton DeLaurent,159618,QB,SE MO ST,10,66.0,335,347,10.9,2.58,3,24,6.6,60.5,210,0,125,5.0,389,11,0.18,145,293,29.0,79.4,77.6,65.4,3,6,409,0,51.4,8.8,95.8,2.8,11,29,0,6,19,14,3.4,2682,7.7
Brady Meitz,149729,QB,STETSON,9,67.5,314,345,9.1,2.7,2,21,5.8,59.1,204,0,164,3.8,397,8,-0.15,107,302,37.1,59.5,62.6,44.3,10,10,414,1,38.5,18.9,86.5,7.8,31,21,0,19,17,16,3.9,2547,7.4
Bronson Barron,141710,QB,WEBER ST,13,70.3,333,344,10.2,2.43,7,21,5.8,59.3,204,0,98,12.8,401,30,0.09,131,342,54.5,75.3,75.2,60.6,0,7,422,2,45.1,20.4,93.9,5.0,20,34,0,4,21,11,2.6,2523,7.3
Beau Allen,73936,QB,TARLETON,11,64.2,324,340,12.9,2.91,1,22,6.2,56.8,193,1,104,7.2,399,15,0.11,128,401,80.2,76.6,75.2,63.3,9,11,418,3,44.1,20.2,93.3,5.3,21,38,0,6,23,14,3.3,2841,8.4
Jason Shelley,60581,QB,MO STATE,11,71.0,310,332,9.2,3.09,3,18,5.2,61.1,203,0,163,7.7,419,17,0.03,132,230,67.9,78.3,73.7,73.3,3,6,434,2,44.9,27.0,96.5,10.5,44,43,0,16,18,14,3.2,2621,7.9
Mike DiLiello,121801,QB,AUSTINPEAY,11,70.5,312,332,9.6,2.56,4,16,4.6,60.5,201,0,119,8.6,389,19,-0.06,111,116,58.2,70.8,64.6,73.6,5,11,408,2,41.9,26.1,90.6,8.0,31,23,1,10,21,18,4.4,2450,7.4
Kasim Hill,60444,QB,RHODE ISLD,11,65.4,298,329,11.6,2.83,6,13,3.6,53.5,176,0,91,9.7,370,19,0.1,123,274,64.1,69.1,65.0,68.8,3,7,401,1,41.4,23.1,89.8,5.7,21,20,2,20,19,13,3.2,2584,7.9
Jimmy Weirick,88641,QB,WOFFORD,11,64.8,310,327,10.6,2.79,2,25,7.2,57.2,187,0,132,7.0,359,14,-0.01,112,350,59.7,84.2,83.3,58.8,4,7,380,0,39.0,14.4,84.7,5.3,19,13,3,8,12,19,5.0,2480,7.6
Theo Day,83515,QB,N IOWA,11,73.7,316,326,11.5,2.84,2,27,7.9,64.7,211,0,131,9.4,380,22,0.31,163,255,44.0,93.7,93.9,60.4,4,6,396,1,53.4,16.0,114.9,5.5,21,33,1,3,26,11,2.8,3128,9.6
Jeremiah Oatsvall,54990,QB,TENN TECH,11,69.6,306,326,8.6,2.47,4,14,4.0,61.0,199,0,94,6.6,369,14,-0.04,112,309,45.2,64.3,63.9,61.2,3,11,390,3,44.2,16.0,87.4,4.1,15,27,1,12,19,17,4.4,2274,7.0
Cade Brister,154186,QB,LNDNWD,9,72.9,299,326,11.6,3.07,8,17,4.9,64.4,210,0,168,3.7,414,8,0.23,171,949,38.9,83.3,75.3,81.4,3,9,437,2,52.6,20.2,104.8,8.2,34,54,0,16,24,15,3.4,2813,8.6
