player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Jakari Patterson,53555,LB,ROB MORRIS,8,0,0,277,59.8,,60.0,,,,61.1,,,68.2,0,0,4,22,0,5,0,5,0
Jacob Skobis,70487,S,IDAHO,5,0,0,185,,,,,,,61.3,,,71.8,0,0,0,0,9,31,8,6,0
Garth White,70522,K,RHODE ISLD,14,0,0,274,,80.6,,,71.7,,64.0,,,76.8,0,0,74,0,78,0,0,0,2
Josh Leff,70557,P,GEORGETOWN,12,0,0,172,,,,,59.8,,63.4,,37.9,75.2,1,0,0,0,1,0,62,0,0
Bryce Leos,70685,G,HOWARD,12,0,0,184,,,23.5,,,,42.1,,,65.5,0,0,43,0,0,0,1,0,0
Damien Moore,70767,HB,LAMAR,1,0,0,204,,,,,,,58.7,,,66.1,0,0,0,0,0,0,8,0,0
Anthony Hebert,70875,S,DELWARE ST,10,0,0,152,59.5,,,,,,67.4,,,72.6,0,0,0,37,18,7,0,18,2
Jalen Richmond,70955,WR,MURRAY ST,7,0,0,236,,,,57.5,,,60.2,63.2,,66.0,0,0,0,0,0,37,5,5,0
Bryce Lucas,71098,CB,E WASHGTON,1,0,0,161,60.0,,,,,,60.1,,,64.6,0,0,0,2,0,0,0,0,0
Taliq Brown,71460,WR,UTAHTC,5,0,0,1285,,,,,,,66.1,,,72.7,0,0,0,0,16,0,0,4,1
Kamren Blanton,71575,S,TEXAS STHN,4,0,0,313,59.6,,,,,,60.2,,,66.1,0,0,0,3,5,4,0,0,0
Quentin Moten,71681,CB,N ARIZONA,12,1,0,252,59.8,,,,,,66.9,,,75.9,0,0,0,40,10,0,4,20,1
Cole Thompson,71884,K,TENN TECH,6,0,0,309,,,64.0,,,,61.5,,60.0,61.8,0,0,26,0,0,0,1,0,0
Jake Hall,72023,LB,MAINE,4,0,0,212,60.1,,,,,,61.7,,,68.5,0,0,0,3,1,4,0,3,0
Cole Bullock,72090,LB,NEW HAMP,9,0,0,240,60.0,,,,,,60.6,,,66.4,0,0,0,30,0,0,0,0,0
Dillon Towles-Kendle,72160,CB,PRESBYTERN,3,0,0,271,,,,,,,71.7,,,72.4,0,0,0,0,4,0,0,17,1
Logan Pili,72354,LB,UTAHTC,11,0,0,1285,60.6,,,,,,62.6,,,67.6,0,0,0,33,13,17,0,6,0
Victory Vaka,72437,DI,TEXAS STHN,10,0,0,313,58.6,,72.3,,,,62.3,,,66.3,0,0,45,10,0,0,0,0,0
Carson Kuhl,72443,WR,CAL POLY,9,0,0,129,,,,66.4,,,34.6,61.2,,27.3,2,2,0,0,2,14,31,39,1
Shamar Hawkins,72496,S,JACKSON ST,11,0,0,194,59.7,,,,,,59.5,,,29.3,0,1,0,27,24,3,0,5,2
Myles Taylor,72533,CB,S DAK ST,12,0,0,292,59.9,,,,,,61.6,52.8,,68.4,0,0,0,6,0,0,0,48,0
Henry Amposta,73008,LB,PORTLAND,11,2,0,269,60.0,,,,,,67.9,,,80.4,0,0,0,11,7,54,9,21,1
Lando Brown,73191,ED,SO UTAH,6,0,0,298,59.9,,,,,,63.2,,,68.8,0,0,0,1,0,0,0,12,0
Lincoln Tuioti-Mariner,73243,CB,SO UTAH,7,0,0,298,59.5,,,,,,63.3,,,70.9,0,0,0,13,7,4,8,12,0
Joseph Obeto,73245,CB,STTHOM,8,1,0,1129,60.1,,,,,,70.9,,,74.9,0,0,0,7,12,8,0,17,1
Ikaika Ragsdale,73289,HB,STNY BROOK,2,0,0,303,,,,,,,60.2,,,66.1,0,0,0,0,0,3,0,0,0
Tristan McMurry,73405,LB,UC DAVIS,1,0,0,322,,,,,,,60.0,,,65.4,0,0,0,0,0,1,0,0,0
Zeke Mata,73456,K,S DAKOTA,15,0,0,291,,67.8,,,78.4,,63.9,,,78.4,0,0,4,0,76,0,0,0,0
Ty Morrison,73471,K,MONTANA,14,0,0,232,,73.1,,,84.7,,65.0,,55.9,80.5,0,2,63,0,82,0,52,0,3
Jalen Williams,73776,CB,SACRAMENTO,11,0,0,279,59.7,,,,,,66.1,,,82.9,0,0,0,4,10,53,35,43,1
McKel Broussard,73850,S,E WASHGTON,1,0,0,161,60.0,,,,,,60.0,,,61.1,0,0,0,1,0,0,0,0,0
Zakhari Spears,73852,CB,IDAHO,11,0,0,185,60.0,,,,,,65.7,,,81.1,0,1,0,3,29,45,11,33,1
