player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Koi Freeman,19946,S,SAMFORD,7,1,0,282,59.8,,,,,,71.6,,,76.7,0,0,0,3,44,25,5,19,3
Raemo Trevino,22649,DI,IDAHO ST,2,0,0,186,58.9,,,,,,60.1,,,65.7,0,0,0,7,0,0,0,3,0
Isaiah Capoocia,23847,CB,SACRAMENTO,6,1,0,279,,,,,,,61.0,,,69.5,1,0,0,0,31,1,0,0,2
Da'Quan Grimes,29665,LB,MONMOUTH,11,1,0,231,59.4,,,,,,67.9,,,68.2,0,0,0,49,0,0,30,8,2
Jordan Jones,40152,WR,MO STATE,1,0,0,230,,,,,,,71.3,,,64.0,0,0,0,0,0,3,0,0,0
Lindsey Scott Jr.,40219,QB,INCAR WORD,1,0,0,189,,,,,,,60.0,,,63.3,0,1,0,0,0,0,0,0,0
Josh Moran,40328,WR,DELAWARE,13,1,0,151,,,,,,,85.8,,,76.4,0,0,0,0,47,52,0,23,7
Lucas Johnson,40551,QB,MONTANA,1,0,0,232,,,,,,,62.7,,,68.4,0,0,0,0,0,0,0,9,0
Kobay White,40782,WR,MAINE,1,0,0,212,,,,60.0,,,60.0,,,62.9,0,1,0,0,0,2,0,0,0
Landon Wolf,40906,WR,S DAK ST,5,0,0,292,,,,59.9,,,62.9,63.2,,68.5,0,0,0,0,0,8,0,15,0
Sam Howson,41661,T,STNY BROOK,5,0,0,303,,,62.9,,,,62.3,,,67.5,0,0,10,0,0,0,0,0,0
Cortez Herrin,41765,G,ALAB A&M,1,0,0,104,,,,,,,60.0,,,63.3,0,0,0,0,0,0,1,0,0
Kana'i Eldredge,41912,C,UTAHTC,7,0,0,1285,,,64.1,,,,62.2,,,65.7,0,0,9,0,0,0,30,0,0
Joshua Manchigiah,42649,S,S DAKOTA,11,2,0,291,59.8,,,,,,73.3,,,78.5,0,0,0,15,7,19,32,29,1
Broderick Harrell,42650,S,PORTLAND,7,2,0,269,60.7,,,,,,71.1,,,70.1,0,0,0,38,5,9,8,1,0
Carlos Becker III,42759,CB,ALAB A&M,3,0,0,104,59.7,,,,,,60.8,,,66.0,0,0,0,5,0,0,0,1,0
Keeath Magee II,42816,LB,GARD-WEBB,13,1,0,171,60.0,,,,,,72.1,,,83.5,0,0,0,9,55,73,46,53,2
Harvey Clayton Jr.,43045,S,MAINE,1,0,0,212,59.9,,,,,,60.0,,,61.1,0,0,0,1,0,0,0,0,0
Korby Sander,43164,S,N IOWA,11,0,0,255,59.6,,,,,,70.0,,,82.3,0,0,0,48,6,3,21,38,2
Quincy Lenton,43195,S,YNGTOWN ST,11,0,0,353,60.0,,,,,,60.4,,,64.8,0,0,0,37,0,3,0,0,0
Braxton Gunther,43264,S,WEBER ST,1,0,0,342,,,,,,,60.0,,,63.4,0,0,0,0,1,0,0,0,0
Prince Washington,43289,CB,SACRAMENTO,9,0,0,279,60.2,,,,,,65.9,,,73.2,0,0,0,21,0,6,0,19,0
Micahh Smith,43299,S,INCAR WORD,10,0,0,189,59.8,,,,,,69.8,,,72.4,0,0,0,7,15,0,0,29,1
Uryan Hudson,43307,CB,N COLORADO,10,0,0,253,59.8,,,,,,62.0,65.0,,72.4,0,0,0,54,0,0,0,28,0
Morgan Vest,43332,S,N ARIZONA,11,0,0,252,59.6,,,,,,57.2,,,68.3,0,0,0,58,1,0,47,12,0
Dee Walker,43465,LB,TXAMEA,9,0,0,1139,59.8,,,,,,55.1,,,30.0,0,1,0,23,0,1,29,10,0
Desmond Williams,43732,S,WEBER ST,12,0,0,342,89.2,,,,,,86.1,,,69.1,0,0,0,34,31,2,0,21,0
Dante Cleveland,44217,DI,S ILLINOIS,7,0,0,295,58.5,,,,,,58.7,,,65.6,0,0,0,9,0,0,0,1,0
Trey Sneed,45847,HB,FORDHAM,12,0,0,168,,,,63.5,,,55.8,,,69.2,1,0,0,0,0,76,4,0,0
Josh Hayes,50493,CB,E KENTUCKY,11,0,0,159,59.6,,,,,,57.4,,,72.2,1,0,0,25,22,0,5,14,0
Jared Kreimer,51682,S,HOLY CROSS,13,2,0,181,,,,,,,62.1,69.3,,53.6,0,1,0,0,88,59,0,54,4
Bobby Jefferson,51702,ED,DARTMOUTH,1,0,0,148,59.6,,,,,,59.8,,,62.4,0,0,0,1,0,0,0,0,0
Ellison Hubbard,52025,DI,SM HOUSTON,9,0,0,281,57.8,,,,,,57.8,,,67.7,0,0,0,31,0,0,0,3,0
Marcus McElroy Jr.,52041,HB,MCNEESE,7,0,0,217,,,,,,,64.0,,,72.1,0,0,0,0,21,15,1,2,1
Brian Roberts,52088,CB,HAMPTON,6,0,0,178,59.9,,,,,,60.2,,,28.6,0,1,0,2,19,0,0,8,1
Claudin Cherelus,52094,LB,ALCORN ST,9,0,0,107,59.6,,,,,,61.1,,,66.2,0,0,0,31,0,0,1,6,0
Jessie Britt,52101,HB,SE LA,11,0,0,294,,,,62.3,,,67.6,,,70.5,0,0,0,0,17,41,0,0,2
Jeffrey Manning Jr.,52134,S,MONTANA ST,13,0,0,233,59.7,,,,,,60.2,,,64.1,0,0,0,44,0,0,0,1,0
TraJon Cotton,52147,CB,MONTANA,11,0,0,232,59.7,,,,,,60.9,,,65.8,0,0,0,37,0,0,0,5,0
Anthony Adams,52151,CB,PORTLAND,2,0,0,269,59.6,,,,,,57.3,,,69.2,0,0,0,8,5,0,2,3,0
Beau Kelly,52154,WR,PORTLAND,11,0,0,269,,,60.0,63.2,,,61.9,58.9,,72.3,0,0,1,0,2,17,0,41,0
Boogie Davis,52157,ED,PORTLAND,5,0,0,269,59.8,,60.0,,,,61.8,,,70.6,0,0,1,3,0,0,27,3,0
Jake Porter,52171,ED,PORTLAND,11,0,0,269,59.4,,60.0,,,,62.3,,,71.1,0,0,6,57,0,0,0,15,0
Malik Thirdgill,52178,TE,PORTLAND,11,0,0,269,,,69.5,,,,62.2,,,70.8,0,0,28,0,0,70,0,0,0
Mataio Talalemotu,52180,WR,PORTLAND,8,0,0,269,,,61.5,61.4,,,64.0,,,81.9,0,0,13,0,2,39,0,4,0
Robert Holt,52185,S,PORTLAND,9,0,0,269,85.4,,,,,,90.6,,,83.6,0,0,0,43,0,0,0,11,0
Tyson Pauling,52193,C,PORTLAND,1,0,0,269,,,62.5,,,,62.2,,,67.6,0,0,7,0,0,0,0,0,0
Isaiah Richardson,52205,S,SAMFORD,13,1,0,282,59.7,,,,,,63.5,,,77.8,0,0,0,59,75,9,54,13,0
Terrell Carter,52259,WR,SE LA,4,0,0,294,,,,,,,60.9,62.6,,66.2,0,0,0,0,0,1,0,12,0
Dylan Boles,52271,DI,N IOWA,5,0,0,255,,,,,,,60.6,,,65.0,0,0,0,0,0,0,14,0,0
Jermiah Stafford,52305,T,SOUTHERN U,8,0,0,297,,,18.7,,,,30.1,,,70.7,0,0,39,0,0,0,0,0,0
Naytron Culpepper,52317,CB,ALABAMA ST,6,0,0,105,59.7,,,,,,60.7,,,66.1,0,0,0,9,0,0,0,1,0
Noah Taylor,52348,LB,CORNELL,10,1,0,147,60.0,,,,,,70.4,,,76.7,0,0,0,1,42,0,14,24,1
Phoenix Porter,52591,LB,E ILLINOIS,10,1,0,158,59.8,,,,,,75.0,,,69.2,0,0,0,8,27,0,12,2,3
Gabe Hicks,52739,LB,BUTLER,11,0,0,127,59.9,,,,,,53.5,,,29.1,1,2,0,23,59,50,42,0,1
Jake Stylski,52755,TE,DAVIDSON,9,0,0,149,,,71.7,,,,64.1,,,71.1,0,0,37,0,1,43,23,0,1
David Afari,52809,HB,N COLORADO,3,0,0,253,,,,54.5,,,60.4,,,69.6,0,0,0,0,9,15,9,0,0
