player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Nichel Herron,12538,LB,ALCORN ST,11,9,0,71.4,0,0,107,0,0,56.5,63.3,27.5,61.0,70.5,62.8,2,3,0,0,14,12.8,6,1,1,81.8,10,1,0,226,0,118,294,29,0,0,29,0,0,265,32,144,38,19,32,2,14,6,0,68,60,6.8
Taurence Wilson,12965,CB,ALCORN ST,8,1,0,56.3,0,0,107,1,0,66.1,65.7,83.2,60.0,60.3,63.3,1,0,0,0,40,16.7,4,3,1,76.8,18,0,0,20,330,198,365,4,0,0,4,0,0,361,1,166,9,4,19,0,32,1,0,214,64,11.9
Joshua Carter,19821,CB,SAMFORD,7,0,0,75.0,0,0,282,0,0,52.3,58.6,81.2,55.4,78.2,33.7,0,0,0,0,17,33.3,2,0,0,142.2,6,0,0,4,69,48,119,8,0,0,8,0,1,111,2,69,37,2,4,1,8,0,1,73,27,12.2
Armond Lloyd,19822,DI,SAMFORD,11,12,0,,0,1,282,0,0,61.6,63.7,84.8,58.4,63.7,35.8,1,3,0,0,,17.2,5,0,0,0.0,0,0,0,0,0,1,390,390,62,323,1,4,0,0,151,238,0,9,12,0,0,4,0,0,0,
Coutrell Plair,20191,CB,SAMFORD,8,5,0,66.7,0,1,282,0,0,61.4,63.0,84.9,,66.4,62.6,0,0,0,0,51,14.3,5,3,1,128.1,20,0,0,17,437,209,466,11,0,0,11,0,0,455,0,257,1,3,25,0,30,0,3,267,80,13.4
Rashun Freeman,21870,CB,CHATTNOOGA,11,9,0,53.7,0,1,137,0,0,90.1,89.5,46.0,64.6,80.3,68.7,0,5,1,2,20,12.5,6,3,1,51.5,22,1,0,86,6,247,495,39,0,0,39,0,6,456,27,221,358,21,33,3,41,6,1,166,76,7.5
Jerrell Lawson,22006,S,CHATTNOOGA,11,12,0,47.1,0,0,137,0,0,90.4,92.3,87.6,55.1,91.7,90.0,0,0,1,5,30,5.6,4,1,0,51.0,8,0,0,231,3,340,666,2,0,0,2,0,350,664,3,323,80,26,56,1,17,0,1,121,32,15.1
Danquarian Fields,22155,S,GRAMBLING,3,0,0,100.0,0,0,177,0,0,81.6,81.4,73.8,59.0,62.8,73.6,0,0,0,1,66,0.0,0,0,0,118.8,1,0,0,15,0,13,21,4,0,0,4,0,1,17,2,6,1,0,1,0,1,0,1,66,67,66.0
Oshea Trujillo,22177,LB,IDAHO ST,11,12,1,76.9,0,5,186,1,0,80.9,79.4,91.7,64.8,76.8,38.9,4,8,0,1,65,23.1,21,2,0,105.4,30,0,0,109,7,326,706,215,0,0,215,0,1,491,60,320,373,20,58,7,39,12,2,307,236,10.2
Jarrell Jackson,22290,CB,ILL STATE,10,5,0,37.3,0,0,188,0,0,84.3,83.5,46.9,60.0,74.7,53.4,0,0,1,3,30,17.9,7,6,2,22.5,19,0,0,25,618,347,654,10,0,0,10,0,0,644,1,306,1,9,27,2,51,0,0,170,53,8.9
