player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Reese Poffenbarger,145346,QB,ALBANY,15,68.8,446,473,12.1,2.71,6,35,7.0,58.8,278,0,154,9.4,540,29,0.1,170,106,72.5,85.8,82.0,72.0,0,13,568,3,44.8,22.7,96.8,6.5,35,30,1,20,36,17,3.0,3608,7.6
Max Brosmer,105568,QB,NEW HAMP,11,74.3,435,461,8.3,2.6,12,17,3.5,64.0,295,0,142,8.7,497,28,0.14,179,240,65.0,80.4,79.9,60.6,6,7,518,3,47.7,12.0,101.7,3.4,17,19,0,8,29,14,2.7,3498,7.6
Jake Willcox,148649,QB,BROWN,10,71.6,426,457,7.9,2.65,8,16,3.4,62.4,285,0,140,6.6,495,20,0.01,160,123,56.9,75.6,74.6,63.2,5,9,517,3,44.4,12.9,85.6,3.6,18,19,0,18,18,17,3.3,2919,6.4
Michael Hiers,88636,QB,SAMFORD,11,80.9,425,444,6.9,2.5,4,21,4.5,72.1,320,0,103,7.0,491,24,0.02,151,282,26.5,80.9,84.5,42.2,6,8,520,0,47.0,32.0,97.2,6.7,33,14,0,9,18,16,3.1,3096,7.0
Aidan Sayin,148974,QB,PENN,10,73.5,419,432,7.7,2.46,4,21,4.7,64.6,279,0,103,9.4,449,29,0.02,141,267,50.3,82.9,83.6,54.9,4,12,462,4,45.7,10.7,83.9,2.4,11,6,0,5,16,12,2.6,2823,6.5
Parker McKinney,82109,QB,E KENTUCKY,11,72.1,391,423,8.6,2.7,5,17,3.9,62.4,264,0,130,6.4,468,18,0.12,161,159,68.2,76.7,73.0,69.9,7,12,489,0,49.8,12.3,87.9,3.4,16,29,1,19,20,20,4.1,3033,7.2
Kobe Tracy,141317,QB,UTAHTC,11,62.0,405,422,11.3,2.51,6,19,4.3,54.7,231,0,98,8.0,444,20,-0.04,128,1285,66.0,67.8,67.7,49.1,4,12,462,0,39.0,13.3,78.1,2.9,13,9,0,7,19,18,3.9,2759,6.5
Derek Robertson,142298,QB,MAINE,11,71.2,385,405,8.5,2.31,3,17,4.0,63.5,257,0,116,6.2,433,17,0.09,151,212,58.6,75.6,76.6,41.5,5,13,450,0,47.1,16.4,92.4,4.4,19,7,0,12,25,16,3.6,2940,7.3
Pierce Holley,108981,QB,E ILLINOIS,11,70.2,372,403,10.3,2.79,5,26,6.1,59.8,241,0,118,7.7,454,20,0.02,135,158,77.3,81.9,81.5,60.9,4,7,483,5,40.7,27.1,87.1,7.0,32,19,4,18,17,13,2.7,2747,6.8
Luke Bailey,143172,QB,DRAKE,12,64.6,370,394,10.3,2.76,7,21,5.0,54.1,213,0,125,10.9,410,26,-0.05,126,153,52.2,67.6,66.6,55.5,1,9,436,5,39.0,4.8,78.1,1.5,6,10,1,15,16,17,3.9,2549,6.5
