player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tommy Rittenhouse,148028,QB,ILL STATE,16,71.6,462,490,8.8,2.71,3,17,3.3,65.3,320,0,115,3.3,546,11,0.2,198,188,52.9,75.5,76.9,54.5,6,10,578,2,48.7,13.9,100.5,2.9,16,38,0,19,35,13,2.2,3378,6.9
Brady Olson,147415,QB,CENT CT ST,13,67.5,440,460,10.3,2.49,2,29,6.0,58.7,270,0,124,9.1,498,27,0.07,174,133,54.1,80.5,80.2,60.0,6,7,522,1,45.2,12.9,91.1,3.2,16,21,0,12,25,15,2.9,3130,6.8
Keali'i Ah Yat,178141,QB,MONTANA,14,78.0,418,447,8.1,2.63,10,19,4.1,68.9,308,0,133,5.5,493,18,0.27,176,232,75.1,85.1,81.6,70.8,3,8,509,3,51.9,15.8,110.6,4.3,21,24,1,15,30,12,2.4,3880,8.7
Stone Earle,123504,QB,ABILENE CH,14,74.8,437,442,8.8,2.8,4,28,5.9,67.0,296,0,157,9.5,518,31,0.13,172,100,73.6,84.5,81.3,70.8,0,11,552,2,49.2,17.8,95.1,5.4,28,47,0,1,22,16,2.9,3292,7.4
Gunnar Smith,162611,QB,FORDHAM,12,66.6,413,429,10.0,2.73,4,23,5.1,56.2,241,0,148,12.4,519,34,-0.23,138,168,29.3,63.6,58.4,70.8,5,13,545,0,36.8,31.8,72.9,9.1,47,43,0,7,14,28,5.1,2655,6.2
Trey Hedden,185848,QB,FURMAN,12,73.7,399,419,8.4,2.41,7,14,3.2,68.3,286,0,119,2.7,444,8,-0.07,144,170,49.3,76.8,76.1,53.2,5,13,464,0,43.7,19.3,89.0,5.2,23,2,0,8,17,14,3.0,2958,7.1
Devin Farrell,157658,QB,RHODE ISLD,14,73.3,393,412,9.9,2.85,2,30,6.9,64.8,267,0,125,7.3,482,21,0.17,169,274,48.8,90.3,89.1,69.2,4,8,505,2,47.3,28.8,105.6,7.5,36,32,0,13,24,13,2.6,3775,9.2
Braden Atkinson,201350,QB,MERCER,11,74.0,393,406,10.6,2.47,4,29,6.8,66.0,268,0,86,7.9,412,23,0.36,171,219,71.1,90.8,90.7,46.2,2,11,434,2,51.0,2.3,110.6,0.5,2,4,0,7,34,15,3.5,3592,8.8
Jordan Cooke,175116,QB,IDAHO ST,11,66.4,375,404,11.8,2.59,4,27,6.3,57.4,232,1,80,6.8,416,17,0.13,134,186,69.3,79.2,77.9,64.7,0,9,439,5,45.9,2.5,83.9,0.5,2,9,1,24,15,11,2.5,2990,7.4
Pat McQuaide,145792,QB,VILLANOVA,15,69.1,375,401,12.0,2.49,4,27,6.4,58.6,235,0,108,9.3,430,24,0.17,144,334,68.8,78.8,76.9,64.0,2,4,454,2,46.5,19.4,100.0,4.9,21,7,0,20,25,18,4.0,3126,7.8
Jerry Kaminski,177155,QB,N DAKOTA,14,67.7,353,384,9.9,2.56,11,13,3.3,57.6,221,0,109,7.5,431,18,0.01,136,249,79.0,74.5,68.5,73.0,2,12,450,1,41.5,12.8,87.6,3.2,14,33,3,15,26,12,2.7,2583,6.7
Ty Pennington,185022,QB,N ARIZONA,12,78.7,343,382,8.6,2.85,7,26,6.6,65.2,249,0,120,7.8,424,21,0.08,138,252,60.4,90.0,90.1,65.6,6,4,438,3,44.8,18.3,102.8,5.2,22,19,0,26,19,7,1.6,3134,8.2
Walker Harris,150449,QB,NC CENT,12,72.3,350,376,10.0,2.57,5,20,5.1,62.0,233,0,83,7.9,420,20,0.23,157,247,67.3,82.5,83.9,53.6,2,9,441,1,48.1,25.3,100.6,5.0,21,22,1,18,24,13,2.9,3206,8.5
Matt Vezza,176960,QB,NEW HAMP,13,70.4,348,375,9.0,2.68,6,17,4.3,60.3,226,0,124,7.8,457,19,0.09,145,240,78.9,84.9,76.4,81.9,3,7,484,3,47.0,20.2,91.1,5.5,25,57,2,16,19,13,2.7,2674,7.1
Beau Brungard,164897,QB,YNGTOWN ST,12,76.1,347,373,9.0,3.08,4,22,5.6,68.1,254,0,135,3.8,450,10,0.28,166,353,84.3,92.0,87.0,86.5,2,2,475,4,50.9,11.1,110.5,3.3,15,62,1,19,24,9,1.9,2905,7.8
Adam Urena,186682,QB,MERCYHURST,11,72.5,349,369,8.4,2.45,5,10,2.6,64.2,237,0,131,6.3,411,16,-0.03,131,977,64.8,70.9,69.1,65.9,2,10,432,2,43.1,20.6,83.0,6.6,27,13,0,13,13,15,3.5,2384,6.5
Kekoa Visperas,147588,QB,TENN TECH,13,75.1,349,368,8.4,2.79,11,16,4.1,64.9,239,0,116,8.8,443,23,0.02,155,309,25.0,74.8,73.4,64.7,2,7,461,1,46.7,22.4,103.0,5.9,26,47,1,5,26,18,3.9,2753,7.5
James Murphy,177426,QB,BROWN,10,75.3,344,367,7.6,2.62,5,13,3.3,67.0,246,0,141,5.0,413,13,0.05,128,123,74.9,72.9,73.1,55.4,7,14,442,2,47.5,19.1,90.0,6.5,27,19,1,10,18,15,3.4,2788,7.6
Taron Dickens,177946,QB,W CAROLINA,9,80.2,354,366,10.0,2.8,3,18,4.7,73.2,268,0,119,5.6,435,16,0.43,185,344,40.2,90.7,91.2,62.0,4,2,459,4,58.2,16.8,135.2,4.6,20,46,0,5,38,10,2.2,3492,9.5
Aidan Bouman,122508,QB,S DAKOTA,15,67.7,341,361,10.0,2.78,0,20,5.2,59.6,215,0,142,6.9,382,16,0.14,129,291,79.4,80.4,79.0,63.5,2,7,410,5,42.9,10.6,100.8,3.9,15,6,1,17,26,12,2.9,2876,8.0
Kamden Sixkiller,133096,QB,CAMPBELL,11,71.7,339,359,7.2,2.65,5,13,3.4,63.0,226,0,102,7.0,421,17,0.03,123,131,48.9,73.3,70.3,70.0,2,5,444,0,44.4,22.5,85.1,5.5,23,39,1,12,12,11,2.5,2177,6.1
DJ Williams,138061,QB,S ILLINOIS,12,70.9,337,358,9.0,2.58,6,19,5.0,62.3,223,0,90,6.7,394,16,0.19,136,295,57.5,85.7,73.0,87.1,4,5,415,0,45.7,13.3,101.7,3.0,12,24,4,7,22,12,2.9,2837,7.9
Justin Lamson,144052,QB,MONTANA ST,16,80.0,335,355,7.3,2.85,9,14,3.8,71.5,254,0,136,5.2,455,14,0.31,174,233,51.7,90.3,89.9,70.5,4,3,472,2,53.0,23.5,119.5,7.0,32,66,1,6,26,5,1.1,3146,8.9
Eric Gibson Jr.,168461,QB,N COLORADO,12,73.0,341,355,8.2,2.29,6,19,5.0,65.1,231,0,72,7.2,378,18,-0.07,111,253,57.8,71.7,72.4,49.8,0,11,404,2,42.6,13.9,83.5,2.6,10,11,0,8,11,15,3.7,2534,7.1
Dean DeNobile,159740,QB,LAFAYETTE,12,70.3,340,354,10.4,2.41,4,14,3.8,63.6,225,0,84,5.9,372,14,0.08,114,203,64.7,66.3,66.9,51.9,1,7,390,3,47.3,10.7,94.6,2.4,9,8,0,9,19,7,1.8,2540,7.2
Sam Vidlak,146333,QB,STF AUSTIN,13,76.1,331,350,8.7,2.6,6,20,5.4,66.0,231,0,93,8.3,379,21,0.04,122,301,48.7,83.7,84.1,44.0,1,7,400,3,45.1,23.7,101.7,5.8,22,6,1,11,22,15,3.8,2688,7.7
Carter Peevy,129563,QB,MAINE,12,70.9,316,347,9.6,2.93,4,17,4.7,58.2,202,0,120,9.8,379,22,-0.01,119,212,82.3,85.1,81.6,74.4,4,8,392,4,41.4,13.3,84.6,4.2,16,16,0,23,17,11,2.8,2269,6.5
Caden Pinnick,185116,QB,UC DAVIS,13,77.7,332,347,8.0,3.08,6,15,3.8,68.9,239,0,147,7.4,444,19,0.22,171,322,39.6,83.6,77.5,78.4,2,10,504,4,53.2,23.8,116.7,7.9,35,62,1,6,32,18,3.6,3206,9.2
Jaylon Tolbert,154757,QB,ALCORN ST,12,69.9,326,345,9.6,2.6,2,7,1.9,63.2,218,0,96,4.4,377,10,0.0,97,107,55.1,63.8,60.4,66.2,4,7,400,3,45.4,15.6,87.7,4.0,15,17,6,7,16,14,3.5,2152,6.2
Jaden Craig,159342,QB,HARVARD,11,69.7,333,344,11.6,2.74,2,31,8.6,61.0,210,0,87,9.5,381,22,0.25,145,179,71.7,91.3,90.6,67.6,1,7,398,0,47.5,13.8,103.6,3.1,12,25,5,3,25,12,3.0,2884,8.4
Nate Glantz,157587,QB,LNDNWD,12,64.7,323,341,11.9,2.86,1,26,7.3,58.4,199,0,133,4.8,387,10,0.07,119,949,67.0,78.1,75.1,69.0,1,11,401,1,43.9,18.8,85.4,6.5,25,20,0,16,17,14,3.5,2582,7.6
Reginald Johnson,171379,QB,FL A&M,11,74.3,315,336,7.7,2.66,6,14,4.0,64.3,216,0,118,7.7,388,18,0.18,132,164,63.8,80.5,79.7,68.1,4,4,407,6,45.6,20.3,100.7,6.2,24,28,1,10,18,8,2.0,2590,7.7
AJ Duffy,156292,QB,NEWHVN,10,68.8,311,335,8.7,2.61,2,14,3.8,60.3,202,0,98,5.6,366,12,0.0,113,1013,72.4,65.5,61.5,71.0,1,10,398,2,41.5,8.2,92.1,2.2,8,23,0,21,22,12,3.0,2438,7.3
Chris Parson,172551,QB,AUSTINPEAY,12,74.5,310,328,10.7,3.18,2,26,7.6,63.1,207,0,128,10.4,406,24,0.17,141,116,42.6,86.6,80.9,76.0,2,5,420,3,46.8,21.1,109.9,6.7,27,51,2,12,23,14,3.3,3010,9.2
Dante Reno,184498,QB,YALE,12,75.3,299,322,8.4,2.34,8,23,6.9,64.0,206,0,100,8.4,362,19,0.13,123,352,37.6,70.4,76.1,40.3,7,10,376,1,48.9,14.0,96.7,3.9,14,23,1,7,21,14,3.7,2510,7.8
Jack O'Connell,165100,QB,STHLSK,12,69.8,301,321,8.0,2.77,4,11,3.3,60.7,195,0,145,7.1,379,15,-0.05,99,1470,53.0,62.0,62.1,57.9,3,6,395,4,39.6,18.6,84.9,7.1,27,31,1,12,15,11,2.8,1881,5.9
Coulter Cleland,165212,QB,DAVIDSON,12,65.0,303,320,8.9,2.75,4,11,3.3,55.6,178,0,123,9.6,385,19,-0.09,119,149,45.5,53.7,54.2,53.9,3,11,401,5,39.7,20.3,82.5,6.5,25,40,0,10,20,19,4.7,2119,6.6
Tyriq Starks,156514,QB,HOWARD,12,69.7,290,319,9.2,3.08,3,12,3.6,58.3,186,0,141,7.9,398,16,-0.15,116,184,68.6,70.6,67.7,67.1,8,12,415,2,38.9,27.0,71.2,9.5,38,40,1,17,11,13,3.1,1890,5.9
