player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Keeath Magee II,42816,LB,GARD-WEBB,11,4,0,25.0,0,0,171,0,0,58.7,61.3,84.0,56.6,65.5,55.2,1,0,0,0,0,20.0,2,0,0,39.6,1,0,0,87,1,52,105,11,0,0,11,0,0,94,16,37,5,3,4,0,4,1,0,0,4,0.0
Quincy Lenton,43195,S,YNGTOWN ST,10,8,0,80.0,0,0,353,0,0,70.0,72.3,85.5,,75.6,60.3,0,0,0,0,36,16.3,7,1,0,126.0,16,0,0,174,2,260,418,1,0,0,1,0,114,417,0,158,127,6,28,0,20,0,1,205,105,12.8
Dante Cleveland,44217,DI,S ILLINOIS,12,5,0,,1,0,295,0,0,60.0,57.1,13.3,59.0,60.0,61.0,1,3,0,0,,11.8,2,0,3,0.0,0,3,0,1,0,0,309,308,90,196,5,17,0,1,152,157,0,11,10,0,0,7,0,0,0,
Bobby Jefferson,51702,DI,ROB MORRIS,3,0,0,,0,0,277,0,0,,59.9,73.8,58.1,60.4,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,16,16,3,13,0,0,0,0,5,11,0,1,1,0,0,0,0,0,0,
TraJon Cotton,52147,S,MONTANA,15,12,0,33.3,0,0,232,0,0,68.0,70.3,87.7,63.5,74.6,76.0,0,0,0,2,52,8.6,3,1,0,65.8,16,1,0,161,12,413,681,2,0,0,2,0,74,679,5,263,431,1,20,1,48,1,4,294,101,18.4
Noah Taylor,52348,LB,CORNELL,10,26,1,75.0,0,0,147,0,0,68.7,69.2,86.1,51.7,70.3,82.3,0,3,0,0,38,7.6,6,0,0,104.5,18,1,0,373,0,178,454,62,0,0,62,0,1,392,49,227,18,26,47,3,24,4,1,150,60,8.3
Phoenix Porter,52591,LB,E ILLINOIS,11,14,0,66.7,0,1,158,1,0,49.7,56.1,80.7,78.8,55.9,65.2,0,2,0,0,22,14.0,6,0,0,103.0,12,3,0,248,0,126,272,13,0,0,13,0,1,259,14,132,9,15,23,2,18,5,1,116,76,9.7
Jakari Patterson,53555,LB,TOWSON,9,3,0,100.0,0,1,317,0,0,60.7,68.0,83.8,65.8,70.6,52.0,1,5,0,0,15,22.7,5,0,0,100.0,5,2,0,104,2,73,272,130,0,0,130,0,0,142,75,124,36,13,14,3,5,8,0,40,37,8.0
Elijah Ford,53568,LB,E KENTUCKY,7,6,0,100.0,0,0,159,0,0,55.0,54.2,77.8,70.4,49.3,51.0,0,2,0,0,56,19.0,4,0,0,155.8,9,0,0,133,0,79,148,5,0,0,5,0,2,143,11,58,7,6,11,1,9,2,1,153,105,17.0
Troy Reisner,53644,DI,DAYTON,10,3,0,,0,0,150,0,0,59.8,66.1,82.8,68.5,61.7,26.7,2,3,0,0,,25.0,3,0,0,0.0,0,2,0,0,0,0,194,194,49,139,0,6,0,0,101,93,0,5,6,0,0,7,0,0,0,
Cole Hildebrand,54051,S,DAYTON,5,7,0,63.6,0,1,150,0,0,76.0,68.8,84.9,81.6,44.0,50.7,3,0,0,0,53,21.1,8,0,1,141.7,7,0,0,63,0,159,274,2,0,0,2,0,167,272,4,111,40,9,23,1,11,3,2,124,48,17.7
Cheikhsaliou Fall,54240,ED,E KENTUCKY,10,5,0,100.0,0,1,159,1,0,65.4,66.1,17.6,66.9,65.8,55.0,3,8,0,0,9,20.0,4,0,2,88.9,3,2,0,7,0,24,228,200,0,0,191,9,0,28,103,101,21,9,11,2,3,13,0,16,16,5.3
Ryan Batsch,54358,S,MURRAY ST,10,8,0,90.0,0,1,236,0,0,46.8,55.8,87.6,79.1,50.6,28.7,1,4,0,0,34,25.0,7,0,0,146.7,9,1,0,14,1,35,213,153,0,0,153,0,0,60,47,131,44,7,13,1,10,6,1,112,69,12.4
Rashad Colson,55154,DI,ALAB A&M,9,9,1,,0,0,104,0,0,60.0,61.5,34.6,58.9,64.4,45.4,0,4,0,0,,18.2,4,0,2,0.0,0,2,0,0,0,0,353,353,14,331,0,8,0,0,159,194,0,6,9,1,0,6,0,0,0,
