player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Daniel Sobkowicz,148032,WR,ILL STATE,14,13.6,6,59.9,48.5,16,33,0,5.7,5,0.18,60,188,0,79.1,76.2,84.3,,84.5,0.0,0,2,93,0.0,0,506,3,47.0,82,93.3,472,1.2,6,119.7,137,19,98.8,500,1125,311,3.8,13.7,2.38
Luke Colella,155372,WR,VILLANOVA,15,14.7,9,59.4,36.0,9,25,0,8.4,7,0.14,49,334,0,68.1,76.1,78.1,,80.1,0.0,0,2,51,0.0,0,435,4,45.0,76,94.5,411,19.3,84,101.0,128,8,80.2,349,1078,255,3.4,14.2,2.62
Kylon Harris,164101,WR,STF AUSTIN,14,8.9,14,70.2,62.5,10,16,0,7.6,7,0.08,47,301,1,71.8,62.9,79.2,,82.1,0.0,0,3,76,0.0,0,397,1,44.8,85,94.5,375,61.5,244,114.4,121,10,38.3,152,1061,483,5.7,12.5,2.83
Marquis Buchanan,161373,WR,RHODE ISLD,14,11.1,22,66.1,23.1,3,13,2,3.7,3,0.17,54,274,2,85.5,45.8,80.9,,84.8,0.0,0,2,75,0.0,0,486,7,47.2,78,95.5,464,65.2,317,117.1,118,7,33.1,161,1336,605,7.8,17.1,2.88
Alex Bullock,145010,WR,S DAK ST,14,13.4,4,59.8,40.0,6,15,0,2.8,2,0.02,43,292,0,87.6,76.5,75.3,60.9,77.2,0.7,3,4,51,0.2,1,439,2,45.6,70,95.2,418,40.5,178,85.5,117,5,58.5,257,941,283,4.0,13.4,2.25
Ryan Upp,150733,WR,MOREHEAD,12,10.9,10,69.8,57.9,11,19,0,3.6,3,-0.03,59,234,0,85.8,78.6,85.6,,87.3,0.3,1,2,70,0.0,0,399,0,46.9,81,94.0,375,97.7,390,107.4,116,5,2.0,8,1111,409,5.0,13.7,2.96
Carver Cheeks,176809,WR,N COLORADO,12,11.8,14,63.4,48.3,14,29,0,7.8,6,-0.05,39,253,0,69.9,54.8,75.7,,76.9,0.0,0,3,75,0.0,0,391,4,43.2,71,94.1,368,4.9,19,96.5,112,6,95.1,372,938,412,5.8,13.2,2.55
Malachi Henry,170550,WR,CENT ARK,12,13.6,3,61.6,42.9,12,28,0,4.2,3,-0.06,37,132,1,83.2,56.7,75.3,,76.2,0.3,1,5,56,0.0,0,393,0,41.3,69,95.4,375,31.8,125,97.7,112,10,67.7,266,889,252,3.7,12.9,2.37
Samuel Gbatu Jr.,162378,WR,UC DAVIS,14,12.3,6,62.2,27.3,3,11,0,8.0,6,0.2,44,322,0,71.2,78.2,76.0,72.7,76.9,0.4,2,7,85,0.4,2,514,2,52.2,69,89.1,458,55.3,284,104.6,111,11,41.6,214,1170,499,7.2,17.0,2.55
Tony Diaz,209024,WR,TXRG,12,13.8,12,61.8,40.9,9,22,0,8.1,6,0.28,39,1445,0,69.2,77.5,80.4,,83.0,0.0,0,3,75,0.0,0,344,3,48.2,68,95.9,330,12.8,44,109.3,110,11,87.2,300,890,268,3.9,13.1,2.7
Jyziah Rockwell,160288,WR,PRVIEW A&M,14,13.4,2,70.1,63.0,17,27,1,5.1,4,0.2,49,270,1,79.9,54.1,80.9,,83.1,0.2,1,2,70,0.0,0,427,3,45.1,75,93.4,399,11.2,48,122.7,107,8,88.5,378,1158,284,3.8,15.4,2.9
Greg Gaines III,157600,WR,RHODE ISLD,14,13.8,11,61.3,45.5,10,22,0,15.6,12,0.2,42,274,1,42.4,51.5,65.7,,66.9,0.6,3,3,46,0.0,0,521,5,47.6,65,95.6,498,22.6,118,94.1,106,4,76.8,400,1021,260,4.0,15.7,2.05
Jimmy Kibble,162144,WR,GEORGETOWN,12,13.4,19,59.4,47.8,11,23,0,10.0,7,-0.22,40,172,0,63.5,75.2,76.4,,78.9,0.0,0,4,49,0.0,0,430,1,36.2,63,94.4,406,11.9,51,87.9,106,4,88.1,379,1004,276,4.4,15.9,2.47
Jalen Walthall,146075,WR,INCAR WORD,10,12.2,15,66.0,47.6,10,21,0,2.8,2,-0.06,34,189,1,87.8,54.9,76.8,,77.9,0.2,1,4,70,0.0,0,429,7,41.0,70,95.6,410,9.1,39,100.0,106,8,90.2,387,850,333,4.8,12.1,2.07
Christian Jourdain,169011,WR,TXAMEA,12,12.5,12,56.7,14.3,1,7,0,7.8,5,-0.12,36,1139,0,65.0,75.1,70.2,,69.7,0.0,0,6,47,0.0,0,467,0,42.7,59,96.8,452,7.3,34,63.9,104,2,92.7,433,803,232,3.9,13.6,1.78
Bisi Owens,164679,WR,PENN,10,11.9,8,63.5,50.0,10,20,0,7.0,5,0.14,36,267,0,72.7,52.0,73.1,,72.7,0.0,0,3,48,0.0,0,357,2,49.0,66,93.6,334,43.7,156,86.8,104,5,56.3,201,694,237,3.6,10.5,2.08
Taco Dowler,164387,WR,MONTANA ST,16,6.9,20,74.8,25.0,3,12,0,3.8,3,0.26,45,233,1,84.9,73.2,84.9,,83.3,0.0,0,1,87,0.0,0,426,0,52.1,77,95.5,407,85.4,364,124.5,103,7,14.1,60,1025,605,7.9,13.3,2.52
Darius Cannon,175142,WR,MURRAY ST,12,4.5,17,75.5,33.3,4,12,0,3.8,3,-0.08,33,236,0,85.1,80.7,77.7,,79.7,1.3,4,1,65,0.0,0,308,1,42.8,77,96.4,297,90.6,279,100.8,102,3,8.1,25,737,555,7.2,9.6,2.48
