player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tristen Taylor,46385,T,E WASHGTON,13,99.9,0,161,75.2,85.6,67.9,3,12,626,99.8,99.8,98.0,6,20,5,1036,70,0,753,1037,653,654,1,209,383,4
Wyatt Hansen,141525,G,E WASHGTON,13,100.0,0,161,66.4,68.0,63.5,1,25,620,100.0,100.0,97.9,4,26,0,1035,0,732,223,1035,647,647,0,80,388,0
Drew Jones,60071,C,SE LA,13,100.0,1,294,60.8,74.4,55.1,6,17,626,100.0,100.0,97.8,5,25,2,980,980,0,0,980,645,645,0,0,335,0
Lewis Kidd,59892,T,MONTANA ST,15,100.0,0,233,74.7,60.8,77.0,1,13,386,100.0,100.0,97.7,5,16,2,971,0,0,963,971,395,395,0,0,576,7
Dawson Kier,78402,T,INCAR WORD,13,100.0,5,189,52.9,52.4,65.8,6,46,657,100.0,100.0,95.4,16,56,4,959,0,0,24,959,697,697,0,935,262,0
Justus Perkins,102312,C,MONTANA ST,15,100.0,2,233,67.0,63.5,68.2,2,6,379,100.0,100.0,98.2,6,11,3,958,958,0,0,958,387,387,0,0,571,0
Reid Francis,102296,C,INCAR WORD,13,100.0,0,189,48.0,56.1,40.7,1,23,663,100.0,100.0,98.2,3,24,0,957,957,0,0,957,703,703,0,0,254,0
Nash Jones,133226,T,INCAR WORD,13,99.9,0,189,77.4,74.1,76.5,4,21,655,99.8,99.9,97.0,3,32,7,952,0,0,944,953,693,694,0,0,259,9
Wyatt Musser,59677,G,E WASHGTON,13,100.0,0,161,61.4,59.1,60.3,1,17,577,100.0,100.0,98.3,3,19,1,942,0,0,0,942,604,604,940,0,338,2
Connor Pettek,60166,C,UC DAVIS,12,100.0,0,322,57.9,72.5,49.8,0,6,494,100.0,100.0,98.6,1,10,4,924,919,0,0,924,510,510,0,0,414,5
Beau Branyan,87506,T,S ILLINOIS,13,99.9,2,295,62.5,63.0,65.2,5,24,510,100.0,99.8,97.0,9,30,1,920,0,0,919,921,530,531,0,0,390,2
ZeVeyon Furcron,44343,G,S ILLINOIS,13,100.0,2,295,65.5,75.3,65.7,2,5,510,100.0,100.0,98.9,8,9,2,919,1,916,0,919,531,531,2,0,388,0
Ethan McMullan,108766,G,SE LA,13,100.0,1,294,71.5,86.1,64.6,1,7,586,100.0,100.0,99.0,4,10,2,907,0,0,0,907,605,605,871,35,302,0
